learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.025065,7.884949445724488E-11,100.0,90.0,78.92074198988196,33.33333333333336,67.74193548387099,90.03743729983475,88.42364532019704,91.71122994652407,100.0,2536.0,0.0,0.0
200.0,0.050275,1.5940732426113554E-10,200.0,85.5,71.0752044683822,0.0,69.47368421052632,86.9042490360768,88.21321321321321,85.63356335633563,200.0,2560.0,0.0,0.0
300.0,0.086545,2.700525439447827E-10,300.0,70.0,44.029850746268636,-119.51219512195117,22.413793103448274,75.82754372500708,77.11397058823529,74.58333333333333,1.0,2168.0,77.0,0.0
400.0,0.124154,3.854052018788126E-10,400.0,68.0,38.86129155521591,-146.1538461538461,28.08988764044944,74.00905796929374,77.8782894736842,70.50609940518197,1.0,2064.0,100.0,0.0
500.0,0.158774,4.932380757398075E-10,500.0,63.800000000000004,31.161955761097758,-182.81249999999997,19.55555555555555,71.11253138139237,76.40779702970298,66.50364975265472,1.0,2080.0,100.0,0.0
600.0,0.192507,5.984477885067463E-10,600.0,59.5,24.637141793822103,-211.53846153846155,7.604562737642584,68.55858101867426,74.62797619047619,63.40216621115498,1.0,2096.0,100.0,0.0
700.0,0.224211,6.970011877516905E-10,700.0,59.71428571428572,22.94360127412405,-193.75,12.962962962962973,68.04841654894193,75.34147350993378,62.042682926829265,1.0,2056.0,100.0,0.0
800.0,0.248539,7.724245409998629E-10,800.0,59.375,21.00145843461351,-187.61061946902657,14.698162729658785,67.393760174783,75.56818181818181,60.81520888749804,1.0,2192.0,100.0,0.0
900.0,0.269675,8.383017799092664E-10,900.0,58.88888888888889,19.190448456610376,-180.3030303030304,15.137614678899089,66.76355236204408,75.61411691542288,59.76778656126483,1.0,2088.0,100.0,0.0
1000.0,0.289408,8.996019139885903E-10,1000.0,58.4,17.598960479193725,-197.14285714285714,15.102040816326523,66.20235889872635,75.5945796460177,58.88607959546175,1.0,2048.0,100.0,0.0
1100.0,0.310854,9.65113826096058E-10,1100.0,53.90909090909091,13.892131250810577,-244.89795918367344,-1.6032064128256616,64.45453921449752,73.3378984063745,57.490733988031614,1.0,2184.0,100.0,0.0
1200.0,0.333127,1.034212222115861E-9,1200.0,51.583333333333336,11.921654235643684,-265.40880503144666,-10.666666666666659,63.507599613760014,72.25996376811594,56.64640141537474,1.0,2200.0,100.0,0.0
1300.0,0.352267,1.0934325411087936E-9,1300.0,50.07692307692307,10.588250255401581,-288.6227544910178,-16.51705565529624,62.866029743797704,71.61025747508305,56.024907195009874,1.0,2168.0,100.0,0.0
1400.0,0.372232,1.1555360174841351E-9,1400.0,47.85714285714286,9.152325416014792,-288.29787234042567,-26.736111111111093,62.075974837866376,70.56173312883436,55.4121110176619,1.0,2064.0,100.0,0.0
1500.0,0.392351,1.2182018057339721E-9,1500.0,45.733333333333334,7.948541651588621,-302.97029702970286,-37.499999999999986,61.360029206834476,69.55573361823362,54.89212745738552,1.0,2080.0,100.0,0.0
1600.0,0.412646,1.2814997964435154E-9,1600.0,44.875,7.290615539858729,-308.3333333333333,-41.34615384615385,61.01076541556756,69.21542553191489,54.54509711409924,1.0,2096.0,100.0,0.0
1700.0,0.431743,1.3400337451861965E-9,1700.0,45.1764705882353,7.039291799462097,-308.7719298245613,-38.278931750741826,60.9767227811799,69.47864713216958,54.32866321458878,1.0,2056.0,100.0,0.0
1800.0,0.451341,1.4007928243113888E-9,1800.0,45.33333333333333,6.768740999014619,-298.38056680161935,-36.2880886426593,60.91346275204912,69.65228873239437,54.12299736829955,1.0,2192.0,100.0,0.0
1900.0,0.471495,1.464235002381934E-9,1900.0,44.631578947368425,6.2887962883087,-303.06513409961684,-39.52254641909814,60.645165439411194,69.36322062084257,53.873914670831624,1.0,2208.0,100.0,0.0
2000.0,0.491614,1.5267342370417383E-9,2000.0,44.1,5.894790712708073,-299.2857142857142,-41.87817258883248,60.43077616924016,69.15703781512606,53.65994380895043,1.0,2048.0,100.0,0.0
2100.0,0.511391,1.5888668762312994E-9,2100.0,43.57142857142857,5.534677143833278,-304.4368600682595,-44.33617539585871,60.22691573678303,68.94648203592814,53.46524064171123,1.0,2184.0,100.0,0.0
2200.0,0.539696,1.6791389489339457E-9,2200.0,43.0,5.194312483504877,-300.6389776357829,-47.183098591549275,60.0214672961153,68.70841254752852,53.284587783711615,1.0,2200.0,100.0,0.0
2300.0,0.563266,1.7544074253075651E-9,2300.0,44.04347826086957,5.231796475510284,-293.5779816513761,-40.043525571273115,60.20447235361226,69.30864337568057,53.21439277528756,1.0,2216.0,100.0,0.0
2400.0,0.584465,1.8193841849764186E-9,2400.0,44.375,5.117270788912576,-281.4285714285714,-37.48712667353246,60.22080752998655,69.53125,53.10931174089069,1.0,2056.0,100.0,0.0
2500.0,0.604685,1.882364563643932E-9,2500.0,44.080000000000005,4.879944609917967,-275.8064516129031,-38.69047619047618,60.09512645496014,69.42335690515807,52.97677865612649,1.0,2080.0,100.0,0.0
2600.0,0.625394,1.9475966691970823E-9,2600.0,44.07692307692307,4.717064829900155,-268.1012658227848,-38.212927756654004,60.04125018740666,69.46385782747603,52.869612576542636,1.0,2216.0,100.0,0.0
2700.0,0.645441,2.010536067601707E-9,2700.0,44.25925925925926,4.600583172514829,-259.18854415274456,-36.69391462306993,60.03285200170808,69.59725422427036,52.77961389523256,1.0,2176.0,100.0,0.0
2800.0,0.665341,2.073343427230914E-9,2800.0,44.46428571428571,4.495762191376979,-253.4090909090909,-35.09991311902695,60.0319752544285,69.73927514792899,52.696877590494616,1.0,2072.0,100.0,0.0
