learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.001228,4.000282949871487E-12,100.0,90.0,78.92074198988196,33.33333333333336,67.74193548387099,90.03743729983475,88.42364532019704,91.71122994652407,100.0,2536.0,0.0,0.0
200.0,0.003987,1.3005019476016365E-11,200.0,85.5,71.0752044683822,0.0,69.47368421052632,86.9042490360768,88.21321321321321,85.63356335633563,200.0,2560.0,0.0,0.0
300.0,0.00739,2.4132751342323097E-11,300.0,83.0,65.02057613168724,-24.39024390243901,56.03448275862068,82.57278410324983,82.23174214606284,82.91666666666666,300.0,2584.0,0.0,0.0
400.0,0.010606,3.464899750219452E-11,400.0,82.5,65.1567944250871,-34.61538461538464,60.67415730337077,82.89952387495298,82.80701754385966,82.99223712067749,400.0,2584.0,0.0,0.0
500.0,0.012577,4.109412224756348E-11,500.0,80.80000000000001,62.02110993306221,-49.99999999999996,57.333333333333336,81.74346831827948,81.9104069303545,81.57720878518828,500.0,2584.0,0.0,0.0
600.0,0.016375,5.3513495044575806E-11,600.0,80.16666666666666,60.56468716861081,-52.564102564102576,54.75285171102661,80.68973083393806,80.54688892850777,80.83308027128253,600.0,2584.0,0.0,0.0
700.0,0.018553,6.063550503717529E-11,700.0,80.0,60.12888946751727,-45.83333333333333,56.790123456790134,80.2614417193769,80.24161864850707,80.28127458693942,700.0,2584.0,0.0,0.0
800.0,0.022508,7.356826422943009E-11,800.0,80.75,61.64025282560637,-36.28318584070798,59.580052493438316,81.10283357934972,81.22968973807255,80.97637302456579,800.0,2584.0,0.0,0.0
900.0,0.025408,8.305119764473702E-11,900.0,81.22222222222221,62.52032920999457,-28.030303030303106,61.23853211009174,81.46210795850331,81.58565673566744,81.33893280632411,900.0,2584.0,0.0,0.0
1000.0,0.028684,9.37636424269941E-11,1000.0,82.3,64.64497159612971,-26.428571428571452,63.87755102040815,82.54941605165922,82.73136966960772,82.36826102958827,1000.0,2584.0,0.0,0.0
1100.0,0.032755,1.0707571895586119E-10,1100.0,82.54545454545455,65.17207829686186,-30.61224489795917,61.523046092184366,82.79413271546862,82.68629559176246,82.90225148272843,1100.0,2584.0,0.0,0.0
1200.0,0.035566,1.162676244146294E-10,1200.0,82.08333333333333,63.939082207710875,-35.22012578616359,59.04761904761904,82.03826866239739,81.85839721875557,82.21893232739555,1200.0,2584.0,0.0,0.0
1300.0,0.039335,1.2859216787748866E-10,1300.0,81.15384615384616,61.71083445135292,-46.70658682634724,56.01436265709157,80.86393048814786,80.77328882750155,80.95477580871197,1300.0,2584.0,0.0,0.0
1400.0,0.043207,1.412535189754433E-10,1400.0,81.21428571428572,61.26167830990658,-39.89361702127663,54.34027777777779,80.63114037202647,80.65464094459338,80.60765349032802,1400.0,2584.0,0.0,0.0
1500.0,0.044524,1.4556007873680856E-10,1500.0,81.39999999999999,60.950475685722694,-38.118811881188115,52.871621621621614,80.48614360001137,80.66332939645606,80.30973451327435,1500.0,2584.0,0.0,0.0
1600.0,0.045874,1.4997454774048593E-10,1600.0,80.75,59.08064301846685,-42.59259259259259,50.641025641025635,79.60150019689902,80.06761325219742,79.1407826793531,1600.0,2584.0,0.0,0.0
1700.0,0.047919,1.566616507867972E-10,1700.0,80.41176470588235,58.3970251043565,-46.052631578947356,50.59347181008901,79.32263682799051,79.98679195441338,78.66942024718725,1700.0,2584.0,0.0,0.0
1800.0,0.04901,1.6022919573717647E-10,1800.0,80.5,58.85207849757334,-42.105263157894676,51.385041551246545,79.52412554484697,80.08305468665732,78.97294427258876,1800.0,2584.0,0.0,0.0
1900.0,0.050096,1.6378039080235693E-10,1900.0,80.42105263157895,58.71668948502167,-42.528735632183896,50.66312997347481,79.40426034837698,79.77927236188526,79.03275741766747,1900.0,2584.0,0.0,0.0
2000.0,0.051079,1.66994778232442E-10,2000.0,80.9,59.544869188016825,-36.428571428571374,51.522842639593925,79.83358697311203,80.2882211994277,79.38407251321158,2000.0,2584.0,0.0,0.0
2100.0,0.052048,1.7016338598397042E-10,2100.0,81.33333333333333,60.34395548811331,-33.788395904436875,52.25334957369062,80.23237540609485,80.6982632622673,79.77183600713012,2100.0,2584.0,0.0,0.0
2200.0,0.052965,1.7316195492943125E-10,2200.0,80.77272727272728,58.741660548408724,-35.14376996805117,50.35211267605635,79.49461743292952,80.21038259589523,78.79151368491321,2200.0,2584.0,0.0,0.0
2300.0,0.054097,1.768635689384407E-10,2300.0,79.6086956521739,56.515464482724695,-43.425076452599406,48.96626768226333,78.48580142243237,79.4167808127199,77.57639631431401,22.0,2584.0,1.0,0.0
2400.0,0.055107,1.8016624574859934E-10,2400.0,80.29166666666666,58.23399558498895,-35.142857142857146,51.2873326467559,79.32937547576469,80.19688644688645,78.4804318488529,122.0,2584.0,0.0,0.0
2500.0,0.056044,1.832302142348554E-10,2500.0,79.75999999999999,57.26790221544814,-36.02150537634407,49.8015873015873,78.75557290365319,79.37556834564288,78.14518785328744,222.0,2584.0,0.0,0.0
2600.0,0.057334,1.874484846161471E-10,2600.0,80.3076923076923,58.4940110649379,-29.620253164556985,51.330798479087434,79.36560568191092,79.97487032525417,78.76555385460826,322.0,2584.0,0.0,0.0
2700.0,0.059197,1.9354045184122187E-10,2700.0,80.25925925925927,58.510638297872354,-27.20763723150354,51.58946412352409,79.37479282157935,79.97076023391813,78.78764237790608,422.0,2584.0,0.0,0.0
2800.0,0.060245,1.969673877788914E-10,2800.0,80.25,58.692810457516345,-25.68181818181819,51.95482189400521,79.43815048104925,79.93333333333334,78.94906511927789,522.0,2584.0,0.0,0.0
2900.0,0.061511,2.0110717871122884E-10,2900.0,80.3103448275862,58.91658272506688,-24.94529540481402,52.05709487825359,79.51680870388417,79.89973488267148,79.13753542988258,622.0,2584.0,0.0,0.0
3000.0,0.062485,2.0429213634795608E-10,3000.0,80.83333333333333,59.59740748860296,-23.39055793991416,52.04336947456213,79.86061320931896,80.29984910376784,79.42615636756744,722.0,2584.0,0.0,0.0
3100.0,0.063352,2.0712720644142888E-10,3100.0,80.74193548387096,59.71638874958207,-21.095334685598385,52.392344497607645,79.89097203168956,80.1855179543513,79.59858210385131,822.0,2584.0,0.0,0.0
