learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.00146,4.749993483225504E-12,100.0,90.0,78.92074198988196,33.33333333333336,67.74193548387099,90.03743729983475,88.42364532019704,91.71122994652407,100.0,2536.0,0.0,0.0
200.0,0.005802,1.8903302649656932E-11,200.0,89.0,78.0329505741388,24.137931034482776,76.8421052631579,89.52442680478218,89.97442455242967,89.07890789078908,19.0,2560.0,1.0,1.0
300.0,0.007672,2.5010419388612113E-11,300.0,89.66666666666666,78.9687924016282,24.39024390243901,73.27586206896551,89.75027614799558,89.09363664860508,90.41666666666667,77.0,2584.0,1.0,1.0
400.0,0.009662,3.1476488543881314E-11,400.0,87.25,74.3731470780363,1.9230769230769675,71.34831460674158,87.2096166250567,87.11477218586224,87.30466780925497,65.0,2520.0,1.0,2.0
500.0,0.015168,4.941261063019435E-11,500.0,86.4,72.5509825133612,-6.250000000000005,69.77777777777777,86.28615104669737,86.37062699324926,86.20184018434071,165.0,2552.0,0.0,0.0
600.0,0.017477,5.8100322882334395E-11,600.0,85.0,69.38254805238986,-15.384615384615397,65.77946768060836,84.78922248498102,85.17390054613394,84.4080035091271,265.0,2584.0,0.0,2.0
700.0,0.02074,7.044503258334266E-11,700.0,84.85714285714285,69.47306059309481,-10.416666666666712,67.28395061728394,84.80657248895805,85.01542749079327,84.5987411487018,104.0,2584.0,1.0,1.0
800.0,0.02444,8.47416619459788E-11,800.0,85.375,70.65646749012477,-3.539823008849561,69.29133858267717,85.36843801848909,85.47190954647327,85.26521671099985,100.0,2536.0,1.0,2.0
900.0,0.030737,1.0528057813644408E-10,900.0,84.77777777777777,69.5149087672452,-3.787878787878852,68.57798165137613,84.78235717017064,84.83652259244391,84.72826086956522,30.0,2568.0,2.0,4.0
1000.0,0.033178,1.13252488275369E-10,1000.0,85.6,71.18616936129342,-2.8571428571428594,70.61224489795917,85.60706038825143,85.63301282051282,85.58112368181018,130.0,2584.0,0.0,0.0
1100.0,0.035509,1.2082656224568684E-10,1100.0,85.72727272727273,71.22203855280348,-6.802721088435333,68.5370741482966,85.61251700574053,85.64190316081601,85.58315101018678,36.0,2520.0,2.0,2.0
1200.0,0.036999,1.2568032575978173E-10,1200.0,86.5,72.61655571488538,-1.8867924528302331,69.14285714285714,86.30827785744269,86.30827785744269,86.30827785744269,136.0,2552.0,0.0,0.0
1300.0,0.038501,1.3058561417791577E-10,1300.0,87.38461538461539,74.28716842869513,1.7964071856287698,70.55655296229803,87.14358421434757,87.14358421434757,87.14358421434757,236.0,2584.0,0.0,0.0
1400.0,0.039767,1.3548262003395291E-10,1400.0,87.85714285714286,75.01679543164259,9.574468085106336,70.48611111111111,87.50986175647112,87.45461253993678,87.56518082422204,336.0,2584.0,0.0,1.0
1500.0,0.040749,1.3928108745151095E-10,1500.0,88.66666666666667,76.37611449153988,15.841584158415905,71.2837837837838,88.1893919310874,88.12532834131218,88.25354873195937,436.0,2584.0,0.0,0.0
1600.0,0.04225,1.4418311003181669E-10,1600.0,88.75,76.48902821316614,16.66666666666664,71.15384615384615,88.24923975087275,88.125,88.37383030588975,10.0,2584.0,1.0,1.0
1700.0,0.044073,1.510195889406734E-10,1700.0,88.94117647058823,77.00653256208811,17.543859649122822,72.10682492581603,88.50743439235976,88.39718754484144,88.61795657770928,110.0,2584.0,0.0,1.0
1800.0,0.045712,1.5722710225317212E-10,1800.0,88.77777777777777,76.79796618475864,18.21862348178139,72.02216066481995,88.41130155857344,88.23580244403327,88.58750019237576,210.0,2584.0,0.0,4.0
1900.0,0.046885,1.6105307473076713E-10,1900.0,88.26315789473685,75.58623010367064,14.55938697318009,70.42440318302387,87.79587052345885,87.70659933612268,87.88532362332435,109.0,2568.0,1.0,0.0
2000.0,0.047898,1.6433621032370462E-10,2000.0,87.85,74.58456749836839,13.214285714285683,69.16243654822334,87.29246849864872,87.31698969836073,87.26796106762995,18.0,2488.0,1.0,4.0
2100.0,0.048887,1.6754974921544393E-10,2100.0,87.85714285714286,74.5291095890411,12.969283276450486,68.94031668696711,87.26472323969394,87.28881806655015,87.24064171122994,45.0,2520.0,1.0,1.0
2200.0,0.050031,1.7127639717525906E-10,2200.0,87.13636363636364,73.02716172612301,9.584664536741162,66.78403755868545,86.51733985758159,86.40522858878035,86.62974243435693,6.0,2552.0,3.0,3.0
2300.0,0.050936,1.747920053700606E-10,2300.0,86.95652173913044,72.97125787065218,8.256880733944937,67.35582154515778,86.4942080101921,86.34689543593142,86.64202409024281,106.0,2584.0,0.0,1.0
2400.0,0.051877,1.784474609626664E-10,2400.0,87.5,74.18938538473947,14.285714285714308,69.10401647785788,87.10263998728858,86.96683835870131,87.23886639676113,206.0,2584.0,0.0,0.0
2500.0,0.05292,1.8235668333040345E-10,2500.0,87.08,73.31033780684024,13.172043010752727,67.95634920634922,86.66574928382437,86.50889276470731,86.82317565557398,90.0,2544.0,1.0,5.0
2600.0,0.053879,1.859590080049303E-10,2600.0,87.3076923076923,73.79045068205923,16.45569620253166,68.63117870722434,86.90313175140706,86.76790406678697,87.03878159836708,190.0,2576.0,0.0,2.0
2700.0,0.055142,1.9084440958168774E-10,2700.0,86.96296296296296,73.1201194661357,15.990453460620543,68.02906448683017,86.56524420238007,86.45888273217466,86.67186768606648,88.0,2584.0,1.0,3.0
2800.0,0.056256,1.9515346528755297E-10,2800.0,86.92857142857143,73.12133952668589,16.81818181818184,68.20156385751521,86.56736475208614,86.45179308581048,86.68324583218201,188.0,2584.0,0.0,2.0
2900.0,0.057193,1.9877786851591539E-10,2900.0,86.79310344827587,72.88237390926449,16.192560175054698,67.84214945424016,86.4566141665686,86.28572706621857,86.62817948686487,288.0,2584.0,0.0,0.0
3000.0,0.058226,2.0277360868122847E-10,3000.0,87.13333333333333,73.35575315554856,17.167381974248897,67.8065054211843,86.69056720885712,86.51250916777032,86.86935971146147,388.0,2584.0,0.0,0.0
3100.0,0.059153,2.062825899985102E-10,3100.0,87.03225806451613,73.2785667602696,18.458417849898616,67.94258373205743,86.65962873368167,86.45014198339886,86.87013321042829,488.0,2584.0,0.0,1.0
3200.0,0.060469,2.1056953817605977E-10,3200.0,86.96875,73.1028260576854,18.713450292397614,67.47269890795631,86.5798766653711,86.32541142976878,86.83584653311686,48.0,2552.0,2.0,0.0
3300.0,0.061427,2.1429499818219084E-10,3300.0,87.09090909090908,73.45507718382878,19.924812030075174,68.16143497757847,86.75876948249496,86.50733350951374,87.01167132738324,148.0,2584.0,0.0,4.0
3400.0,0.062534,2.1849449930919547E-10,3400.0,87.3529411764706,74.10046962828328,20.37037037037037,69.30763740185583,87.07964789155258,86.85289010730702,87.30759282548006,248.0,2584.0,0.0,1.0
3500.0,0.063488,2.2219255773557561E-10,3500.0,87.28571428571429,74.06231306546657,20.677361853832448,69.45778997940975,87.07262107910115,86.82451454606397,87.32214963583161,348.0,2584.0,0.0,3.0
3600.0,0.064421,2.2580921236011722E-10,3600.0,87.55555555555556,74.45546812635419,21.265377855887483,69.44065484311051,87.26474809024893,86.99737068770116,87.53377407300948,448.0,2584.0,0.0,0.0
3700.0,0.065324,2.2930957583917517E-10,3700.0,87.48648648648648,74.16077965032056,21.392190152801344,68.8215488215488,87.10343775920454,86.87156837336099,87.3365482253547,548.0,2584.0,0.0,0.0
3800.0,0.066249,2.328952194915878E-10,3800.0,87.28947368421053,73.5832480313374,20.165289256198353,67.90697674418604,86.8018614687714,86.6338234215064,86.9705526480286,648.0,2584.0,0.0,1.0
3900.0,0.067199,2.365856369336447E-10,3900.0,87.38461538461539,73.78078175575298,20.772946859903342,68.25806451612904,86.89648238532162,86.76672143149747,87.02663203941977,748.0,2584.0,0.0,0.0
4000.0,0.068188,2.404316494034397E-10,4000.0,87.52499999999999,74.05181213511986,21.417322834645624,68.61635220125784,87.02957691615417,86.92765637224127,87.13173673928938,848.0,2584.0,0.0,0.0
4100.0,0.069836,2.468130882415507E-10,4100.0,87.51219512195122,73.98405581530464,21.832061068702306,68.56967464702272,86.99296953642187,86.94036842239444,87.04563433898184,948.0,2584.0,0.0,2.0
4200.0,0.072197,2.559749740693305E-10,4200.0,87.28571428571429,73.46524204625719,21.354933726067745,67.6950998185118,86.73619961328305,86.63189999469061,86.84075067558572,1048.0,2584.0,0.0,0.0
4300.0,0.074998,2.6686747247974084E-10,4300.0,87.13953488372093,72.99699207000273,19.971056439942064,66.94560669456067,86.49885110766083,86.46391226727876,86.53381819603703,1148.0,2584.0,0.0,0.0
