learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),F1 Score for class 5 (percent),F1 Score for class 6 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Precision for class 5 (percent),Precision for class 6 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),Recall for class 5 (percent),Recall for class 6 (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.056504,5.098627673255072E-10,100.0,68.0,46.799667497921874,11.111111111111121,33.33333333333334,?,35.714285714285715,61.9718309859155,?,?,81.18811881188118,?,?,?,29.411764705882355,68.75,?,?,80.3921568627451,?,?,?,45.45454545454545,56.41025641025641,?,?,82.0,?,?,3.0,8688.0,1.0,0.0
200.0,0.104561,9.713527229097154E-10,200.0,70.5,53.6800785083415,28.048780487804876,34.44444444444443,?,57.14285714285715,72.16494845360825,?,?,81.18811881188118,?,?,?,48.38709677419355,80.45977011494253,?,?,80.3921568627451,?,?,?,69.76744186046511,65.42056074766354,?,?,82.0,?,?,103.0,10928.0,0.0,0.0
300.0,0.135573,1.3552289290560617E-9,300.0,72.0,53.992770292474525,34.883720930232556,32.79999999999999,?,62.365591397849464,74.76038338658147,?,?,81.18811881188118,?,?,?,53.70370370370371,82.97872340425532,?,?,80.3921568627451,?,?,?,74.35897435897436,68.02325581395348,?,?,82.0,?,?,203.0,10960.0,0.0,3.0
400.0,0.167585,1.8102491647005082E-9,400.0,72.0,52.67822247573174,32.12121212121211,34.11764705882353,?,62.040816326530624,75.28868360277137,?,?,80.32786885245902,?,?,?,56.2962962962963,79.12621359223301,?,?,83.05084745762711,?,?,?,69.0909090909091,71.80616740088107,?,?,77.77777777777779,?,?,303.0,14520.0,0.0,1.0
500.0,0.194161,2.1640210102001826E-9,500.0,72.2,52.865378094269246,33.49282296650718,35.348837209302324,?,61.95286195286195,75.45787545787547,?,?,80.25477707006368,?,?,?,57.861635220125784,78.03030303030303,?,?,81.81818181818183,?,?,?,66.66666666666666,73.04964539007092,?,?,78.75,?,?,403.0,14536.0,0.0,1.0
600.0,0.214863,2.4395999064048133E-9,600.0,73.0,51.807945739316686,31.645569620253163,30.172413793103452,?,60.29850746268656,77.73049645390073,?,?,78.75000000000001,?,?,?,55.19125683060109,80.58823529411765,?,?,81.81818181818183,?,?,?,66.44736842105263,75.06849315068493,?,?,75.90361445783132,?,?,503.0,14544.0,0.0,1.0
700.0,0.236188,2.723604397227367E-9,700.0,73.0,53.456136894542794,33.450704225352105,33.91608391608392,?,61.08108108108108,76.88442211055278,?,?,78.63247863247862,?,?,?,55.392156862745104,79.48051948051949,?,?,82.88288288288288,?,?,?,68.07228915662651,74.45255474452554,?,?,74.79674796747967,?,?,603.0,14568.0,0.0,0.0
800.0,0.250735,2.917370181530714E-9,800.0,72.5,51.50820503212581,31.03448275862069,29.260450160771708,?,59.80392156862745,77.18550106609808,?,?,75.59055118110236,?,?,?,54.7085201793722,80.08849557522124,?,?,76.8,?,?,?,65.94594594594595,74.48559670781893,?,?,74.4186046511628,?,?,703.0,14576.0,0.0,0.0
900.0,0.268143,3.100534990015957E-9,900.0,71.11111111111111,48.82594918023108,28.374655647382923,26.136363636363637,?,57.33634311512416,76.38758231420508,?,?,72.78911564625851,?,?,?,53.58649789029536,78.37837837837837,?,?,73.79310344827587,?,?,?,61.6504854368932,74.49541284403671,?,?,71.81208053691275,?,?,89.0,14480.0,1.0,1.0
1000.0,0.283169,3.2586366910901336E-9,1000.0,71.8,51.11143472336354,31.553398058252423,31.553398058252423,?,56.722689075630264,76.49609713790112,?,?,76.54986522911051,?,?,?,54.0,77.64084507042254,?,?,78.02197802197803,?,?,?,59.73451327433629,75.38461538461539,?,?,75.13227513227513,?,?,189.0,14480.0,0.0,0.0
