learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.024944,6.201104323069255E-10,100.0,75.0,58.27770360480642,30.555555555555554,47.916666666666664,?,?,?,21.0,10968.0,3.0,0.0
200.0,0.047863,1.190116320633226E-9,200.0,74.0,57.39101933792199,36.585365853658544,42.222222222222214,?,?,?,35.0,10976.0,2.0,0.0
300.0,0.059157,1.4759818940526908E-9,300.0,77.0,60.02008652657602,46.511627906976756,44.800000000000004,?,?,?,89.0,11008.0,1.0,0.0
400.0,0.0716,1.8134632168544662E-9,400.0,76.5,58.90171388597412,43.03030303030303,44.70588235294118,?,?,?,41.0,14504.0,2.0,0.0
500.0,0.085099,2.1608114925523596E-9,500.0,77.8,61.564032244660524,46.88995215311006,48.37209302325582,?,?,?,58.0,10984.0,2.0,0.0
600.0,0.096357,2.4711158478425607E-9,600.0,77.66666666666666,58.83446231356465,43.45991561181434,42.241379310344826,?,?,?,84.0,14536.0,1.0,0.0
700.0,0.108808,2.81273098455535E-9,700.0,78.14285714285715,61.119299493933745,46.126760563380294,46.503496503496514,?,?,?,184.0,14576.0,0.0,0.0
800.0,0.123716,3.216358853711022E-9,800.0,77.5,59.089281960077955,43.57366771159876,42.12218649517686,?,?,?,82.0,14528.0,1.0,0.0
900.0,0.137078,3.5959939493073356E-9,900.0,76.88888888888889,57.97470400452579,42.699724517906326,40.90909090909089,?,?,?,57.0,14504.0,2.0,0.0
1000.0,0.150225,3.9453588757250045E-9,1000.0,77.2,59.65058825195022,44.66019417475729,44.66019417475729,?,?,?,17.0,10944.0,1.0,0.0
1100.0,0.163431,4.3020038762026365E-9,1100.0,76.9090909090909,59.20226855245443,43.92935982339956,44.42013129102843,?,?,?,24.0,10960.0,2.0,0.0
1200.0,0.175776,4.651211471193367E-9,1200.0,76.41666666666667,59.19652233257477,43.7375745526839,45.68138195777352,?,?,?,79.0,14544.0,1.0,0.0
1300.0,0.189382,5.0494649923510026E-9,1300.0,77.07692307692308,61.686581600460464,45.71948998178505,50.33333333333333,?,?,?,67.0,14504.0,2.0,0.0
1400.0,0.204792,5.500618053807153E-9,1400.0,76.71428571428571,61.96115103356653,46.29324546952224,51.988217967599404,?,?,?,50.0,14528.0,2.0,0.0
1500.0,0.219265,5.930449395544E-9,1500.0,76.93333333333334,62.91723469746465,48.28101644245141,54.05046480743692,?,?,?,24.0,14496.0,1.0,0.0
1600.0,0.234541,6.375434700813559E-9,1600.0,76.625,62.93362058125583,48.55570839064649,55.10204081632652,?,?,?,44.0,14496.0,4.0,0.0
1700.0,0.248533,6.813654953406918E-9,1700.0,77.05882352941177,64.46257823726886,50.06402048655572,57.56256800870513,?,?,?,88.0,17936.0,1.0,0.0
