learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.001512,7.979571819305421E-12,100.0,90.0,78.92074198988196,33.33333333333336,67.74193548387099,90.03743729983475,88.42364532019704,91.71122994652407,100.0,2536.0,0.0,0.0
200.0,0.006068,3.205212454001109E-11,200.0,90.0,80.02596624388296,31.03448275862071,78.94736842105263,90.41007608343861,90.75373817516021,90.06900690069006,20.0,2560.0,1.0,1.0
300.0,0.009748,5.151900152365367E-11,300.0,86.66666666666667,72.22222222222223,2.439024390243958,65.51724137931035,86.11111111111111,86.11111111111111,86.11111111111111,120.0,2584.0,0.0,0.0
400.0,0.013302,7.247447553608153E-11,400.0,86.25,72.46282481349823,-5.769230769230731,69.10112359550563,86.33406816798545,86.1906428946513,86.47797156971468,220.0,2584.0,0.0,2.0
500.0,0.018524,1.0005516724454032E-10,500.0,83.39999999999999,66.57538659793813,-29.68750000000003,63.11111111111109,83.2879635834742,83.27697262479872,83.29895744372291,118.0,2552.0,1.0,0.0
600.0,0.021462,1.170562497443623E-10,600.0,82.5,64.37296416938109,-34.61538461538464,60.076045627376416,82.22841568315596,82.45073891625616,82.00728818706347,218.0,2584.0,0.0,2.0
700.0,0.025004,1.3579311884111828E-10,700.0,83.28571428571429,66.37213198219652,-21.87500000000002,63.888888888888886,83.20268500159413,83.2852871650839,83.1202465250459,104.0,2584.0,1.0,0.0
800.0,0.029168,1.5782031334108777E-10,800.0,83.375,66.70630202140309,-17.699115044247804,65.09186351706036,83.35325554135477,83.35022903056245,83.35628227194492,204.0,2584.0,0.0,0.0
900.0,0.032977,1.779695890016026E-10,900.0,84.0,67.97786123739868,-9.090909090909152,66.97247706422019,83.99027551194817,83.99833913318571,83.98221343873517,304.0,2584.0,0.0,0.0
1000.0,0.036675,1.9982770499255924E-10,1000.0,84.7,69.39779664135817,-9.285714285714294,68.77551020408163,84.69952301680792,84.69764911536815,84.70139700116816,404.0,2584.0,0.0,1.0
1100.0,0.038969,2.133538325627645E-10,1100.0,84.54545454545455,68.88301678320282,-15.646258503401334,65.93186372745491,84.4424327109871,84.42180468383607,84.46307082130333,504.0,2584.0,0.0,2.0
1200.0,0.04105,2.2434491250250076E-10,1200.0,84.5,68.55974915412766,-16.981132075471763,64.57142857142857,84.27987457706382,84.27987457706382,84.27987457706382,93.0,2552.0,1.0,1.0
1300.0,0.042996,2.3463908169004654E-10,1300.0,85.53846153846155,70.52431502801639,-12.574850299401131,66.24775583482945,85.26215751400818,85.26215751400818,85.26215751400818,193.0,2584.0,0.0,0.0
1400.0,0.044055,2.407868351373408E-10,1400.0,86.28571428571429,71.7694505125189,-2.1276595744681113,66.66666666666667,85.88534880525071,85.84978511952725,85.92094196804037,293.0,2584.0,0.0,1.0
1500.0,0.045117,2.4695200431678035E-10,1500.0,87.2,73.30367074527253,4.950495049504981,67.56756756756758,86.65240584623731,86.6111111111111,86.69373997743067,393.0,2584.0,0.0,0.0
1600.0,0.04632,2.533157687220309E-10,1600.0,87.5,73.84732065800141,7.407407407407414,67.94871794871796,86.92569425031749,86.84464625903598,87.00689365940605,10.0,2584.0,1.0,1.0
1700.0,0.047461,2.593515585694049E-10,1700.0,87.76470588235294,74.53520996929247,8.771929824561454,69.13946587537093,87.26940275516422,87.1973134139539,87.34161139301156,110.0,2584.0,0.0,0.0
1800.0,0.048494,2.653547893795703E-10,1800.0,87.66666666666667,74.47806493148165,10.121457489878585,69.25207756232687,87.24704746121644,87.10593841642229,87.3886144327993,210.0,2584.0,0.0,3.0
1900.0,0.04993,2.7294515942533816E-10,1900.0,87.10526315789474,73.15393665367137,6.130268199233751,67.50663129973475,86.57805091882199,86.52241513345427,86.63375830025552,106.0,2568.0,1.0,0.0
2000.0,0.051624,2.818641997873784E-10,2000.0,86.75,72.25944225776736,5.357142857142901,66.37055837563453,86.13069815005721,86.18673167151583,86.07473744063148,16.0,2488.0,1.0,2.0
2100.0,0.053492,2.917148276335664E-10,2100.0,86.61904761904762,71.87187187187187,4.095563139931711,65.77344701583434,85.93900319676817,86.04224673377597,85.83600713012478,116.0,2520.0,0.0,0.0
2200.0,0.055351,3.015333848694961E-10,2200.0,86.0909090909091,70.59255221001428,2.2364217252396124,64.08450704225353,85.30575594708228,85.49574055330635,85.11661381842457,77.0,2552.0,1.0,1.0
2300.0,0.056547,3.0786011988917995E-10,2300.0,86.08695652173914,70.99395365811174,2.1406727828746366,65.17954298150164,85.49844525841395,85.56341114605897,85.43357794945754,177.0,2584.0,0.0,0.0
2400.0,0.057524,3.130283641318481E-10,2400.0,86.33333333333333,71.6615368000432,6.285714285714277,66.2203913491246,85.83082220562979,85.84248428667219,85.8191632928475,277.0,2584.0,0.0,0.0
2500.0,0.058627,3.188517234391637E-10,2500.0,85.92,70.78997193181847,5.376344086021509,65.07936507936508,85.39503501299389,85.38389863578806,85.40617429555017,89.0,2544.0,1.0,1.0
2600.0,0.059615,3.2407611194584114E-10,2600.0,86.1923076923077,71.37196206646955,9.113924050632907,65.87452471482888,85.68599244678798,85.69134495927852,85.6806406029204,189.0,2576.0,0.0,0.0
2700.0,0.060779,3.3023356977436285E-10,2700.0,86.0,71.03834595640711,9.785202863961816,65.6675749318801,85.51921491465936,85.52913412557885,85.509298004227,88.0,2584.0,1.0,1.0
2800.0,0.061792,3.355922508570884E-10,2800.0,86.0,71.12285677452623,10.9090909090909,65.94265855777583,85.5614671814522,85.55233669884178,85.57059961315281,188.0,2584.0,0.0,0.0
2900.0,0.062937,3.42248734086752E-10,2900.0,85.89655172413792,70.9546921603871,10.503282275711099,65.65910999160369,85.47994443712224,85.40718408333724,85.55282886906588,288.0,2584.0,0.0,3.0
3000.0,0.063996,3.4840525438388196E-10,3000.0,86.26666666666667,71.46747222580034,11.587982832618037,65.63803169307756,85.73542621847696,85.66849055099495,85.80246656591687,388.0,2584.0,0.0,0.0
3100.0,0.06501,3.543841093778611E-10,3100.0,86.19354838709677,71.46455565745079,13.184584178499001,65.86921850079746,85.73767656333156,85.62629516790865,85.84934810265334,488.0,2584.0,0.0,1.0
3200.0,0.06615,3.6040517191092183E-10,3200.0,85.875,70.67824400306841,11.890838206627672,64.74258970358815,85.34103768668638,85.27093763505607,85.41125308970004,104.0,2552.0,1.0,0.0
3300.0,0.067128,3.6606448392073325E-10,3300.0,85.69696969696969,70.37508159405492,11.278195488721805,64.7234678624813,85.18765235503984,85.17127209625244,85.20403891558801,204.0,2584.0,0.0,2.0
3400.0,0.068349,3.731299440066021E-10,3400.0,85.82352941176471,70.75446276404949,10.740740740740758,65.5960028551035,85.37733612026554,85.39233928170367,85.36233822991643,304.0,2584.0,0.0,0.0
3500.0,0.069408,3.79257972041766E-10,3500.0,85.85714285714286,70.94661219890125,11.764705882352905,66.02608098833218,85.47380325846763,85.44334975369459,85.50427847930449,404.0,2584.0,0.0,0.0
3600.0,0.070394,3.8496357699235295E-10,3600.0,86.13888888888889,71.32870481206608,12.302284710017535,65.96180081855388,85.66450039857551,85.64586241276172,85.68314649803584,504.0,2584.0,0.0,0.0
3700.0,0.071461,3.9127260239587905E-10,3700.0,86.08108108108108,71.02525144394758,12.56366723259763,65.31986531986531,85.51331034825668,85.55687436131976,85.46979067663088,604.0,2584.0,0.0,1.0
3800.0,0.072613,3.980699160860646E-10,3800.0,85.92105263157895,70.49345166528398,11.570247933884264,64.4518272425249,85.25191936480459,85.381081588244,85.12314733742171,704.0,2584.0,0.0,1.0
3900.0,0.074049,4.0566028613183247E-10,3900.0,85.8974358974359,70.49833470320085,11.433172302737455,64.51612903225805,85.25262188618294,85.35587526376663,85.14961801406815,107.0,2568.0,1.0,0.0
4000.0,0.075445,4.130450035962795E-10,4000.0,86.175,71.07279142331805,12.913385826771634,65.22012578616352,85.54051584039098,85.6540336283302,85.42729854577274,207.0,2584.0,0.0,0.0
4100.0,0.076498,4.1861528116795763E-10,4100.0,86.46341463414635,71.66734235064312,15.267175572519095,65.93001841620627,85.83819216082559,85.95802984459976,85.7186881533114,307.0,2584.0,0.0,0.0
4200.0,0.077663,4.247683845460416E-10,4200.0,86.42857142857143,71.52715089539619,16.05301914580265,65.51724137931035,85.76575197389941,85.85081460021102,85.68085774408597,65.0,2552.0,1.0,1.0
4300.0,0.078701,4.302593134343625E-10,4300.0,86.48837209302326,71.531888205088,15.918958031837906,65.27196652719665,85.76823468724454,85.85917371113433,85.67748809838021,165.0,2584.0,0.0,0.0
4400.0,0.079764,4.358604902194607E-10,4400.0,86.36363636363636,71.28582093837937,15.373765867418903,64.95327102803739,85.64424412318193,85.71310872982453,85.5754900836868,62.0,2504.0,1.0,1.0
4500.0,0.080734,4.4097965997126374E-10,4500.0,86.51111111111112,71.70497346078785,16.391184573002786,65.62853907134769,85.85296167769246,85.8926490313329,85.81331098280252,162.0,2536.0,0.0,0.0
4600.0,0.081821,4.467252952357134E-10,4600.0,86.43478260869564,71.623336167968,15.447154471544719,65.58190843905129,85.81168300335517,85.80485778882422,85.81850930377473,63.0,2568.0,1.0,2.0
4700.0,0.082835,4.5208926623066274E-10,4700.0,86.29787234042553,71.21930022240669,14.018691588785018,65.0190114068441,85.61081159466607,85.67351581862425,85.54819908969668,163.0,2584.0,0.0,0.0
4800.0,0.083856,4.574902666111788E-10,4800.0,86.4375,71.55839049325003,15.01305483028719,65.57377049180327,85.78101560593953,85.85846644248284,85.7037043764958,263.0,2584.0,0.0,0.0
