learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),F1 Score for class 5 (percent),F1 Score for class 6 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Precision for class 5 (percent),Precision for class 6 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),Recall for class 5 (percent),Recall for class 6 (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.045721,5.110666176511181E-10,100.0,67.0,44.677284157585916,8.333333333333341,31.250000000000007,?,37.03703703703703,60.0,?,?,79.6116504854369,?,?,?,31.25,67.74193548387096,?,?,77.35849056603774,?,?,?,45.45454545454545,53.84615384615385,?,?,82.0,?,?,100.0,14480.0,0.0,0.0
200.0,0.093418,1.0451092715892528E-9,200.0,67.0,48.68804664723033,19.512195121951233,26.666666666666668,?,57.99999999999999,67.72486772486772,?,?,73.87387387387388,?,?,?,50.877192982456144,78.04878048780488,?,?,67.21311475409836,?,?,?,67.44186046511628,59.813084112149525,?,?,82.0,?,?,200.0,14512.0,0.0,0.0
300.0,0.119577,1.3493694178760053E-9,300.0,69.0,50.42291563010875,27.90697674418604,25.59999999999998,?,63.49206349206349,70.66666666666667,?,?,73.87387387387388,?,?,?,54.054054054054056,82.8125,?,?,67.21311475409836,?,?,?,76.92307692307693,61.627906976744185,?,?,82.0,?,?,300.0,14536.0,0.0,0.0
400.0,0.146021,1.6569991803003683E-9,400.0,69.75,49.68501153918125,26.666666666666668,28.823529411764714,?,62.295081967213115,72.64150943396226,?,?,74.24242424242425,?,?,?,56.71641791044776,78.1725888324873,?,?,71.01449275362319,?,?,?,69.0909090909091,67.84140969162996,?,?,77.77777777777779,?,?,400.0,14544.0,0.0,0.0
500.0,0.171154,1.960196950369411E-9,500.0,71.0,51.551682660180155,30.62200956937799,32.558139534883715,?,61.90476190476192,73.88059701492537,?,?,77.6470588235294,?,?,?,58.333333333333336,77.95275590551181,?,?,73.33333333333333,?,?,?,65.94202898550725,70.2127659574468,?,?,82.5,?,?,500.0,14552.0,0.0,0.0
600.0,0.184066,2.115990577472581E-9,600.0,69.83333333333334,47.72638662257585,23.628691983122373,21.982758620689673,?,59.45945945945946,74.26900584795322,?,?,72.1311475409836,?,?,?,54.69613259668509,79.62382445141067,?,?,66.0,?,?,?,65.13157894736842,69.58904109589041,?,?,79.51807228915662,?,?,600.0,14560.0,0.0,0.0
700.0,0.198487,2.2962292676998513E-9,700.0,70.28571428571428,50.24654613300164,26.76056338028168,27.27272727272727,?,60.162601626016254,73.53324641460235,?,?,75.00000000000001,?,?,?,54.679802955665025,79.21348314606742,?,?,70.2127659574468,?,?,?,66.86746987951807,68.61313868613139,?,?,80.48780487804879,?,?,700.0,14576.0,0.0,0.0
800.0,0.210355,2.4445842351350523E-9,800.0,70.375,49.13549114029322,25.70532915360502,23.79421221864952,?,59.25925925925925,74.64324917672887,?,?,72.53521126760563,?,?,?,54.54545454545454,80.0,?,?,66.45161290322581,?,?,?,64.86486486486487,69.95884773662551,?,?,79.84496124031007,?,?,800.0,14584.0,0.0,0.0
900.0,0.22254,2.602121991415819E-9,900.0,67.88888888888889,43.970893299125635,20.385674931129472,17.897727272727263,?,56.49202733485193,73.4225621414914,?,?,65.3968253968254,?,?,?,53.21888412017167,76.64670658682635,?,?,62.048192771084345,?,?,?,60.19417475728155,70.45871559633028,?,?,69.12751677852349,?,?,900.0,14584.0,0.0,0.0
1000.0,0.236601,2.7377022740741575E-9,1000.0,64.4,39.2844778038718,13.592233009708748,13.592233009708748,?,52.716297786720325,70.98491570541259,?,?,60.1063829787234,?,?,?,48.33948339483395,73.80073800738008,?,?,60.42780748663101,?,?,?,57.9646017699115,68.37606837606837,?,?,59.78835978835979,?,?,1.0,8504.0,1.0,0.0
1100.0,0.249786,2.8787799489994848E-9,1100.0,64.81818181818181,40.37414279951593,14.56953642384107,15.317286652078769,?,56.10561056105611,70.60755336617405,?,?,60.1063829787234,?,?,?,50.74626865671642,74.39446366782006,?,?,60.42780748663101,?,?,?,62.73062730627307,67.1875,?,?,59.78835978835979,?,?,101.0,10936.0,0.0,0.0
1200.0,0.26617,3.043269695093235E-9,1200.0,64.91666666666667,41.690289101670345,16.30218687872764,19.193857965451063,?,57.059679767103354,69.47040498442367,?,?,63.86946386946387,?,?,?,51.44356955380578,73.35526315789474,?,?,64.92890995260665,?,?,?,64.05228758169935,65.97633136094674,?,?,62.84403669724771,?,?,1.0,10040.0,1.0,0.0
1300.0,0.27952,3.1982420819501086E-9,1300.0,66.0,45.058885286279924,19.489981785063755,26.333333333333343,?,56.70816044260027,69.02788244159758,?,?,70.9090909090909,?,?,?,51.63727959697732,72.6984126984127,?,?,71.42857142857143,?,?,?,62.88343558282209,65.71018651362984,?,?,70.3971119133574,?,?,101.0,14448.0,0.0,0.0
1400.0,0.289592,3.3152454532682898E-9,1400.0,66.85714285714286,47.376777734933206,23.55848434925866,31.664212076583215,?,58.14536340852131,68.37107377647918,?,?,74.565560821485,?,?,?,53.45622119815668,71.88940092165899,?,?,74.92063492063492,?,?,?,63.73626373626373,65.18105849582173,?,?,74.21383647798741,?,?,201.0,14480.0,0.0,0.0
1500.0,0.298754,3.425621669739485E-9,1500.0,67.73333333333333,49.4261328964197,27.653213751868456,35.723771580345286,?,59.559675550405565,67.98586572438164,?,?,77.00831024930747,?,?,?,55.0321199143469,71.68405365126677,?,?,76.79558011049724,?,?,?,64.8989898989899,64.65053763440861,?,?,77.22222222222223,?,?,301.0,14488.0,0.0,0.0
1600.0,0.307248,3.5279679526057512E-9,1600.0,68.875,51.73895425921293,31.499312242090777,40.216086434573825,?,61.50583244962884,67.8596008258775,?,?,79.35323383084578,?,?,?,57.08661417322835,71.55297532656023,?,?,79.15632754342433,?,?,?,66.66666666666666,64.52879581151832,?,?,79.55112219451371,?,?,401.0,14496.0,0.0,0.0
1700.0,0.316384,3.6501131020486357E-9,1700.0,69.76470588235294,53.91182485016596,34.18693982074264,44.069640914037,?,62.75303643724697,67.82608695652175,?,?,80.54607508532423,?,78.94736842105263,?,58.490566037735846,70.7112970711297,?,?,80.82191780821918,?,100.0,?,67.68558951965066,65.16709511568124,?,?,80.27210884353741,?,65.21739130434783,501.0,17944.0,0.0,0.0
