learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.001316,2.5629086626900565E-12,100.0,90.0,78.92074198988196,33.33333333333336,67.74193548387099,90.03743729983475,88.42364532019704,91.71122994652407,100.0,2536.0,0.0,0.0
200.0,0.003506,6.841528746816847E-12,200.0,85.5,71.0752044683822,0.0,69.47368421052632,86.9042490360768,88.21321321321321,85.63356335633563,200.0,2560.0,0.0,0.0
300.0,0.004722,9.2247873544693E-12,300.0,85.33333333333334,70.43010752688174,-7.31707317073163,62.0689655172414,85.68338770788743,84.98931623931624,86.38888888888889,91.0,2584.0,1.0,0.0
400.0,0.007994,1.5637634529007807E-11,400.0,85.5,71.25867195242814,-11.538461538461549,67.41573033707864,86.27833810733189,86.31313131313132,86.24357294082064,191.0,2584.0,0.0,0.0
500.0,0.011554,2.2585466504096987E-11,500.0,85.2,70.58776769106026,-15.625000000000014,67.1111111111111,85.74857142752421,85.72555078131286,85.77160444093523,94.0,2552.0,1.0,0.0
600.0,0.014009,2.7087127996815578E-11,600.0,84.5,68.9316496291842,-19.230769230769248,64.63878326996198,84.60699805109627,84.40376150460185,84.81121571009211,4.0,2096.0,1.0,0.0
700.0,0.015363,2.9740855097770695E-11,700.0,85.14285714285714,70.33898305084745,-8.333333333333353,67.90123456790124,85.31688795652178,85.26143790849675,85.37241017571466,104.0,2584.0,0.0,0.0
800.0,0.017538,3.400367374221484E-11,800.0,85.0,70.081341353196,-6.194690265486751,68.503937007874,85.2534524358735,85.32159664235137,85.1854169926459,204.0,2584.0,0.0,0.0
900.0,0.020068,3.895179058114688E-11,900.0,84.88888888888889,69.83438485804417,-3.0303030303030507,68.80733944954129,85.11682155612485,85.23396466656057,85.00000000000001,73.0,2568.0,1.0,0.0
1000.0,0.02431,4.7265756875276565E-11,1000.0,84.89999999999999,69.83113426943393,-7.857142857142864,69.18367346938776,85.08413930584545,85.21202816027338,84.95663375526075,173.0,2584.0,0.0,0.0
1100.0,0.027225,5.4746553715732364E-11,1100.0,84.81818181818181,69.64579601710543,-13.60544217687075,66.53306613226452,84.96187866845803,84.83417962551572,85.08996273614594,273.0,2584.0,0.0,2.0
1200.0,0.030121,6.03984979291757E-11,1200.0,85.25,70.3597025922701,-11.320754716981146,66.28571428571429,85.2894418610986,85.06944444444444,85.51058009516592,131.0,2552.0,1.0,0.0
1300.0,0.03293,6.590390370951759E-11,1300.0,86.23076923076923,72.21572157932191,-7.185628742514908,67.86355475763017,86.20448933337383,85.93845071493764,86.47218021173286,231.0,2584.0,0.0,0.0
1400.0,0.034018,6.803629299004874E-11,1400.0,86.71428571428571,72.99203451709259,1.063829787233973,67.70833333333333,86.60903800406665,86.22818360774559,86.9932716568545,331.0,2584.0,0.0,0.0
1500.0,0.035096,7.014908310439852E-11,1500.0,87.6,74.50191921038201,7.920792079207953,68.58108108108108,87.3538749014638,86.8868778280543,87.82591910672923,431.0,2584.0,0.0,0.0
1600.0,0.036111,7.213839847180579E-11,1600.0,87.8125,74.88941685499604,9.72222222222226,68.75000000000001,87.56908623059904,87.03533884502778,88.10942046080051,531.0,2584.0,0.0,0.0
1700.0,0.038663,7.708728934327762E-11,1700.0,87.82352941176471,75.04708365006071,9.210526315789538,69.28783382789318,87.66223929072945,87.14577726488454,88.18485934803064,20.0,2504.0,1.0,0.0
1800.0,0.041638,8.287494174308247E-11,1800.0,87.8888888888889,75.24602573807722,11.740890688259164,69.80609418282549,87.7569744399657,87.275,88.24430182987825,120.0,2528.0,0.0,0.0
1900.0,0.042956,8.54526563651032E-11,1900.0,87.52631578947368,74.35987956033144,9.195402298850587,68.56763925729443,87.27259106452794,86.83367348435362,87.71596837469791,9.0,2568.0,1.0,0.0
2000.0,0.044203,8.789667238791784E-11,2000.0,87.4,74.02190407072639,10.000000000000007,68.02030456852792,87.09213971111555,86.66263642899156,87.5259214663188,109.0,2584.0,0.0,0.0
2100.0,0.045628,9.068955356876057E-11,2100.0,87.38095238095238,73.9539455209211,9.556313993174046,67.72228989037758,87.07297933590729,86.59685601947756,87.55436720142602,209.0,2584.0,0.0,0.0
2200.0,0.047181,9.372044768598346E-11,2200.0,86.9090909090909,72.84341761474685,7.987220447284341,66.19718309859157,86.49285352789671,86.05857851374334,86.93153371161549,80.0,2552.0,1.0,1.0
2300.0,0.048038,9.540009622772536E-11,2300.0,86.86956521739131,73.05937100263668,7.645259938837954,67.13819368879219,86.6234496268446,86.1994586787056,87.05163217728807,180.0,2584.0,0.0,0.0
2400.0,0.04875,9.722436260845927E-11,2400.0,87.08333333333333,73.60157538985577,11.42857142857146,68.07415036045315,86.9049118433635,86.48861444761619,87.32523616734143,280.0,2584.0,0.0,1.0
2500.0,0.049642,9.89633777903186E-11,2500.0,86.68,72.7583295702197,10.483870967741971,66.96428571428572,86.48529884408703,86.06091568140903,86.91388818054315,90.0,2544.0,1.0,1.0
2600.0,0.050358,1.0036519625120694E-10,2600.0,86.92307692307692,73.25141731177955,13.924050632911413,67.68060836501901,86.71819618753888,86.32105931521878,87.11900416077877,190.0,2576.0,0.0,0.0
2700.0,0.051142,1.0190177087982496E-10,2700.0,86.55555555555556,72.52004710368418,13.365155131264906,67.02997275204359,86.33559443005154,85.98558628749512,86.68846366615129,76.0,2584.0,1.0,0.0
2800.0,0.051854,1.0329723151193725E-10,2800.0,86.64285714285714,72.73704736391305,15.000000000000002,67.50651607298002,86.43712217628995,86.11421767156358,86.76245740075528,176.0,2584.0,0.0,0.0
2900.0,0.052638,1.0482893842789863E-10,2900.0,86.6896551724138,72.85585766905679,15.53610503282273,67.59026028547439,86.51148810791972,86.1602459827298,86.86560571295352,77.0,2560.0,1.0,0.0
3000.0,0.053342,1.0620871972706584E-10,3000.0,86.96666666666667,73.20471596998928,16.094420600858385,67.38949124270226,86.67405029313669,86.29154126448881,87.05996555633732,177.0,2584.0,0.0,0.0
3100.0,0.054127,1.07747254272302E-10,3100.0,86.70967741935483,72.82483808097227,16.43002028397565,67.1451355661882,86.51254822212515,86.10269608877262,86.92632084086385,277.0,2584.0,0.0,0.0
3200.0,0.05494,1.0933393612504006E-10,3200.0,86.40625,72.08315049668728,15.204678362573054,66.06864274570981,86.11786083614821,85.73323481655957,86.50595351271063,99.0,2552.0,1.0,0.0
3300.0,0.055745,1.1091166900263892E-10,3300.0,86.33333333333333,71.99175278219396,15.225563909774428,66.2929745889387,86.05894001270077,85.72380283221105,86.39670791540381,41.0,2584.0,1.0,0.0
3400.0,0.056459,1.1231104946798749E-10,3400.0,86.44117647058823,72.29410600147067,14.629629629629607,67.09493219129193,86.19673946194517,85.91727508276146,86.47802780973787,141.0,2584.0,0.0,0.0
3500.0,0.057176,1.1371630968319046E-10,3500.0,86.42857142857143,72.36690238045217,15.329768270944749,67.39876458476321,86.24625828852179,85.95648853247074,86.53798835104243,241.0,2584.0,0.0,0.0
