learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.002632,7.2829094198015E-12,100.0,88.0,75.04159733777038,20.000000000000014,61.290322580645174,88.36518467174967,86.60714285714286,90.19607843137256,100.0,4112.0,0.0,0.0
200.0,0.006511,1.801634621289041E-11,200.0,83.5,67.09870388833498,-13.793103448275874,65.26315789473684,85.28330412461986,86.97802197802199,83.65336533653365,200.0,4112.0,0.0,0.0
300.0,0.009485,2.624559112721019E-11,300.0,81.0,61.434370771312594,-39.02439024390235,50.86206896551726,80.97532762829468,80.43031413378614,81.52777777777777,300.0,4112.0,0.0,0.0
400.0,0.011769,3.2565562675396596E-11,400.0,81.0,62.23790122229952,-46.153846153846104,57.30337078651686,81.51992935623666,81.4691990754698,81.57072285512652,400.0,4112.0,0.0,0.0
500.0,0.015134,4.187672916385862E-11,500.0,75.8,52.46252003645849,-89.06249999999999,46.22222222222222,77.45157967754362,78.01423200859293,76.89698512705651,500.0,4112.0,0.0,0.0
600.0,0.017462,4.831845147742165E-11,600.0,75.16666666666667,50.90933052187666,-91.025641025641,43.34600760456275,76.05924214178788,76.0497212731523,76.06876539460809,600.0,4112.0,0.0,0.0
700.0,0.021744,6.016701459884643E-11,700.0,74.85714285714286,50.09074410163339,-83.33333333333337,45.67901234567901,75.4684364497957,75.60296846011131,75.33438237608182,700.0,4112.0,0.0,0.0
800.0,0.024209,6.698782452278667E-11,800.0,75.875,52.01988812927285,-70.79646017699113,49.34383202099738,76.47465362958921,76.75831202046035,76.19308402440932,800.0,4112.0,0.0,0.0
900.0,0.02752,7.614956961737738E-11,900.0,74.8888888888889,49.940933254577686,-71.21212121212123,48.16513761467891,75.33244881243658,75.60259205426357,75.06422924901186,900.0,4112.0,0.0,0.0
1000.0,0.031457,8.704349605573547E-11,1000.0,76.3,52.67836462817574,-69.28571428571426,51.63265306122449,76.63995082726585,76.89498815441263,76.38659967035252,1000.0,4112.0,0.0,0.0
1100.0,0.035236,9.750022656387752E-11,1100.0,77.0909090909091,54.40144494122524,-71.42857142857142,49.49899799599197,77.47577536700894,77.41884134390577,77.5327931906051,1100.0,4112.0,0.0,0.0
1200.0,0.0382,1.0570180084970261E-10,1200.0,75.16666666666667,50.596407463589735,-87.42138364779878,43.23809523809525,75.6389975399281,75.48452282538808,75.79410579813444,1200.0,4112.0,0.0,0.0
1300.0,0.039556,1.094539380735821E-10,1300.0,74.6923076923077,49.234903407445394,-97.00598802395201,40.93357271095152,74.7843266234979,74.55624384329771,75.01380918956339,1300.0,4112.0,0.0,0.0
1400.0,0.041024,1.1351598633660208E-10,1400.0,74.28571428571429,48.31829368334701,-91.48936170212771,37.500000000000014,74.41290011909244,74.06045751633987,74.76871320437341,62.0,4112.0,1.0,0.0
1500.0,0.042903,1.1871529743075368E-10,1500.0,75.66666666666667,50.64419467552277,-80.6930693069306,38.34459459459462,75.57285986992413,75.0845241731098,76.06758923798776,162.0,4112.0,0.0,0.0
1600.0,0.044153,1.221741259925895E-10,1600.0,76.75,52.68620268620268,-72.22222222222224,40.38461538461537,76.59690168530608,76.05676328502415,77.14476684752694,262.0,4112.0,0.0,0.0
1700.0,0.045403,1.256329545544253E-10,1700.0,77.29411764705883,54.01902583679487,-69.29824561403504,42.7299703264095,77.2912174095788,76.7753641309482,77.814049610631,362.0,4112.0,0.0,0.0
1800.0,0.047146,1.3045594510104917E-10,1800.0,77.77777777777779,55.150917163744005,-61.943319838056645,44.59833795013851,77.88380362045905,77.38630795955636,78.38773719931669,462.0,4112.0,0.0,0.0
1900.0,0.049406,1.3670950714084833E-10,1900.0,78.21052631578948,55.895611764758655,-58.6206896551724,45.09283819628647,78.24727171147123,77.71113809314137,78.79085435448619,562.0,4112.0,0.0,0.0
2000.0,0.051608,1.4280257953537831E-10,2000.0,77.95,55.333268510865864,-57.50000000000001,44.035532994923855,77.98010519602269,77.41762096762052,78.55082279751154,662.0,4112.0,0.0,0.0
2100.0,0.053738,1.4869642340474655E-10,2100.0,78.19047619047619,55.53706400388323,-56.31399317406148,44.21437271619975,78.00089124610959,77.45689312346929,78.55258467023172,762.0,4112.0,0.0,0.0
2200.0,0.055829,1.544823518229855E-10,2200.0,77.77272727272727,54.225483955517284,-56.230031948881866,42.605633802816904,77.23585635025258,76.78355110457643,77.69352191811303,862.0,4112.0,0.0,0.0
2300.0,0.057972,1.6041216750939683E-10,2300.0,77.43478260869566,53.80711131336865,-58.71559633027523,43.52557127312296,76.99688125148565,76.64655235852528,77.35042735042735,26.0,4112.0,1.0,0.0
2400.0,0.059107,1.6355278384354375E-10,2400.0,78.04166666666667,55.17278043593833,-50.57142857142855,45.72605561277033,77.67747444844879,77.34698896774647,78.01079622132254,126.0,4112.0,0.0,0.0
2500.0,0.06015,1.6643883039553955E-10,2500.0,77.56,54.14922539161955,-50.80645161290322,44.34523809523808,77.16428046150801,76.833180078267,77.49824684431978,226.0,4112.0,0.0,0.0
2600.0,0.061259,1.695075030956003E-10,2600.0,77.5,54.118975740069075,-48.101265822784775,44.3916349809886,77.16325898405981,76.82060932446177,77.50897903909562,326.0,4112.0,0.0,0.0
2700.0,0.062626,1.7329007801082395E-10,2700.0,77.70370370370371,54.59560928870925,-43.6754176610978,45.32243415077204,77.39628747871448,77.07250232849867,77.72280457878836,426.0,4112.0,0.0,0.0
2800.0,0.064894,1.7956577655341885E-10,2800.0,77.39285714285714,54.085518441954086,-43.863636363636374,45.00434404865333,77.15158768646207,76.83413225740779,77.47167725891131,526.0,4112.0,0.0,0.0
2900.0,0.066252,1.833234479029973E-10,2900.0,77.93103448275862,55.171572593793094,-40.04376367614884,46.263643996641484,77.69789025449217,77.37085110941439,78.02770586142161,626.0,4112.0,0.0,0.0
3000.0,0.067391,1.864751324885421E-10,3000.0,78.53333333333333,56.063328844151705,-38.19742489270387,46.28857381150958,78.13321270817436,77.76080134374081,78.50920833697614,726.0,4112.0,0.0,0.0
3100.0,0.068606,1.898371138506465E-10,3100.0,78.29032258064517,55.834510345855406,-36.511156186612524,46.33173843700161,78.05982627417329,77.66812732069224,78.4554961169255,826.0,4112.0,0.0,0.0
3200.0,0.069728,1.9294175836775034E-10,3200.0,78.375,55.97236184101695,-34.89278752436653,46.021840873634936,78.15228599366233,77.7163776590382,78.59311189873748,926.0,4112.0,0.0,0.0
3300.0,0.070774,1.9583610610829454E-10,3300.0,78.27272727272727,55.72908091019856,-34.77443609022554,46.41255605381165,77.97754177877458,77.62025437594657,78.33813359232404,1026.0,4112.0,0.0,0.0
3400.0,0.07182,1.9873045384883875E-10,3400.0,78.82352941176471,56.984032430665735,-33.33333333333336,48.60813704496788,78.5985464635139,78.27594108396383,78.92382201054237,1126.0,4112.0,0.0,0.0
3500.0,0.072865,2.016220345265335E-10,3500.0,79.0,57.47835487102182,-31.016042780748666,49.55387783115992,78.86201366974521,78.5441292356186,79.18248164891394,1226.0,4112.0,0.0,0.0
3600.0,0.073871,2.0440569975309896E-10,3600.0,79.5,58.26027939596178,-29.70123022847102,49.658935879945446,79.24477794379062,78.88379187743246,79.60908306984766,1326.0,4112.0,0.0,0.0
3700.0,0.074874,2.0718106379111603E-10,3700.0,79.67567567567568,58.3901734769658,-27.67402376910016,49.360269360269356,79.28620828665161,78.92603997168206,79.64967882973556,1426.0,4112.0,0.0,0.0
3800.0,0.075877,2.099564278291331E-10,3800.0,79.76315789473685,58.325656005115825,-27.1074380165289,48.90365448504984,79.23049919626634,78.88885309970152,79.57511731589221,1526.0,4112.0,0.0,0.0
3900.0,0.076966,2.1296975927220447E-10,3900.0,79.87179487179488,58.50330509687578,-26.40901771336555,49.35483870967744,79.30072249854044,79.00567211208423,79.59798490489027,1626.0,4112.0,0.0,0.0
4000.0,0.078012,2.1586410701274868E-10,4000.0,79.75,58.131615592406625,-27.559055118110287,49.056603773584904,79.09348480539565,78.86403464195409,79.32427400757828,1726.0,4112.0,0.0,0.0
4100.0,0.079067,2.187833583189381E-10,4100.0,79.8780487804878,58.31673807556791,-25.954198473282393,49.35543278084716,79.17626705801374,78.9868221559486,79.36662288813689,1826.0,4112.0,0.0,0.0
4200.0,0.08038,2.2241651184029044E-10,4200.0,80.04761904761905,58.48117249282125,-23.416789396170888,49.30429522081064,79.25196265859876,79.0918379777998,79.41273701269961,1926.0,4112.0,0.0,0.0
4300.0,0.081612,2.2582553327083582E-10,4300.0,80.04651162790698,58.225000730332155,-24.16787264833576,48.71488344291693,79.11702640042192,79.0091505621872,79.22519721985981,2026.0,4112.0,0.0,0.0
4400.0,0.082673,2.2876138695412206E-10,4400.0,79.86363636363636,57.714482073994866,-24.96473906911146,48.24766355140185,78.85745406331989,78.8334217709016,78.88150101264854,2126.0,4112.0,0.0,0.0
4500.0,0.083682,2.3155335336923593E-10,4500.0,80.24444444444444,58.63371840528097,-22.45179063360884,49.66024915062287,79.31701653793436,79.29679871190432,79.33724467622774,2226.0,4112.0,0.0,0.0
4600.0,0.084712,2.3440342810418865E-10,4600.0,80.3913043478261,59.04374872295502,-22.222222222222186,50.24820739106454,79.52287121679431,79.47317332755198,79.57263130125492,2326.0,4112.0,0.0,0.0
4700.0,0.085716,2.3718155920505516E-10,4700.0,80.59574468085107,59.343756017008396,-21.762349799732984,50.46170559478544,79.67206889330575,79.64951508778994,79.69463547525142,2426.0,4112.0,0.0,0.0
4800.0,0.087022,2.407953432864612E-10,4800.0,80.875,60.00003631078765,-19.843342036553572,51.45425700687466,80.00012180184821,79.98371983010703,80.01653050195505,2526.0,4112.0,0.0,0.0
4900.0,0.088137,2.4388061836361875E-10,4900.0,81.0408163265306,60.156841354189496,-19.40874035989719,51.36125654450261,80.07849066629758,80.09267018796919,80.06431616439238,2626.0,4112.0,0.0,0.0
5000.0,0.089185,2.467805002298619E-10,5000.0,80.84,59.58848081034967,-20.503144654088025,50.72016460905351,79.79734543697022,79.89474154691935,79.7001865003862,2726.0,4112.0,0.0,0.0
5100.0,0.090226,2.496610126561588E-10,5100.0,80.6078431372549,59.25415859784994,-22.249690976514284,50.276520864756144,79.62714293316307,79.64053601816555,79.6137543520119,2826.0,4112.0,0.0,0.0
5200.0,0.091286,2.5259409927659557E-10,5200.0,80.76923076923077,59.68142119888845,-20.91898428053201,50.884086444007856,79.840749857794,79.83042271546881,79.85107967237528,2926.0,4112.0,0.0,0.0
5300.0,0.092343,2.5551888470848393E-10,5300.0,80.62264150943396,59.19953705855281,-21.53846153846149,50.24224806201551,79.60102016423708,79.66164524016091,79.5404872934102,3026.0,4112.0,0.0,0.0
5400.0,0.093486,2.586816375454266E-10,5400.0,80.16666666666666,58.254113305932954,-25.11682242990657,49.62370649106302,79.13712533198347,79.30763072883522,78.96735150966964,3126.0,4112.0,0.0,0.0
5500.0,0.09492,2.626496056715647E-10,5500.0,80.4,58.614327553671906,-24.624277456647402,49.83713355048861,79.3185212648922,79.50557271116449,79.13234789846534,3226.0,4112.0,0.0,0.0
