learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected
100.0,0.005352,3.034969170888265E-11,100.0,90.0,78.92074198988196,33.33333333333336,67.74193548387099,90.03743729983475,88.42364532019704,91.71122994652407,100.0,2536.0,0.0
200.0,0.014974,8.529171761539248E-11,200.0,90.5,81.02656281206312,34.48275862068968,80.0,90.97577354054485,91.38106895144838,90.57405740574058,30.0,2664.0,1.0
300.0,0.025699,1.455108800696002E-10,300.0,89.0,77.30398899587345,19.512195121951255,71.55172413793103,88.69704418743385,88.36875881844249,89.02777777777777,66.0,2688.0,2.0
400.0,0.034109,1.933582810064157E-10,400.0,88.25,76.48942023910759,9.615384615384581,73.59550561797752,88.38378956355683,88.22845571139278,88.53967133783647,30.0,2624.0,1.0
500.0,0.04105,2.3296295354763666E-10,500.0,87.6,75.14153288534632,3.1250000000000027,72.44444444444444,87.63012206644184,87.51180925845863,87.7487552168098,86.0,2656.0,1.0
600.0,0.05012,2.8486566411124333E-10,600.0,86.5,72.67943874797625,-3.8461538461538494,69.20152091254754,86.33992646923585,86.32664988311454,86.35320713972399,16.0,2688.0,1.0
700.0,0.055851,3.1742386312948333E-10,700.0,86.85714285714286,73.62903754176767,4.166666666666637,71.60493827160494,86.8169400427106,86.79282346778419,86.84107002360346,75.0,2608.0,1.0
800.0,0.058615,3.32926120609045E-10,800.0,86.75,73.49751539206801,6.194690265486751,72.17847769028872,86.77129261517614,86.7455421596385,86.79705836332342,175.0,2640.0,0.0
900.0,0.061348,3.48542978366216E-10,900.0,86.55555555555556,73.12570949114061,8.333333333333275,72.24770642201834,86.60268942564596,86.60458842073535,86.60079051383399,40.0,2672.0,2.0
1000.0,0.064163,3.6426136477126013E-10,1000.0,87.0,74.00998016761562,7.142857142857148,73.46938775510205,87.04083597000545,87.05714651803447,87.02453153254068,106.0,2688.0,1.0
1100.0,0.066805,3.7929261724154154E-10,1100.0,87.36363636363636,74.64058965190105,5.442176870748333,72.14428857715431,87.35919661895602,87.252331002331,87.46632433206456,46.0,2624.0,2.0
1200.0,0.068781,3.9038754171795315E-10,1200.0,88.16666666666667,76.13091019114883,10.691823899371068,72.95238095238096,88.10773791870258,87.93749005307816,88.27864626618849,146.0,2656.0,0.0
1300.0,0.070682,4.010849590930674E-10,1300.0,88.92307692307693,77.5577779322945,13.772455089820426,74.14721723518852,88.81592610872626,88.62072835552881,89.01198565291537,246.0,2688.0,0.0
1400.0,0.073199,4.154050432973438E-10,1400.0,89.28571428571429,78.11040693795866,20.21276595744681,73.95833333333334,89.10349298347248,88.81857589245013,89.39024390243902,99.0,2624.0,1.0
1500.0,0.075154,4.26560083611144E-10,1500.0,90.0,79.32061321274954,25.742574257425783,74.66216216216218,89.70411484918995,89.36507936507935,90.04573261269822,199.0,2656.0,0.0
1600.0,0.077461,4.3976179841491913E-10,1600.0,90.25,79.7602366495407,27.777777777777757,74.99999999999999,89.9238712265502,89.56595613222119,90.28465833136747,22.0,2688.0,1.0
