learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,5.54E-4,1.2738299038675096E-12,100.0,90.0,78.92074198988196,33.33333333333336,67.74193548387099,90.03743729983475,88.42364532019704,91.71122994652407,100.0,2536.0,0.0,0.0
200.0,0.004867,1.1217627260420059E-11,200.0,88.5,77.03674121405751,20.689655172413808,75.78947368421053,89.0858661136673,89.5935960591133,88.58385838583858,17.0,2560.0,1.0,1.0
300.0,0.006176,1.491827683316337E-11,300.0,86.33333333333333,71.64591977869985,0.0,64.6551724137931,85.83071805336432,85.68967893068762,85.97222222222223,117.0,2584.0,0.0,2.0
400.0,0.007345,1.831990977128347E-11,400.0,86.0,72.0,-7.692307692307699,68.53932584269661,86.14673981734177,86.0,86.2939812481097,217.0,2584.0,0.0,0.0
500.0,0.008674,2.1381222953399025E-11,500.0,85.8,71.5809023663902,-10.937500000000009,68.44444444444444,85.89444049430719,85.76868919610857,86.02056107897323,97.0,2552.0,1.0,1.0
600.0,0.00968,2.4331450048420166E-11,600.0,84.5,68.65520728008087,-19.230769230769248,64.63878326996198,84.32936214308174,84.29292929292929,84.36582650065796,197.0,2584.0,0.0,1.0
700.0,0.012668,3.2778769317600464E-11,700.0,84.71428571428572,69.33494915087697,-11.45833333333331,66.97530864197532,84.67103632154067,84.6433627087578,84.69872803566744,100.0,2584.0,1.0,2.0
800.0,0.015389,4.070777652992143E-11,800.0,84.625,69.25576454414795,-8.849557522123943,67.71653543307086,84.6591877515782,84.63524088102203,84.68314817712408,200.0,2584.0,0.0,1.0
900.0,0.019734,5.336912762787607E-11,900.0,85.0,70.00148140832552,-2.272727272727326,69.03669724770641,85.01120155508755,85.00264198835549,85.0197628458498,300.0,2584.0,0.0,0.0
1000.0,0.022443,6.131923240092066E-11,1000.0,85.6,71.20829201190058,-2.8571428571428594,70.61224489795917,85.62722677260415,85.63492571721312,85.61952921220656,400.0,2584.0,0.0,2.0
1100.0,0.025484,6.99289743271139E-11,1100.0,85.36363636363636,70.5993678283043,-9.523809523809499,67.73547094188376,85.32096772847856,85.23744183271687,85.40465748224221,500.0,2584.0,0.0,2.0
1200.0,0.028108,7.5973282671637E-11,1200.0,85.16666666666667,69.99603880287566,-11.949685534591223,66.0952380952381,85.00778815422349,84.91973393207026,85.09602517473849,89.0,2552.0,1.0,1.0
1300.0,0.03154,8.390720726715194E-11,1300.0,86.15384615384616,71.86316359045273,-7.784431137724468,67.68402154398565,85.94021145447827,85.84107946026987,86.03957267493047,189.0,2584.0,0.0,0.0
1400.0,0.0361,9.444878540105291E-11,1400.0,86.85714285714286,73.04085733422639,2.1276595744680287,68.05555555555556,86.53318574052439,86.38062035546585,86.68629100084104,289.0,2584.0,0.0,0.0
1500.0,0.039104,1.0139328117171924E-10,1500.0,87.73333333333333,74.51787072805027,8.910891089108915,68.91891891891892,87.27058054181981,87.09127138771038,87.45062956583715,389.0,2584.0,0.0,0.0
1600.0,0.040755,1.052099797460768E-10,1600.0,88.0625,75.11514132905991,11.574074074074073,69.39102564102564,87.57171751101474,87.36461011764439,87.77980917931379,10.0,2584.0,1.0,1.0
1700.0,0.041885,1.0782225678364437E-10,1700.0,88.29411764705883,75.71526198516068,12.719298245614052,70.47477744807121,87.87013060714153,87.68606214958146,88.05497347441825,110.0,2584.0,0.0,0.0
1800.0,0.042881,1.1064421385526659E-10,1800.0,88.16666666666667,75.58328811720023,13.765182186234865,70.49861495844875,87.81563142348683,87.57945971824492,88.05308032072887,210.0,2584.0,0.0,1.0
1900.0,0.044269,1.1384717706176972E-10,1900.0,87.89473684210526,74.90317334154196,11.877394636015296,69.49602122015915,87.46674447154874,87.26684222075927,87.66756465766211,28.0,2568.0,1.0,2.0
2000.0,0.045635,1.1700502700275846E-10,2000.0,87.8,74.6399707320318,12.857142857142867,69.03553299492387,87.33369436510611,87.13733715595382,87.530938524316,128.0,2584.0,0.0,0.0
2100.0,0.046748,1.1955957652793992E-10,2100.0,87.47619047619047,73.94196744515216,10.238907849829317,67.96589524969548,86.99336379422859,86.7404351087772,87.24777183600713,50.0,2520.0,1.0,1.0
2200.0,0.047668,1.2167877000239163E-10,2200.0,86.77272727272727,72.3231917991568,7.028753993610154,65.8450704225352,86.17189513367123,85.99121888335934,86.35333222073875,68.0,2552.0,1.0,1.0
2300.0,0.048505,1.2402944680717257E-10,2300.0,86.73913043478261,72.59388790958756,6.727828746177362,66.81175190424375,86.31936737578177,86.09018642650929,86.54977178865609,168.0,2584.0,0.0,3.0
2400.0,0.049367,1.2643963098526E-10,2400.0,86.95833333333334,73.17047037394192,10.571428571428623,67.76519052523172,86.61509097606596,86.36790322626456,86.86369770580298,268.0,2584.0,0.0,1.0
2500.0,0.05037,1.287479367521074E-10,2500.0,86.4,72.0332179566482,8.60215053763443,66.26984126984127,86.05785327967527,85.77086464936932,86.34676888095541,82.0,2544.0,1.0,2.0
2600.0,0.05125,1.313250097963545E-10,2600.0,86.6923076923077,72.63391010196881,12.40506329113924,67.11026615969581,86.35027053583904,86.09166213193058,86.61043727429738,182.0,2576.0,0.0,1.0
2700.0,0.052643,1.3454527697629398E-10,2700.0,86.44444444444444,72.14368468973838,12.649164677804317,66.75749318801091,86.09406690391303,85.88663743711787,86.30250074469141,84.0,2584.0,1.0,1.0
2800.0,0.053764,1.3771675527095794E-10,2800.0,86.46428571428572,72.25577394678086,13.863636363636372,67.07211120764552,86.15319091896806,85.94194439762708,86.36547849313807,184.0,2584.0,0.0,1.0
2900.0,0.054814,1.4078515271345773E-10,2900.0,86.3103448275862,71.98183552682812,13.12910284463891,66.66666666666666,86.03137395562489,85.77161085085015,86.29271524803985,284.0,2584.0,0.0,1.0
3000.0,0.055808,1.4360761476887595E-10,3000.0,86.66666666666667,72.48714805903708,14.163090128755378,66.63886572143454,86.27891653738736,85.99742862334797,86.5622532427973,384.0,2584.0,0.0,1.0
3100.0,0.057,1.4634348452091216E-10,3100.0,86.58064516129032,72.43770699504324,15.618661257606526,66.82615629984052,86.26505532578797,85.96647316205997,86.56571881327582,4.0,2520.0,1.0,1.0
3200.0,0.057814,1.4871885379155475E-10,3200.0,86.28125,71.6981208100204,14.424951267056501,65.7566302652106,85.88073826460389,85.61678767685656,86.14632136780472,104.0,2552.0,0.0,3.0
3300.0,0.058668,1.511420185367266E-10,3300.0,86.0909090909091,71.35546679980031,13.721804511278247,65.695067264574,85.69735976830466,85.4962887703553,85.89937875717946,204.0,2584.0,0.0,1.0
3400.0,0.059503,1.5351127212246257E-10,3400.0,86.20588235294117,71.68930315135376,13.148148148148145,66.52391149179158,85.85793929370372,85.70203359858533,86.01441325734265,304.0,2584.0,0.0,0.0
