learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected
100.0,0.034058,1.6700397638811003E-9,100.0,92.0,92.0,-299.9999999999995,92.0,?,?,?,24.0,41800.0,1.0
200.0,0.069987,3.5176344567702878E-9,200.0,93.0,93.0,-366.66666666666595,93.0,?,?,?,124.0,48976.0,0.0
300.0,0.100113,5.074923980153269E-9,300.0,87.33333333333333,87.33333333333333,-442.8571428571434,87.33333333333333,?,?,?,34.0,46936.0,2.0
400.0,0.128867,6.691021921320094E-9,400.0,85.25,85.25,-555.5555555555565,85.25,?,?,?,103.0,58216.0,1.0
500.0,0.158843,8.216672740462754E-9,500.0,86.2,86.2,-589.9999999999994,86.2,?,?,?,60.0,52072.0,1.0
600.0,0.184581,9.58122659681572E-9,600.0,87.0,87.0,-609.0909090909099,87.0,?,?,?,160.0,57192.0,0.0
700.0,0.212791,1.0994517854932282E-8,700.0,86.42857142857143,86.42857142857143,-630.7692307692306,86.42857142857143,?,?,?,40.0,48992.0,2.0
800.0,0.23934,1.2380914375599888E-8,800.0,86.625,86.625,-664.2857142857163,86.625,?,?,?,140.0,54112.0,0.0
900.0,0.278464,1.4423981062653993E-8,900.0,87.22222222222223,87.22222222222223,-721.428571428572,87.22222222222223,?,?,?,240.0,54112.0,0.0
1000.0,0.316134,1.6600837353616954E-8,1000.0,87.0,87.0,-519.0476190476186,87.0,?,?,?,340.0,73576.0,0.0
1100.0,0.348901,1.8294646880692907E-8,1100.0,87.27272727272727,87.27272727272727,-536.363636363636,87.27272727272727,?,?,?,110.0,46936.0,1.0
1200.0,0.378222,1.9888119397477973E-8,1200.0,87.58333333333333,87.58333333333333,-547.8260869565216,87.58333333333333,?,?,?,210.0,54112.0,0.0
1300.0,0.408713,2.1464402907424506E-8,1300.0,87.61538461538461,87.61538461538461,-600.0000000000006,87.61538461538461,?,?,?,84.0,43872.0,1.0
1400.0,0.437135,2.293372598373228E-8,1400.0,88.5,88.5,-599.9999999999986,88.5,?,?,?,184.0,43872.0,0.0
1500.0,0.462895,2.4265432494382067E-8,1500.0,89.26666666666667,89.26666666666667,-600.0000000000007,89.26666666666667,?,?,?,284.0,43872.0,0.0
1600.0,0.489546,2.564320074808267E-8,1600.0,89.5625,89.5625,-626.0869565217378,89.5625,?,?,?,101.0,43872.0,1.0
1700.0,0.514416,2.6994780213054687E-8,1700.0,89.94117647058823,89.94117647058823,-612.4999999999981,89.94117647058823,?,?,?,201.0,48992.0,0.0
1800.0,0.543596,2.8456667448497485E-8,1800.0,90.22222222222223,90.22222222222223,-633.3333333333345,90.22222222222223,?,?,?,301.0,48992.0,0.0
1900.0,0.568122,2.968539419066575E-8,1900.0,90.73684210526316,90.73684210526316,-633.3333333333321,90.73684210526316,?,?,?,401.0,48992.0,0.0
2000.0,0.596163,3.1090218726959495E-8,2000.0,91.10000000000001,91.10000000000001,-641.6666666666657,91.10000000000001,?,?,?,501.0,48992.0,0.0
2100.0,0.621383,3.24072144801418E-8,2100.0,91.28571428571428,91.28571428571428,-632.000000000003,91.28571428571428,?,?,?,601.0,54112.0,0.0
2200.0,0.646105,3.369820452812645E-8,2200.0,91.5909090909091,91.5909090909091,-640.0000000000008,91.5909090909091,?,?,?,701.0,54112.0,0.0
2300.0,0.672816,3.509306073602703E-8,2300.0,91.95652173913044,91.95652173913044,-639.9999999999966,91.95652173913044,?,?,?,801.0,54112.0,0.0
2400.0,0.699448,3.6483791540894243E-8,2400.0,92.29166666666667,92.29166666666667,-640.0000000000022,92.29166666666667,?,?,?,901.0,54112.0,0.0
2500.0,0.724716,3.78032938680715E-8,2500.0,92.60000000000001,92.60000000000001,-639.9999999999989,92.60000000000001,?,?,?,1001.0,54112.0,0.0
2600.0,0.750777,3.923335283166832E-8,2600.0,92.65384615384616,92.65384615384616,-634.6153846153841,92.65384615384616,?,?,?,1101.0,59232.0,0.0
2700.0,0.777757,4.0713840565747684E-8,2700.0,92.7037037037037,92.7037037037037,-657.6923076923061,92.7037037037037,?,?,?,1201.0,59232.0,0.0
2800.0,0.806135,4.223333601322439E-8,2800.0,92.60714285714286,92.60714285714286,-613.7931034482772,92.60714285714286,?,?,?,80.0,57176.0,1.0
2900.0,0.835644,4.381339067386256E-8,2900.0,92.86206896551724,92.86206896551724,-613.7931034482751,92.86206896551724,?,?,?,180.0,57176.0,0.0
3000.0,0.862059,4.514386124701963E-8,3000.0,92.93333333333334,92.93333333333334,-606.666666666666,92.93333333333334,?,?,?,33.0,41816.0,1.0
3100.0,0.886901,4.646759549983673E-8,3100.0,92.96774193548387,92.96774193548387,-603.2258064516122,92.96774193548387,?,?,?,133.0,50016.0,0.0
3200.0,0.912389,4.7825752598130034E-8,3200.0,93.1875,93.1875,-603.2258064516158,93.1875,?,?,?,233.0,50016.0,0.0
3300.0,0.938496,4.9133685773445495E-8,3300.0,93.0,93.0,-621.8750000000031,93.0,?,?,?,39.0,48992.0,1.0
