learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.014179,2.351410003999869E-10,100.0,92.0,92.0,-299.9999999999995,92.0,?,?,?,100.0,41744.0,0.0,0.0
200.0,0.040281,6.473200747536288E-10,200.0,92.5,92.5,-399.99999999999926,92.5,?,?,?,16.0,38680.0,1.0,2.0
300.0,0.059632,1.0452062967750761E-9,300.0,87.66666666666667,87.66666666666667,-428.5714285714287,87.66666666666667,?,?,?,53.0,57120.0,1.0,0.0
400.0,0.072528,1.2933398369285797E-9,400.0,85.25,85.25,-555.5555555555565,85.25,?,?,?,62.0,52016.0,1.0,1.0
500.0,0.083002,1.4448190646039116E-9,500.0,85.6,85.6,-619.9999999999994,85.6,?,?,?,45.0,33544.0,1.0,1.0
600.0,0.0938,1.7257060814234946E-9,600.0,86.83333333333333,86.83333333333333,-618.1818181818193,86.83333333333333,?,?,?,145.0,41744.0,0.0,1.0
700.0,0.105191,1.8904473342829283E-9,700.0,87.42857142857143,87.42857142857143,-576.9230769230767,87.42857142857143,?,?,?,37.0,33544.0,1.0,1.0
800.0,0.114517,2.0327546613083947E-9,800.0,87.75,87.75,-600.0000000000018,87.75,?,?,?,49.0,36624.0,1.0,1.0
900.0,0.124053,2.1782664209604265E-9,900.0,88.44444444444444,88.44444444444444,-642.8571428571431,88.44444444444444,?,?,?,149.0,36624.0,0.0,0.0
1000.0,0.138915,2.5075359518329307E-9,1000.0,87.9,87.9,-476.19047619047564,87.9,?,?,?,80.0,63280.0,1.0,1.0
1100.0,0.152195,2.8193460611833472E-9,1100.0,88.0,88.0,-499.9999999999995,88.0,?,?,?,180.0,68400.0,0.0,0.0
1200.0,0.165887,3.1589655040038963E-9,1200.0,87.83333333333333,87.83333333333333,-534.7826086956525,87.83333333333333,?,?,?,280.0,73520.0,0.0,0.0
1300.0,0.180171,3.5132690477702357E-9,1300.0,88.0,88.0,-578.2608695652181,88.0,?,?,?,380.0,73520.0,0.0,0.0
1400.0,0.194371,3.865489036672646E-9,1400.0,88.85714285714286,88.85714285714286,-578.2608695652161,88.85714285714286,?,?,?,480.0,73520.0,0.0,0.0
1500.0,0.209168,4.2325171476437E-9,1500.0,89.60000000000001,89.60000000000001,-578.2608695652183,89.60000000000001,?,?,?,580.0,73520.0,0.0,0.0
1600.0,0.220297,4.4259913410577515E-9,1600.0,89.5,89.5,-630.4347826086941,89.5,?,?,?,87.0,44840.0,1.0,1.0
1700.0,0.229831,4.6866657853954375E-9,1700.0,89.88235294117646,89.88235294117646,-616.6666666666648,89.88235294117646,?,?,?,187.0,49960.0,0.0,1.0
1800.0,0.240736,4.844378309531345E-9,1800.0,90.22222222222223,90.22222222222223,-633.3333333333345,90.22222222222223,?,?,?,108.0,33544.0,1.0,0.0
1900.0,0.249051,4.964633205284676E-9,1900.0,90.73684210526316,90.73684210526316,-633.3333333333321,90.73684210526316,?,?,?,208.0,33544.0,0.0,0.0
2000.0,0.257718,5.164795232315859E-9,2000.0,91.05,91.05,-645.8333333333328,91.05,?,?,?,308.0,33544.0,0.0,1.0
2100.0,0.268463,5.3287553683751166E-9,2100.0,91.23809523809524,91.23809523809524,-636.0000000000024,91.23809523809524,?,?,?,49.0,36624.0,1.0,1.0
2200.0,0.277397,5.465081087830994E-9,2200.0,91.5909090909091,91.5909090909091,-640.0000000000008,91.5909090909091,?,?,?,149.0,36624.0,0.0,0.0
2300.0,0.286084,5.597637784149912E-9,2300.0,91.95652173913044,91.95652173913044,-639.9999999999966,91.95652173913044,?,?,?,249.0,36624.0,0.0,0.0
2400.0,0.294908,5.732284991277589E-9,2400.0,92.29166666666667,92.29166666666667,-640.0000000000022,92.29166666666667,?,?,?,349.0,36624.0,0.0,0.0
2500.0,0.304167,5.873569951703151E-9,2500.0,92.60000000000001,92.60000000000001,-639.9999999999989,92.60000000000001,?,?,?,449.0,36624.0,0.0,0.0
2600.0,0.313199,6.023391772889429E-9,2600.0,92.65384615384616,92.65384615384616,-634.6153846153841,92.65384615384616,?,?,?,70.0,41760.0,1.0,1.0
2700.0,0.322817,6.1829340975317695E-9,2700.0,92.81481481481481,92.81481481481481,-646.153846153844,92.81481481481481,?,?,?,170.0,41760.0,0.0,0.0
2800.0,0.333146,6.4626088324520324E-9,2800.0,92.64285714285714,92.64285714285714,-610.3448275862083,92.64285714285714,?,?,?,73.0,43800.0,1.0,2.0
2900.0,0.344385,6.766923320376211E-9,2900.0,92.89655172413794,92.89655172413794,-610.3448275862062,92.89655172413794,?,?,?,173.0,43800.0,0.0,0.0
3000.0,0.355805,6.956357022540438E-9,3000.0,92.93333333333334,92.93333333333334,-606.666666666666,92.93333333333334,?,?,?,24.0,41760.0,1.0,1.0
3100.0,0.366543,7.154412197156086E-9,3100.0,92.96774193548387,92.96774193548387,-603.2258064516122,92.96774193548387,?,?,?,124.0,48936.0,0.0,0.0
3200.0,0.377421,7.35504957743817E-9,3200.0,93.1875,93.1875,-603.2258064516158,93.1875,?,?,?,224.0,48936.0,0.0,0.0
3300.0,0.388376,7.560009254763525E-9,3300.0,92.93939393939394,92.93939393939394,-628.1250000000032,92.93939393939394,?,?,?,57.0,49960.0,1.0,1.0
3400.0,0.40084,7.976814005523922E-9,3400.0,92.61764705882352,92.61764705882352,-617.14285714286,92.61764705882352,?,?,?,157.0,60200.0,0.0,1.0
3500.0,0.418604,8.570780880335305E-9,3500.0,92.51428571428572,92.51428571428572,-554.9999999999984,92.51428571428572,?,?,?,257.0,65320.0,0.0,1.0
3600.0,0.433932,9.083359765095843E-9,3600.0,92.58333333333333,92.58333333333333,-520.930232558141,92.58333333333333,?,?,?,357.0,65320.0,0.0,1.0
3700.0,0.447764,9.283403748025497E-9,3700.0,92.4054054054054,92.4054054054054,-524.4444444444451,92.4054054054054,?,?,?,35.0,33544.0,1.0,1.0
3800.0,0.45616,9.404830098566082E-9,3800.0,92.47368421052632,92.47368421052632,-535.5555555555563,92.47368421052632,?,?,?,135.0,33544.0,0.0,0.0
3900.0,0.464936,9.531752162923415E-9,3900.0,92.66666666666666,92.66666666666666,-535.555555555558,92.66666666666666,?,?,?,235.0,33544.0,0.0,0.0
4000.0,0.474561,9.782126078175174E-9,4000.0,92.4,92.4,-560.8695652173935,92.4,?,?,?,84.0,41744.0,1.0,2.0
4100.0,0.486636,1.01250705598957E-8,4100.0,92.41463414634147,92.41463414634147,-561.7021276595735,92.41463414634147,?,?,?,184.0,48920.0,0.0,2.0
4200.0,0.500104,1.0546935223456886E-8,4200.0,92.19047619047619,92.19047619047619,-569.3877551020382,92.19047619047619,?,?,?,72.0,54056.0,1.0,2.0
4300.0,0.51344,1.0803534858342674E-8,4300.0,91.93023255813954,91.93023255813954,-593.9999999999987,91.93023255813954,?,?,?,33.0,52016.0,1.0,1.0
4400.0,0.524815,1.1135662080099185E-8,4400.0,91.77272727272727,91.77272727272727,-609.8039215686272,91.77272727272727,?,?,?,133.0,57136.0,0.0,1.0
4500.0,0.53784,1.1324034902370639E-8,4500.0,91.73333333333333,91.73333333333333,-629.4117647058841,91.73333333333333,?,?,?,27.0,33544.0,1.0,1.0
4600.0,0.547251,1.1480104579693741E-8,4600.0,91.80434782608695,91.80434782608695,-625.0000000000032,91.80434782608695,?,?,?,63.0,41744.0,1.0,0.0
4700.0,0.557082,1.1643139432287879E-8,4700.0,91.95744680851064,91.95744680851064,-626.9230769230747,91.95744680851064,?,?,?,163.0,41744.0,0.0,0.0
4800.0,0.566781,1.1803985229796834E-8,4800.0,92.125,92.125,-626.9230769230749,92.125,?,?,?,263.0,41744.0,0.0,0.0
4900.0,0.576678,1.1968114609933563E-8,4900.0,92.26530612244898,92.26530612244898,-628.8461538461531,92.26530612244898,?,?,?,363.0,41744.0,0.0,0.0
5000.0,0.588879,1.2154292145537007E-8,5000.0,92.28,92.28,-642.3076923076952,92.28,?,?,?,27.0,36624.0,2.0,1.0
5100.0,0.599321,1.233582305825419E-8,5100.0,92.03921568627452,92.03921568627452,-666.0377358490575,92.03921568627452,?,?,?,28.0,44840.0,1.0,1.0
5200.0,0.609746,1.263751522741384E-8,5200.0,92.07692307692308,92.07692307692308,-677.3584905660352,92.07692307692308,?,?,?,65.0,44840.0,1.0,1.0
5300.0,0.62058,1.2951043568965463E-8,5300.0,92.22641509433961,92.22641509433961,-677.3584905660373,92.22641509433961,?,?,?,165.0,44840.0,0.0,0.0
5400.0,0.631484,1.314060620756613E-8,5400.0,92.25925925925927,92.25925925925927,-688.6792452830172,92.25925925925927,?,?,?,22.0,44840.0,1.0,1.0
5500.0,0.642159,1.3346005210445988E-8,5500.0,92.32727272727273,92.32727272727273,-681.4814814814803,92.32727272727273,?,?,?,60.0,52016.0,1.0,0.0
5600.0,0.652751,1.3549807200001347E-8,5600.0,92.46428571428571,92.46428571428571,-681.4814814814792,92.46428571428571,?,?,?,160.0,52016.0,0.0,0.0
5700.0,0.663273,1.3752262310849297E-8,5700.0,92.59649122807018,92.59649122807018,-681.4814814814825,92.59649122807018,?,?,?,260.0,52016.0,0.0,0.0
5800.0,0.673717,1.3953216613994705E-8,5800.0,92.70689655172414,92.70689655172414,-683.3333333333345,92.70689655172414,?,?,?,360.0,52016.0,0.0,0.0
5900.0,0.684091,1.414183135247893E-8,5900.0,92.76271186440678,92.76271186440678,-690.7407407407438,92.76271186440678,?,?,?,62.0,47920.0,1.0,1.0
6000.0,0.695181,1.4492100717292893E-8,6000.0,92.63333333333334,92.63333333333334,-396.62921348314495,92.63333333333334,?,?,?,100.0,58160.0,1.0,1.0
6100.0,0.708744,1.4920477939562668E-8,6100.0,92.54098360655738,92.54098360655738,-220.42253521126773,92.54098360655738,?,?,?,200.0,58160.0,0.0,0.0
6200.0,0.721789,1.5332494518823095E-8,6200.0,92.5,92.5,-137.2448979591835,92.5,?,?,?,300.0,58160.0,0.0,0.0
6300.0,0.734602,1.5737183551407523E-8,6300.0,92.44444444444444,92.44444444444444,-90.40000000000025,92.44444444444444,?,?,?,400.0,58160.0,0.0,0.0
6400.0,0.747676,1.6150116074002452E-8,6400.0,92.390625,92.390625,-59.67213114754105,92.390625,?,?,?,500.0,58160.0,0.0,0.0
6500.0,0.760998,1.657088149132E-8,6500.0,92.4,92.4,-37.22222222222219,92.4,?,?,?,600.0,58160.0,0.0,0.0
6600.0,0.773947,1.680971707113915E-8,6600.0,92.13636363636364,92.13636363636364,-26.277372262773717,92.13636363636364,?,?,?,73.0,48936.0,1.0,1.0
6700.0,0.784522,1.7004765820586018E-8,6700.0,92.0,92.0,-16.0173160173159,92.0,?,?,?,173.0,48936.0,0.0,0.0
6800.0,0.79483,1.719488993494047E-8,6800.0,91.86764705882354,91.86764705882354,-7.797270955165664,91.86764705882354,?,?,?,273.0,48936.0,0.0,0.0
6900.0,0.805118,1.7384645162771144E-8,6900.0,91.79710144927536,91.79710144927536,-0.35460992907793953,91.79710144927536,?,?,?,373.0,48936.0,0.0,0.0
7000.0,0.815622,1.7578384365058608E-8,7000.0,91.68571428571428,91.68571428571428,5.365853658536536,91.68571428571428,?,?,?,473.0,48936.0,0.0,0.0
7100.0,0.825889,1.7767752262039318E-8,7100.0,91.54929577464789,91.54929577464789,9.90990990990992,91.54929577464789,?,?,?,573.0,48936.0,0.0,0.0
7200.0,0.837205,1.8018459704601102E-8,7200.0,91.5,91.5,15.000000000000016,91.5,?,?,?,673.0,63280.0,0.0,0.0
7300.0,0.850107,1.848075234848592E-8,7300.0,91.54794520547945,91.54794520547945,20.077720207253886,91.54794520547945,?,?,?,773.0,63280.0,0.0,2.0
7400.0,0.86494,1.901223481529289E-8,7400.0,91.5945945945946,91.5945945945946,24.697336561743295,91.5945945945946,?,?,?,873.0,63280.0,0.0,0.0
7500.0,0.880927,1.958506635286742E-8,7500.0,91.64,91.64,28.83087400681047,91.64,?,?,?,973.0,63280.0,0.0,0.0
7600.0,0.896012,2.0125578252805604E-8,7600.0,91.72368421052632,91.72368421052632,32.14670981661272,91.72368421052632,?,?,?,1073.0,63280.0,0.0,0.0
7700.0,0.910941,2.068027467570371E-8,7700.0,91.74025974025975,91.74025974025975,34.229576008273035,91.74025974025975,?,?,?,1173.0,68400.0,0.0,0.0
7800.0,0.926259,2.124942463926143E-8,7800.0,91.6923076923077,91.6923076923077,36.964980544747114,91.6923076923077,?,?,?,1273.0,68400.0,0.0,0.0
7900.0,0.941303,2.1808393959783844E-8,7900.0,91.67088607594937,91.67088607594937,39.63302752293574,91.67088607594937,?,?,?,1373.0,68400.0,0.0,0.0
8000.0,0.956792,2.238389753633075E-8,8000.0,91.64999999999999,91.64999999999999,42.013888888888886,91.64999999999999,?,?,?,1473.0,68400.0,0.0,0.0
8100.0,0.984167,2.3401032949073444E-8,8100.0,91.5679012345679,91.5679012345679,43.55371900826448,91.5679012345679,?,?,?,1573.0,68400.0,0.0,0.0
8200.0,1.009964,2.3972568818264536E-8,8200.0,91.54878048780488,91.54878048780488,42.91598023064254,91.54878048780488,?,?,?,100.0,63280.0,1.0,1.0
8300.0,1.028059,2.4320736964129738E-8,8300.0,91.45783132530121,91.45783132530121,43.77478191911185,91.45783132530121,?,?,?,92.0,52016.0,1.0,1.0
8400.0,1.039826,2.4547147274845177E-8,8400.0,91.41666666666667,91.41666666666667,44.91978609625671,91.41666666666667,?,?,?,192.0,52016.0,0.0,0.0
8500.0,1.050609,2.4754624319159323E-8,8500.0,91.38823529411765,91.38823529411765,46.017699115044266,91.38823529411765,?,?,?,292.0,52016.0,0.0,0.0
8600.0,1.061029,2.4955116835319333E-8,8600.0,91.37209302325581,91.37209302325581,47.11332858161085,91.37209302325581,?,?,?,392.0,52016.0,0.0,0.0
8700.0,1.071978,2.516578790628248E-8,8700.0,91.28735632183908,91.28735632183908,47.724137931034505,91.28735632183908,?,?,?,18.0,52016.0,1.0,1.0
8800.0,1.083594,2.537385878049665E-8,8800.0,91.14772727272728,91.14772727272728,47.858099062918356,91.14772727272728,?,?,?,30.0,46880.0,1.0,1.0
8900.0,1.093915,2.5558733048124447E-8,8900.0,90.96629213483146,90.96629213483146,47.92746113989639,90.96629213483146,?,?,?,130.0,46880.0,0.0,0.0
9000.0,1.103913,2.5845378188209403E-8,9000.0,90.72222222222223,90.72222222222223,47.616060225846944,90.72222222222223,?,?,?,230.0,46880.0,0.0,2.0
9100.0,1.115546,2.6178899183869363E-8,9100.0,90.58241758241759,90.58241758241759,47.93438639125152,90.58241758241759,?,?,?,330.0,46880.0,0.0,0.0
9200.0,1.127541,2.6538686758528155E-8,9200.0,90.55434782608695,90.55434782608695,48.76179245283019,90.55434782608695,?,?,?,430.0,46880.0,0.0,1.0
9300.0,1.139137,2.688650640969475E-8,9300.0,90.58064516129032,90.58064516129032,49.942857142857136,90.58064516129032,?,?,?,530.0,46880.0,0.0,3.0
9400.0,1.150806,2.7236515680948893E-8,9400.0,90.59574468085107,90.59574468085107,50.9706045479756,90.59574468085107,?,?,?,630.0,46880.0,0.0,2.0
9500.0,1.167668,2.7742287926375867E-8,9500.0,90.61052631578947,90.61052631578947,51.939655172413794,90.61052631578947,?,?,?,730.0,46880.0,0.0,0.0
9600.0,1.179648,2.7966424570315416E-8,9600.0,90.54166666666667,90.54166666666667,51.77907594264472,90.54166666666667,?,?,?,53.0,49960.0,1.0,1.0
9700.0,1.190635,2.8325128478722443E-8,9700.0,90.36082474226804,90.36082474226804,50.65963060686015,90.36082474226804,?,?,?,77.0,55080.0,1.0,2.0
9800.0,1.205884,2.8891683144287933E-8,9800.0,90.29591836734694,90.29591836734694,52.01816347124117,90.29591836734694,?,?,?,177.0,72496.0,0.0,2.0
9900.0,1.222654,2.9541403574662077E-8,9900.0,90.31313131313131,90.31313131313131,53.693867696764826,90.31313131313131,?,?,?,277.0,72496.0,0.0,1.0
10000.0,1.238947,3.00818691133625E-8,10000.0,90.39,90.39,53.61969111969115,90.39,?,?,?,377.0,72496.0,0.0,1.0
10100.0,1.254786,3.0607274727274974E-8,10100.0,90.45544554455446,90.45544554455446,53.49734684032803,90.45544554455446,?,?,?,477.0,72496.0,0.0,0.0
10200.0,1.267371,3.083939657236139E-8,10200.0,90.42156862745098,90.42156862745098,52.9156626506024,90.42156862745098,?,?,?,83.0,48936.0,1.0,1.0
10300.0,1.278482,3.107084516435861E-8,10300.0,90.48543689320388,90.48543689320388,52.793834296724484,90.48543689320388,?,?,?,183.0,58160.0,0.0,0.0
10400.0,1.289559,3.1269261234750345E-8,10400.0,90.4423076923077,90.4423076923077,54.10895660203138,90.4423076923077,?,?,?,85.0,46880.0,1.0,1.0
10500.0,1.301272,3.149773541010088E-8,10500.0,90.38095238095238,90.38095238095238,55.42806707855252,90.38095238095238,?,?,?,55.0,53040.0,1.0,1.0
10600.0,1.312758,3.1703477667437656E-8,10600.0,90.31132075471699,90.31132075471699,56.593406593406606,90.31132075471699,?,?,?,45.0,46880.0,1.0,1.0
10700.0,1.324573,3.1915113116717995E-8,10700.0,90.4018691588785,90.4018691588785,58.35360908353607,90.4018691588785,?,?,?,145.0,46880.0,0.0,0.0
10800.0,1.336683,3.2151331187536315E-8,10800.0,90.41666666666667,90.41666666666667,59.66484801247077,90.41666666666667,?,?,?,10.0,53040.0,1.0,1.0
10900.0,1.348996,3.2391508983241184E-8,10900.0,90.38532110091742,90.38532110091742,60.69017254313576,90.38532110091742,?,?,?,110.0,53040.0,0.0,0.0
11000.0,1.361881,3.264284423035052E-8,11000.0,90.33636363636364,90.33636363636364,61.569052783803336,90.33636363636364,?,?,?,210.0,53040.0,0.0,0.0
11100.0,1.373485,3.286919224800335E-8,11100.0,90.32432432432432,90.32432432432432,62.5261688764829,90.32432432432432,?,?,?,310.0,53040.0,0.0,0.0
11200.0,1.385296,3.3242233859168156E-8,11200.0,90.25892857142857,90.25892857142857,63.216453135536085,90.25892857142857,?,?,?,410.0,58160.0,0.0,1.0
11300.0,1.400493,3.3722219750699066E-8,11300.0,90.16814159292036,90.16814159292036,63.76386170906721,90.16814159292036,?,?,?,510.0,58160.0,0.0,0.0
11400.0,1.415703,3.4202616237517854E-8,11400.0,90.06140350877193,90.06140350877193,64.21351863550223,90.06140350877193,?,?,?,610.0,58160.0,0.0,0.0
11500.0,1.428841,3.442049355349606E-8,11500.0,90.04347826086956,90.04347826086956,64.9418248622168,90.04347826086956,?,?,?,97.0,41744.0,1.0,1.0
11600.0,1.439686,3.4600344329244555E-8,11600.0,90.05172413793103,90.05172413793103,65.71598336304217,90.05172413793103,?,?,?,197.0,41744.0,0.0,0.0
11700.0,1.451268,3.481703469736708E-8,11700.0,89.92307692307693,89.92307692307693,65.98384304673976,89.92307692307693,?,?,?,56.0,49960.0,1.0,1.0
11800.0,1.462953,3.507282191473576E-8,11800.0,89.8728813559322,89.8728813559322,66.489063376332,89.8728813559322,?,?,?,156.0,62256.0,0.0,0.0
11900.0,1.47574,3.5352732154230267E-8,11900.0,89.7983193277311,89.7983193277311,66.8848881614839,89.7983193277311,?,?,?,256.0,62256.0,0.0,0.0
12000.0,1.488569,3.56335617829528E-8,12000.0,89.66666666666666,89.66666666666666,67.0738183749336,89.66666666666666,?,?,?,356.0,62256.0,0.0,0.0
12100.0,1.501791,3.5922994268023295E-8,12100.0,89.52066115702479,89.52066115702479,67.20124159337817,89.52066115702479,?,?,?,456.0,62256.0,0.0,0.0
12200.0,1.514511,3.6201437862796903E-8,12200.0,89.39344262295083,89.39344262295083,67.37266767523955,89.39344262295083,?,?,?,556.0,62256.0,0.0,0.0
12300.0,1.528567,3.650912679110963E-8,12300.0,89.27642276422765,89.27642276422765,67.56025577963602,89.27642276422765,?,?,?,656.0,62256.0,0.0,0.0
12400.0,1.541885,3.675476832729246E-8,12400.0,89.10483870967741,89.10483870967741,67.57081132981276,89.10483870967741,?,?,?,22.0,48936.0,1.0,1.0
12500.0,1.552796,3.714572128322388E-8,12500.0,89.088,89.088,68.02625410220348,89.088,?,?,?,122.0,63280.0,0.0,1.0
12600.0,1.567418,3.766964339133765E-8,12600.0,89.05555555555556,89.05555555555556,68.41502519468621,89.05555555555556,?,?,?,222.0,63280.0,0.0,0.0
12700.0,1.581461,3.8172819301899925E-8,12700.0,89.00787401574803,89.00787401574803,68.74160322436185,89.00787401574803,?,?,?,322.0,63280.0,0.0,0.0
12800.0,1.597105,3.875408200133177E-8,12800.0,88.9296875,88.9296875,68.96627244853264,88.9296875,?,?,?,422.0,68400.0,0.0,0.0
12900.0,1.613538,3.938642678575382E-8,12900.0,88.82170542635659,88.82170542635659,69.09558508358337,88.82170542635659,?,?,?,522.0,73520.0,0.0,4.0
13000.0,1.634511,3.9762104337828016E-8,13000.0,88.73076923076924,88.73076923076924,69.26143516575746,88.73076923076924,?,?,?,44.0,46880.0,1.0,1.0
13100.0,1.647086,3.998735323962237E-8,13100.0,88.73282442748092,88.73282442748092,69.66707768187422,88.73282442748092,?,?,?,144.0,46880.0,0.0,0.0
13200.0,1.657578,4.0175290534065815E-8,13200.0,88.7121212121212,88.7121212121212,69.99597261377365,88.7121212121212,?,?,?,244.0,46880.0,0.0,0.0
13300.0,1.668043,4.036274419269626E-8,13300.0,88.66917293233084,88.66917293233084,70.252664824319,88.66917293233084,?,?,?,344.0,46880.0,0.0,0.0
13400.0,1.679239,4.0595963384128263E-8,13400.0,88.65671641791046,88.65671641791046,70.57684862562913,88.65671641791046,?,?,?,444.0,58160.0,0.0,0.0
13500.0,1.691538,4.102035927275815E-8,13500.0,88.55555555555556,88.55555555555556,70.66084314470186,88.55555555555556,?,?,?,544.0,58160.0,0.0,4.0
13600.0,1.70585,4.1288125854399456E-8,13600.0,88.47794117647058,88.47794117647058,70.79761461051062,88.47794117647058,?,?,?,49.0,49960.0,1.0,6.0
13700.0,1.717652,4.166093205826149E-8,13700.0,88.46715328467153,88.46715328467153,71.09403585803146,88.46715328467153,?,?,?,149.0,49960.0,0.0,1.0
13800.0,1.732496,4.212983015096849E-8,13800.0,88.40579710144928,88.40579710144928,71.25404240028746,88.40579710144928,?,?,?,249.0,49960.0,0.0,4.0
13900.0,1.752323,4.275613320163553E-8,13900.0,88.35971223021582,88.35971223021582,71.44369925873632,88.35971223021582,?,?,?,349.0,49960.0,0.0,0.0
13910.0,1.760093,4.3001575008448615E-8,13910.0,88.3608914450036,88.3608914450036,71.47639182522903,88.3608914450036,?,?,?,359.0,49960.0,0.0,0.0
