learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.002865,6.60537431637446E-12,100.0,77.0,53.59160613397902,51.06382978723404,52.083333333333336,77.2511864870827,77.91088692728036,76.6025641025641,100.0,3224.0,0.0,0.0
200.0,0.006099,1.66115661462148E-11,200.0,71.0,41.93612974271698,41.41414141414141,38.29787234042552,71.074088937993,71.20153861726895,70.94709470947095,200.0,3224.0,0.0,8.0
300.0,0.010447,3.0064541432592605E-11,300.0,69.0,38.3289124668435,35.41666666666665,32.116788321167874,69.39138244499942,69.46127946127946,69.32162595828133,300.0,3224.0,0.0,1.0
400.0,0.013627,3.990365399254693E-11,400.0,69.0,37.979843449120956,32.24043715846994,34.04255319148935,69.02423740746133,69.06429665336044,68.98422460561514,400.0,3224.0,0.0,0.0
500.0,0.018728,5.5686456875668635E-11,500.0,70.8,41.5785008883269,37.8723404255319,38.13559322033897,70.8703541350613,70.95899695018637,70.78193251092017,500.0,3224.0,0.0,0.0
600.0,0.022768,6.818646151158545E-11,600.0,73.16666666666667,46.3809946714032,42.70462633451959,42.08633093525181,73.24742910741044,73.27732216081297,73.21756043345373,600.0,3224.0,0.0,0.0
700.0,0.028424,8.5686468001869E-11,700.0,74.71428571428571,49.45332898172323,46.52567975830815,46.200607902735555,74.76314642393818,74.78429768963402,74.74200711929721,700.0,3224.0,0.0,0.0
800.0,0.030631,9.251505964332158E-11,800.0,76.5,53.02906326710348,50.132625994694955,49.46236559139785,76.54769600422107,76.54437559014251,76.5510167063842,800.0,3224.0,0.0,0.0
900.0,0.032635,9.871555699242487E-11,900.0,77.22222222222223,54.45524023935068,52.10280373831776,52.32558139534884,77.2519121370056,77.26854690374003,77.23528453116435,900.0,3224.0,0.0,0.0
1000.0,0.034073,1.0316481606827843E-10,1000.0,76.9,53.800000000000004,50.955414012738856,51.67364016736402,76.91556304422991,76.93113238904172,76.9,1000.0,3224.0,0.0,0.0
1100.0,0.035452,1.0743152557147875E-10,1100.0,76.0,51.998254481981164,49.32821497120921,49.714285714285715,76.00342615742507,76.00858525228273,75.99826776286864,1100.0,3224.0,0.0,2.0
1200.0,0.036897,1.1190244307120643E-10,1200.0,75.33333333333333,50.655015767611786,47.51773049645389,48.16112084063047,75.33257785796663,75.3418716692011,75.32328633932912,1200.0,3224.0,0.0,1.0
1300.0,0.039074,1.1692160533534156E-10,1300.0,74.23076923076923,48.4307800155359,44.99178981937603,45.70502431118316,74.2257572001381,74.24593802464217,74.20558734337234,200.0,3224.0,1.0,0.0
1400.0,0.040649,1.2179475070701706E-10,1400.0,73.92857142857143,47.8362773680901,45.11278195488722,45.44095665171899,73.92892012177109,73.94688644688645,73.91096252482392,300.0,3224.0,0.0,1.0
1500.0,0.042755,1.283108422325717E-10,1500.0,73.66666666666667,47.31460074693224,44.75524475524476,44.98607242339834,73.66338539433023,73.67519466073415,73.65157991309233,400.0,3224.0,0.0,0.0
1600.0,0.044165,1.3267346761292882E-10,1600.0,74.1875,48.3562791511923,46.153846153846146,46.22395833333332,74.18648160933228,74.20117685896624,74.17179217921792,500.0,3224.0,0.0,0.0
1700.0,0.046042,1.3700096764498288E-10,1700.0,73.23529411764706,46.44167786071374,44.714459295261236,44.24019607843136,73.23438417205404,73.25726546820366,73.21151716500553,45.0,3224.0,1.0,1.0
1800.0,0.047361,1.410820335149765E-10,1800.0,73.55555555555556,47.072689804450626,45.224395857307236,44.779582366589324,73.54776416220695,73.570590768043,73.5249517167117,145.0,3224.0,0.0,3.0
1900.0,0.048714,1.4526829744378726E-10,1900.0,73.47368421052632,46.92149080992395,45.5135135135135,44.97816593886462,73.47580421344475,73.49971795452628,73.4519060283688,245.0,3224.0,0.0,2.0
2000.0,0.050038,1.4936483361654812E-10,2000.0,73.9,47.777021889631435,46.73469387755102,45.962732919254655,73.90234623052692,73.92431747863864,73.88038803880389,345.0,3224.0,0.0,2.0
2100.0,0.051395,1.5356347378757266E-10,2100.0,73.38095238095238,46.73726621838673,45.88576960309778,44.98031496062992,73.3864907786703,73.41305883540215,73.3599419448476,445.0,3224.0,0.0,4.0
2200.0,0.052865,1.5811174280113646E-10,2200.0,73.13636363636363,46.24100502279857,45.63017479300828,44.3502824858757,73.13361262808321,73.15663670418809,73.11060303983125,545.0,3224.0,0.0,0.0
2300.0,0.054667,1.636872399184439E-10,2300.0,73.65217391304347,47.276441216522905,46.79543459174714,45.503597122302146,73.64982691463554,73.67045454545456,73.62921083200233,645.0,3224.0,0.0,0.0
2400.0,0.056976,1.7083142573634784E-10,2400.0,73.83333333333333,47.64121447926074,47.09351305812973,45.95524956970739,73.83134690507602,73.8504347826087,73.81226889215476,745.0,3224.0,0.0,0.0
2500.0,0.058368,1.7513835802674293E-10,2500.0,74.32,48.634740197396205,48.35076427996781,47.46317512274958,74.32746442520981,74.33980395925428,74.31512898692083,845.0,3224.0,0.0,0.0
2600.0,0.059665,1.791513545645608E-10,2600.0,74.6923076923077,49.38362701756898,49.07120743034055,48.311076197957576,74.69929823282546,74.70725218794834,74.69134597121064,945.0,3224.0,0.0,0.0
2700.0,0.060949,1.8312412831518385E-10,2700.0,75.33333333333333,50.671782185551116,50.037509377344335,49.23780487804877,75.34214792847163,75.34465129833885,75.33964472495074,1045.0,3224.0,0.0,0.0
2800.0,0.062253,1.871587832768758E-10,2800.0,75.85714285714286,51.71859655387912,51.43678160919539,50.439882697947205,75.86605488879114,75.86985645933014,75.86225369919963,1145.0,3224.0,0.0,0.0
2900.0,0.063604,1.9133885908457969E-10,2900.0,76.27586206896552,52.55431926434464,52.453351762266756,51.41242937853108,76.28205976263718,76.28521040490092,76.27890938061095,1245.0,3224.0,0.0,0.0
3000.0,0.064905,1.9536423186461131E-10,3000.0,76.63333333333333,53.27298000625693,53.235490326884594,51.82130584192439,76.64374205143031,76.64436382904101,76.64312028390785,1345.0,3224.0,0.0,0.0
3100.0,0.06619,1.9934009967578784E-10,3100.0,76.93548387096774,53.876189667600606,53.811369509043935,52.49169435215948,76.94420074784105,76.94438581789859,76.94401567867376,1445.0,3224.0,0.0,0.0
3200.0,0.067491,2.0336547245581947E-10,3200.0,77.28125,54.56573009262624,54.36283741368487,53.337612323491655,77.28674993481246,77.28689384030965,77.28660602985119,1545.0,3224.0,0.0,0.0
3300.0,0.068883,2.0767240474621456E-10,3300.0,77.6969696969697,55.396740920955935,55.33980582524271,54.3424317617866,77.70235898978176,77.70378367893778,77.7009343528678,1645.0,3224.0,0.0,0.0
3400.0,0.070376,2.1229183715250757E-10,3400.0,78.17647058823529,56.35632393890576,56.12063867534003,55.2202776101388,78.18254991761061,78.1828424940064,78.1822573434046,1745.0,3224.0,0.0,0.0
3500.0,0.071719,2.1644716047578387E-10,3500.0,78.54285714285714,57.087816106966194,56.839080459770116,56.107539450613686,78.54682085928792,78.54740348270485,78.5462382445141,1845.0,3224.0,0.0,0.0
3600.0,0.073008,2.2043540452917417E-10,3600.0,78.97222222222223,57.94626158128969,57.59103641456582,57.08616780045352,78.97639054755614,78.97796024200518,78.9748209155015,1945.0,3224.0,0.0,0.0
3700.0,0.074302,2.244391188853317E-10,3700.0,79.35135135135135,58.7027027027027,58.319694489907256,57.90633608815426,79.35342698198247,79.35550272120292,79.35135135135135,2045.0,3224.0,0.0,0.0
3800.0,0.075577,2.2838404609097375E-10,3800.0,79.57894736842105,59.15860748136528,58.85471898197242,58.32438238453276,79.58166374364575,79.58343387654836,79.57989368948566,2145.0,3224.0,0.0,0.0
3900.0,0.076877,2.3240632481045194E-10,3900.0,79.8974358974359,59.79622513693161,59.44128297982411,58.8883062401678,79.90037714811174,79.90113206832596,79.89962224216266,2245.0,3224.0,0.0,0.0
4000.0,0.07817,2.3640694510605603E-10,4000.0,80.05,60.10194503017977,59.696969696969695,59.07692307692308,80.0539176563644,80.05370726913212,80.05412804470251,2345.0,3224.0,0.0,0.0
4100.0,0.079699,2.411377636922731E-10,4100.0,80.14634146341464,60.29438358380844,59.842131228416385,59.401496259351624,80.1500040111825,80.15080758159583,80.14920045688179,2445.0,3224.0,0.0,0.0
4200.0,0.081171,2.4569222082694375E-10,4200.0,80.28571428571428,60.573681503914045,60.077145612343294,59.5505617977528,80.29035725859598,80.28991764713352,80.29079687487244,2545.0,3224.0,0.0,0.0
4300.0,0.08252,2.4986610851354075E-10,4300.0,80.53488372093022,61.07178859291243,60.44423440453686,60.123868508813715,80.53906860940747,80.53896620170804,80.53917101736732,2645.0,3224.0,0.0,0.0
4400.0,0.083844,2.539626446863016E-10,4400.0,80.75,61.50206807072348,60.98572086596039,60.51282051282052,80.75449374090017,80.75375979037285,80.755227704769,2745.0,3224.0,0.0,0.0
4500.0,0.085141,2.5797564122411945E-10,4500.0,81.11111111111111,62.22401308382418,61.79775280898877,61.20492925604747,81.11555896761416,81.11409608091024,81.11702190708515,2845.0,3224.0,0.0,0.0
4600.0,0.086461,2.6205980115466655E-10,4600.0,81.21739130434783,62.43690574011035,62.12187637001316,61.46297948260483,81.2222772575596,81.22121481763784,81.22333972527687,2945.0,3224.0,0.0,0.0
4700.0,0.08778,2.661408670246602E-10,4700.0,81.34042553191489,62.68348636311786,62.39279588336192,61.686325906509396,81.34651367710926,81.34523362201267,81.34779377249257,3045.0,3224.0,0.0,0.0
4800.0,0.089661,2.719607949256898E-10,4800.0,81.41666666666667,62.83503672748333,62.56819135543433,61.92915066154504,81.4206712131211,81.41974382692901,81.42159862043962,3145.0,3224.0,0.0,0.0
4900.0,0.091002,2.761099301278592E-10,4900.0,81.36734693877551,62.73599757442888,62.41251543845203,61.71907756813416,81.37157624230024,81.36935228625772,81.3738003199147,3245.0,3224.0,0.0,0.0
5000.0,0.092356,2.802992881172234E-10,5000.0,81.34,62.68100313463574,62.33346790472345,61.82487725040917,81.34261025897985,81.34166493864898,81.34355560128324,3345.0,3224.0,0.0,0.0
5100.0,0.094968,2.883809742828211E-10,5100.0,81.19607843137256,62.392850881644634,61.85361972951473,61.640000000000015,81.19769443844551,81.19730820880051,81.19808067176488,3445.0,3224.0,0.0,1.0
5200.0,0.098309,2.9871823059188004E-10,5200.0,81.23076923076923,62.46245468860597,61.97896377093883,61.725490196078425,81.23278894677183,81.23254868911116,81.23302920585374,3545.0,3224.0,0.0,0.0
5300.0,0.1014,3.082819717625778E-10,5300.0,81.24528301886792,62.491682340817476,62.04658266513936,61.71032357473034,81.24784347023278,81.24730949440352,81.24837745308089,3645.0,3224.0,0.0,0.0
5400.0,0.103597,3.150796227984959E-10,5400.0,81.33333333333333,62.667076355815034,62.26132534631225,61.89035916824197,81.33477609476525,81.33395080153811,81.33560140474101,3745.0,3224.0,0.0,0.0
5500.0,0.106828,3.2507653244667595E-10,5500.0,81.2,62.400084522124054,62.068965517241395,61.67531504818384,81.20071063216149,81.20011652232945,81.20130475068733,3845.0,3224.0,0.0,0.0
5600.0,0.108484,3.288945079677636E-10,5600.0,81.14285714285714,62.285805684909676,61.91849981968986,61.5440640932265,81.14369733272022,81.1429822886457,81.14441238939702,548.0,3224.0,1.0,0.0
5700.0,0.109935,3.322398476302625E-10,5700.0,81.14035087719299,62.280190929024585,61.91994332270634,61.510920157536695,81.140649482269,81.13976958993409,81.14152939368748,648.0,3224.0,0.0,0.0
5800.0,0.111547,3.372274732424155E-10,5800.0,81.17241379310344,62.34523502777793,62.05698401667825,61.71107994389903,81.17335884712652,81.17313644276881,81.17358125270293,748.0,3224.0,0.0,1.0
5900.0,0.113241,3.4246881181995087E-10,5900.0,81.27118644067797,62.54276025872757,62.26092896174863,61.96213425129088,81.2720287410285,81.27199460287994,81.27206287920575,848.0,3224.0,0.0,0.0
6000.0,0.115071,3.4813094263275476E-10,6000.0,81.23333333333333,62.46687101370226,62.315930388219556,61.93373901284652,81.23377560611162,81.23377560611162,81.23377560611162,948.0,3224.0,0.0,0.0
6100.0,0.117126,3.5448923707008373E-10,6100.0,81.1967213114754,62.39373368999455,62.24489795918367,61.842980705256146,81.19735144403427,81.19732293777673,81.19737995031184,1048.0,3224.0,0.0,0.0
6200.0,0.118595,3.590344120230941E-10,6200.0,81.29032258064515,62.581018961725235,62.33766233766234,62.054301602878624,81.29116069551682,81.29129094130026,81.29103045015076,1148.0,3224.0,0.0,0.0
6300.0,0.120019,3.634403542511994E-10,6300.0,81.3968253968254,62.79401076089363,62.6751592356688,62.30299131553555,81.39777113611542,81.39811921577417,81.39742305943362,1248.0,3224.0,0.0,0.0
6400.0,0.121418,3.6776894496546864E-10,6400.0,81.46875,62.93770268443845,62.85624804259318,62.48022777602025,81.46934919592698,81.46962578580606,81.46907260792595,1348.0,3224.0,0.0,0.0
6500.0,0.122786,3.720016198025811E-10,6500.0,81.6,63.200059228307026,63.06361951822112,62.776221599751004,81.60051428284822,81.60094510514891,81.60008346509666,1448.0,3224.0,0.0,0.0
6600.0,0.124116,3.761167203386626E-10,6600.0,81.71212121212122,63.424114794890926,63.36874051593324,62.97546012269939,81.71247819871881,81.71299801582036,81.71195838823083,1548.0,3224.0,0.0,0.0
6700.0,0.125418,3.801451871792477E-10,6700.0,81.7910447761194,63.58185590497886,63.494913225613416,63.063881320012115,81.79120557326958,81.79164183488122,81.7907693163118,1648.0,3224.0,0.0,0.0
6800.0,0.126803,3.844304610457687E-10,6800.0,81.94117647058825,63.882293578164195,63.88235294117648,63.40882002383791,81.94159441896349,81.9420917902367,81.94109705372811,1748.0,3224.0,0.0,0.0
6900.0,0.128156,3.8861672497457944E-10,6900.0,82.05797101449276,64.11599931073415,64.08471134319699,63.620334998530716,82.05853834476916,82.0590231722214,82.05805352304587,1848.0,3224.0,0.0,0.0
7000.0,0.12953,3.9286796417501254E-10,7000.0,82.04285714285714,64.08594296297542,64.08571428571427,63.54408352668213,82.04407145075787,82.04494386792284,82.04319905214625,1948.0,3224.0,0.0,0.0
7100.0,0.130842,3.9692737162113205E-10,7100.0,81.97183098591549,63.9435790012927,63.9943741209564,63.37625178826896,81.97278403610896,81.97384963360777,81.9717184663137,2048.0,3224.0,0.0,0.0
7200.0,0.132138,4.007468372583391E-10,7200.0,82.01388888888889,64.02602904307848,64.10753880266076,63.324837156612844,82.01391502548545,82.01581604162789,82.01201409746697,2148.0,3224.0,0.0,1.0
7300.0,0.133461,4.046458750963213E-10,7300.0,82.0958904109589,64.18823257399119,64.28961748633878,63.40985442329228,82.09527414084432,82.0982245921855,82.09232390156257,2248.0,3224.0,0.0,0.0
7400.0,0.134833,4.086893217431176E-10,7400.0,82.14864864864865,64.29252412849928,64.3262219821766,63.4679203539823,82.14739075167178,82.15070363537087,82.14407813515862,2348.0,3224.0,0.0,0.0
7500.0,0.136203,4.1272687415281947E-10,7500.0,82.22666666666667,64.44782701278108,64.53844107475393,63.60906360906361,82.22516172243472,82.22890589255594,82.22141789326832,2448.0,3224.0,0.0,0.0
7600.0,0.137549,4.166936957173879E-10,7600.0,82.34210526315789,64.6792817695821,64.72134595162986,63.876177658142666,82.3409358496933,82.34459182136047,82.3372802026506,2548.0,3224.0,0.0,0.0
7700.0,0.138834,4.2048074305057543E-10,7700.0,82.46753246753246,64.93029749026432,65.03496503496503,64.14342629482071,82.46641517640487,82.46999060281983,82.46284005999647,2648.0,3224.0,0.0,0.0
