learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.002049,4.03707226117452E-12,100.0,77.0,53.59160613397902,51.06382978723404,52.083333333333336,77.2511864870827,77.91088692728036,76.6025641025641,100.0,3224.0,0.0,0.0
200.0,0.004621,9.104592932595147E-12,200.0,71.5,42.86287089013632,42.42424242424242,39.36170212765956,72.02854071191199,72.68675721561969,71.38213821382138,83.0,3224.0,1.0,0.0
300.0,0.008252,1.9121739185518688E-11,300.0,73.33333333333333,47.00582935877053,44.44444444444443,41.60583941605838,73.85959999771418,73.99891774891775,73.7208058477447,183.0,3224.0,0.0,1.0
400.0,0.011378,2.774569930301772E-11,400.0,75.0,49.97623871338886,45.3551912568306,46.80851063829787,75.09012265449907,75.20371351446808,74.97687442186056,283.0,3224.0,0.0,1.0
500.0,0.016586,4.2113448596662944E-11,500.0,76.4,52.78111244497799,49.787234042553195,50.0,76.51321210449198,76.64646464646465,76.3804220867534,383.0,3224.0,0.0,0.0
600.0,0.020782,5.3689308050605985E-11,600.0,78.33333333333333,56.71235917642489,53.736654804270465,53.23741007194245,78.44717781729837,78.50042950055222,78.39399833287024,483.0,3224.0,0.0,0.0
700.0,0.023274,6.056419884165127E-11,700.0,80.0,60.02088704676741,57.703927492447136,57.446808510638306,80.0595126774669,80.0890023232224,80.03004474053755,583.0,3224.0,0.0,0.0
800.0,0.026661,6.990820169448852E-11,800.0,81.25,62.52833794442952,60.21220159151193,59.67741935483871,81.31149181568563,81.31149181568563,81.31149181568563,683.0,3224.0,0.0,0.0
900.0,0.029836,7.866734224889013E-11,900.0,81.66666666666667,63.3441943127962,61.44859813084111,61.627906976744185,81.71352633301225,81.74418604651163,81.6828896099086,783.0,3224.0,0.0,0.0
1000.0,0.033597,8.904313047726948E-11,1000.0,80.9,61.80000000000001,59.447983014862004,60.04184100418411,80.92233589345888,80.94468412387488,80.89999999999999,883.0,3224.0,0.0,1.0
1100.0,0.035688,9.316295385360717E-11,1100.0,80.54545454545455,61.088465060615384,58.925143953934736,59.238095238095234,80.56060662006969,80.57880644339195,80.54241501624799,134.0,3224.0,1.0,0.0
1200.0,0.037227,9.619519114494322E-11,1200.0,81.08333333333333,62.15510294812303,59.75177304964539,60.24518388791593,81.09004228457643,81.10988106231711,81.07021320925064,234.0,3224.0,0.0,0.0
1300.0,0.03881,9.931412008073593E-11,1300.0,80.23076923076923,60.43794168356037,57.799671592775034,58.34683954619124,80.23190725452451,80.25709245084369,80.2067378598027,44.0,3224.0,1.0,0.0
1400.0,0.040522,1.0268721315595837E-10,1400.0,79.92857142857143,59.84681775313652,57.74436090225563,57.997010463378174,79.92710638361099,79.93550837696762,79.91870615632992,14.0,3224.0,1.0,1.0
1500.0,0.041895,1.0539238651593525E-10,1500.0,79.46666666666667,58.92281757463243,56.92307692307692,57.10306406685236,79.46402947361912,79.47084187158471,79.45721824349792,8.0,3224.0,1.0,0.0
1600.0,0.043096,1.0775867435667248E-10,1600.0,79.6875,59.36230071897468,57.6271186440678,57.682291666666664,79.68785899796119,79.7008797653959,79.67484248424843,108.0,3224.0,0.0,0.0
1700.0,0.04446,1.1044611533482868E-10,1700.0,79.29411764705883,58.57447456594579,57.229647630619695,56.86274509803923,79.2912136733547,79.30086823543752,79.28156146179401,59.0,3224.0,1.0,0.0
1800.0,0.045836,1.1315719948874578E-10,1800.0,78.94444444444444,57.86777075917063,56.38665132336017,56.03248259860788,78.93790945817949,78.94944009768167,78.92638218630681,50.0,3224.0,1.0,0.0
1900.0,0.047041,1.1553136838806999E-10,1900.0,79.05263157894737,58.09133229882508,56.972972972972954,56.55021834061134,79.0521100437641,79.06499556344278,79.03922872340425,150.0,3224.0,0.0,0.0
2000.0,0.048309,1.1802966396013893E-10,2000.0,78.85,57.6894223555889,56.836734693877546,56.21118012422359,78.8479586459965,78.85553470919324,78.84038403840384,99.0,3224.0,1.0,0.0
