learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected
100.0,0.005677,3.125274346934424E-11,100.0,77.0,53.59160613397902,51.06382978723404,52.083333333333336,77.2511864870827,77.91088692728036,76.6025641025641,100.0,3224.0,0.0
200.0,0.012342,6.811010340849557E-11,200.0,75.0,49.934915390007006,49.494949494949495,46.80851063829787,75.14996554160143,75.36364561082291,74.93749374937494,95.0,3320.0,1.0
300.0,0.022141,1.2229844099945492E-10,300.0,76.66666666666667,53.30012453300126,51.38888888888889,48.90510948905111,76.6714455971992,76.63584637268848,76.70707791050097,63.0,3320.0,1.0
400.0,0.030749,1.699005646838082E-10,400.0,77.0,53.98044168771728,49.72677595628416,51.06382978723404,77.07713307815587,77.17509002543376,76.97942448561214,95.0,3320.0,1.0
500.0,0.043563,2.4076181153456366E-10,500.0,76.8,53.588861326718416,50.638297872340424,50.847457627118644,76.8365767119399,76.88478522681655,76.78842861485784,57.0,3320.0,2.0
600.0,0.05232,2.8918790320555365E-10,600.0,78.0,56.017104459376924,53.02491103202848,52.517985611510795,78.03096860653957,78.0347077853498,78.02722978605168,157.0,3320.0,0.0
700.0,0.055605,3.0735390881697334E-10,700.0,78.57142857142857,57.14565579390734,54.68277945619335,54.40729483282675,78.57702673968757,78.57562695924764,78.57842657000099,257.0,3320.0,0.0
800.0,0.058179,3.2158809403578437E-10,800.0,79.5,58.980259249763954,56.49867374005305,55.91397849462366,79.49160585521051,79.48496727122681,79.49824554819583,357.0,3320.0,0.0
900.0,0.060973,3.370388762818442E-10,900.0,79.33333333333333,58.66850362206124,56.54205607476636,56.74418604651162,79.33685941597403,79.33685941597403,79.33685941597403,88.0,3320.0,1.0
1000.0,0.064036,3.539772248930401E-10,1000.0,79.7,59.400000000000006,56.900212314225065,57.53138075313808,79.70148512084077,79.70297029702971,79.7,13.0,3320.0,1.0
1100.0,0.067754,3.7453771465354495E-10,1100.0,80.0909090909091,60.18234469626847,57.965451055662186,58.285714285714285,80.09241583149732,80.09316195236774,80.09166972452802,113.0,3320.0,0.0
1200.0,0.071429,3.948604149950875E-10,1200.0,80.66666666666666,61.33601833206027,58.86524822695035,59.369527145359015,80.67226890756302,80.67226890756302,80.67226890756302,213.0,3320.0,0.0
1300.0,0.074096,4.096088889572355E-10,1300.0,80.38461538461539,60.77090206807758,58.128078817734,58.67098865478121,80.3898026814972,80.38703325001893,80.39257230380262,69.0,3320.0,1.0
1400.0,0.077308,4.2737120555506806E-10,1400.0,80.35714285714286,60.7210192538422,58.64661654135339,58.89387144992527,80.37169582788998,80.37464071073947,80.36875116083037,24.0,3320.0,1.0
1500.0,0.082054,4.536165214247173E-10,1500.0,79.4,58.808787458675496,56.783216783216794,56.96378830083566,79.41822426103397,79.42243564092304,79.41401332773863,71.0,3320.0,3.0
1600.0,0.084563,4.674912575218412E-10,1600.0,79.875,59.75704251755942,58.01825293350716,58.07291666666665,79.88982156899014,79.89290470206501,79.88673867386738,171.0,3320.0,0.0
1700.0,0.08766,4.846176256736118E-10,1700.0,79.47058823529412,58.94288126444576,57.59416767922235,57.23039215686274,79.4748877986486,79.47303149797021,79.47674418604652,35.0,3320.0,2.0
1800.0,0.090659,5.012020551496081E-10,1800.0,79.44444444444444,58.88888888888888,57.4223245109321,57.076566125290014,79.44800756112103,79.44444444444444,79.45157099742653,87.0,3320.0,2.0
1900.0,0.09411,5.202860385179519E-10,1900.0,78.94736842105263,57.90033458155149,56.75675675675676,56.33187772925764,78.95793116613609,78.9586371675924,78.95722517730496,18.0,3320.0,3.0
2000.0,0.096708,5.346529434124628E-10,2000.0,79.14999999999999,58.30708779507483,57.44897959183673,56.83229813664595,79.16417259609767,79.16692924255109,79.16141614161415,118.0,3320.0,0.0
2100.0,0.09965,5.509221636586718E-10,2100.0,78.85714285714286,57.72118837740777,57.01839303000968,56.2992125984252,78.87085789583406,78.87379148157827,78.8679245283019,58.0,3320.0,1.0
2200.0,0.102668,5.676116628779304E-10,2200.0,78.86363636363637,57.73167422235371,57.221711131554756,56.21468926553674,78.87214780370968,78.8707756469648,78.87352000819968,72.0,3320.0,1.0
2300.0,0.105526,5.834163642591899E-10,2300.0,78.8695652173913,57.74181450856807,57.33099209833187,56.294964028776974,78.87527381501027,78.87352699203912,78.87702071535743,76.0,3320.0,1.0
2400.0,0.108165,5.980099985996882E-10,2400.0,79.16666666666666,58.33738386545752,57.87700084245998,56.97074010327021,79.17452629123115,79.17355371900827,79.17549888734857,176.0,3320.0,0.0
2500.0,0.110818,6.126810527510112E-10,2500.0,79.56,59.12198830648876,58.88978278358808,58.183306055646476,79.56599906860542,79.56926368268125,79.56273472240356,276.0,3320.0,0.0
2600.0,0.113712,6.286848336458205E-10,2600.0,79.88461538461539,59.76980208565086,59.52012383900929,58.9159465828751,79.89042858210067,79.89551468429477,79.88534312742198,376.0,3320.0,0.0
2700.0,0.116361,6.433337678511937E-10,2700.0,80.55555555555556,61.104580522161754,60.61515378844712,59.984756097560975,80.55753242326256,80.56654865857301,80.54851820574743,476.0,3320.0,0.0
2800.0,0.119436,6.603384763002395E-10,2800.0,80.64285714285714,61.281150992795574,61.063218390804586,60.263929618768316,80.64586230493592,80.65399602125876,80.63773022897,84.0,3320.0,2.0
2900.0,0.122444,6.769726756546231E-10,2900.0,80.89655172413794,61.789923061372534,61.71389080856946,60.875706214689274,80.90157753009379,80.91039963831483,80.89275734550945,184.0,3320.0,0.0
3000.0,0.12519,6.921580185492832E-10,3000.0,81.13333333333334,62.25539361089179,62.241494329553035,61.09965635738832,81.13237713374318,81.14281596771869,81.12194098528543,90.0,3320.0,1.0
3100.0,0.127793,7.065525733762315E-10,3100.0,81.35483870967742,62.69825011949551,62.66149870801034,61.59468438538207,81.35500269469141,81.367147922999,81.34286109154607,190.0,3320.0,0.0
3200.0,0.130333,7.205987390544678E-10,3200.0,81.625,63.241226714657294,63.088512241054616,62.25930680359435,81.62775909476461,81.6403685836724,81.6151535003678,290.0,3320.0,0.0
3300.0,0.132793,7.342025058137044E-10,3300.0,81.9090909090909,63.81315752930986,63.77427184466019,62.96526054590571,81.91296410571208,81.92283264528422,81.90309794340989,390.0,3320.0,0.0
3400.0,0.135245,7.477620326810411E-10,3400.0,82.29411764705883,64.58034247077896,64.39976345357778,63.66928183464092,82.29589630307423,82.30663004469709,82.28516536069574,490.0,3320.0,0.0
3500.0,0.137792,7.618469082646897E-10,3500.0,82.54285714285714,65.08058326937835,64.88505747126436,64.28988895382817,82.54680390032482,82.55703771473381,82.53657262277952,590.0,3320.0,0.0
3600.0,0.140659,7.777013795243367E-10,3600.0,82.75,65.49716736003634,65.21008403361344,64.79591836734694,82.7534424126557,82.76049572710801,82.74639030034714,16.0,3320.0,1.0
3700.0,0.143157,7.915152857700981E-10,3700.0,83.0,65.99999999999999,65.68466993998908,65.34435261707988,83.00660211585881,83.01320528211285,83.0,116.0,3320.0,0.0
3800.0,0.146101,8.077955659892821E-10,3800.0,83.02631578947368,66.05161594862118,65.80063626723224,65.35982814178303,83.03079082355289,83.03668020430604,83.02490227814972,59.0,3320.0,2.0
3900.0,0.148738,8.223781403568053E-10,3900.0,83.12820512820512,66.25328630027026,65.95964821520951,65.49554273728367,83.13229109364521,83.14044968062635,83.12413410771411,159.0,3320.0,0.0
4000.0,0.151484,8.375634832514654E-10,4000.0,83.2,66.3935727707924,66.06060606060605,65.53846153846153,83.20216792645024,83.21203362486457,83.1923045671319,20.0,3320.0,1.0
4100.0,0.154343,8.533737146192124E-10,4100.0,83.02439024390243,66.04474059971442,65.6635421805624,65.286783042394,83.02866010126911,83.03809523809524,83.01922710831906,100.0,3320.0,1.0
4200.0,0.156966,8.678788691759107E-10,4200.0,83.21428571428572,66.42103329318829,66.00771456123434,65.55935515388373,83.2156752619612,83.22585220020535,83.20550081230458,200.0,3320.0,0.0
4300.0,0.159635,8.826384031110337E-10,4300.0,83.37209302325581,66.73808413095577,66.20982986767486,65.93616007622677,83.37398652069881,83.38320679889628,83.36476828138022,300.0,3320.0,0.0
4400.0,0.162621,8.991509427626925E-10,4400.0,83.43181818181819,66.85528170323926,66.42100414555505,66.01398601398603,83.43345062893138,83.44492739149251,83.42197702289445,51.0,3320.0,1.0
4500.0,0.165074,9.127159996165167E-10,4500.0,83.6888888888889,67.36725794863648,67.01123595505618,66.49931538110452,83.69007614693064,83.70355461462479,83.67660201931125,151.0,3320.0,0.0
4600.0,0.167916,9.284322212139763E-10,4600.0,83.69565217391305,67.38236995350903,67.11968434896977,66.54772524531668,83.69628434894547,83.70724651444534,83.68532505424456,104.0,3320.0,1.0
4700.0,0.170686,9.437502837843362E-10,4700.0,83.61702127659575,67.2238580607392,66.9811320754717,66.36085626911316,83.61680257208725,83.62800970761184,83.60559843993578,111.0,3320.0,1.0
