learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.002742,7.400015989939372E-12,100.0,77.0,53.59160613397902,51.06382978723404,52.083333333333336,77.2511864870827,77.91088692728036,76.6025641025641,100.0,3224.0,0.0,0.0
200.0,0.006272,1.6963188019063738E-11,200.0,71.0,41.93612974271698,41.41414141414141,38.29787234042552,71.074088937993,71.20153861726895,70.94709470947095,200.0,3224.0,0.0,0.0
300.0,0.010603,3.0551796985997096E-11,300.0,69.0,38.3289124668435,35.41666666666665,32.116788321167874,69.39138244499942,69.46127946127946,69.32162595828133,300.0,3224.0,0.0,0.0
400.0,0.013184,3.8649741974141866E-11,400.0,69.0,37.979843449120956,32.24043715846994,34.04255319148935,69.02423740746133,69.06429665336044,68.98422460561514,400.0,3224.0,0.0,0.0
500.0,0.016171,4.9301176849338746E-11,500.0,70.8,41.5785008883269,37.8723404255319,38.13559322033897,70.8703541350613,70.95899695018637,70.78193251092017,500.0,3224.0,0.0,0.0
600.0,0.01917,5.711547202534146E-11,600.0,73.16666666666667,46.3809946714032,42.70462633451959,42.08633093525181,73.24742910741044,73.27732216081297,73.21756043345373,1.0,2824.0,1.0,0.0
700.0,0.021483,6.437256104416318E-11,700.0,73.42857142857143,46.86408305853931,43.80664652567977,43.465045592705174,73.43816335194802,73.43816335194802,73.43816335194802,101.0,3224.0,0.0,0.0
800.0,0.024423,7.3596876528528E-11,800.0,75.0,49.989685372608086,46.94960212201591,46.236559139784944,74.99984572981583,74.99109324899526,75.00860025394205,201.0,3224.0,0.0,0.0
900.0,0.026561,8.122083627515369E-11,900.0,75.55555555555556,51.11183538021658,48.59813084112148,48.837209302325576,75.55692733813831,75.55642250085187,75.55743218217106,301.0,3224.0,0.0,0.0
1000.0,0.028909,8.959364145994186E-11,1000.0,75.3,50.6,47.55838641188959,48.32635983263599,75.3000506001684,75.3001012004048,75.3,401.0,3224.0,0.0,0.0
1100.0,0.033782,1.0905805561277601E-10,1100.0,75.45454545454545,50.90892862455744,48.176583493282145,48.57142857142856,75.45446431227872,75.45446431227872,75.45446431227872,501.0,3224.0,0.0,0.0
1200.0,0.037713,1.2475980238782034E-10,1200.0,75.75,51.494610512279124,48.40425531914892,49.03677758318738,75.74762718712144,75.74902204836415,75.74623237724842,601.0,3224.0,0.0,0.0
1300.0,0.040486,1.370240810016791E-10,1300.0,74.53846153846155,49.06173201948984,45.648604269293934,46.35332252836306,74.53159231801891,74.53493218155641,74.52825275378238,701.0,3224.0,0.0,0.0
1400.0,0.046922,1.53793938871887E-10,1400.0,73.0,45.98688252861409,43.1578947368421,43.49775784753363,72.9957892886719,73.0014232884293,72.990156158473,1.0,2824.0,1.0,0.0
1500.0,0.051184,1.671660588019424E-10,1500.0,73.2,46.37864678556438,43.77622377622378,44.01114206128133,73.1975812054631,73.21244187454158,73.18272656800062,101.0,3224.0,0.0,0.0
1600.0,0.053395,1.7292711469862195E-10,1600.0,74.0625,48.10618849332883,45.89308996088657,45.96354166666666,74.06139314689237,74.0760123850247,74.0467796779678,1.0,2824.0,1.0,0.0
1700.0,0.056767,1.8350683980517917E-10,1700.0,73.88235294117646,47.74445459832184,46.051032806804365,45.58823529411764,73.87758686663439,73.88889812613272,73.86627906976744,101.0,3224.0,0.0,0.0
1800.0,0.060607,1.9555492533577813E-10,1800.0,74.0,47.976621592913354,46.14499424626006,45.707656612529,73.99044566391765,73.99755845619308,73.98333423890226,201.0,3224.0,0.0,0.0
1900.0,0.062256,2.014351449906826E-10,1900.0,73.89473684210527,47.77327037751326,46.378378378378386,45.85152838427948,73.89092729756318,73.89998624844186,73.8818705673759,301.0,3224.0,0.0,0.0
2000.0,0.063942,2.0744730407992998E-10,2000.0,74.4,48.78668453797988,47.755102040816325,46.997929606625256,74.39646718976839,74.40349676381234,74.38943894389438,401.0,3224.0,0.0,0.0
2100.0,0.065313,2.1292354290684063E-10,2100.0,73.85714285714286,47.70147791295826,46.85382381413359,45.96456692913385,73.85386746253147,73.86067522198351,73.84706095791,501.0,3224.0,0.0,0.0
2200.0,0.066673,2.1835584400428664E-10,2200.0,73.5909090909091,47.16531280019709,46.55013799448023,45.29190207156311,73.58430469579126,73.58950144343162,73.57910868206751,601.0,3224.0,0.0,0.0
2300.0,0.067895,2.2376044135954644E-10,2300.0,74.1304347826087,48.24717316492078,47.761194029850756,46.4928057553957,74.12469092774802,74.12860520094563,74.12077706790572,701.0,3224.0,0.0,0.0
2400.0,0.069145,2.2928887564275E-10,2400.0,74.29166666666667,48.57083318862224,48.020219039595624,46.901893287435456,74.28643757296408,74.29005644811116,74.28281905037075,801.0,3224.0,0.0,0.0
2500.0,0.070564,2.3617266573839715E-10,2500.0,74.76,49.51806149356136,49.23572003218021,48.36333878887071,74.75998956447117,74.76164567697748,74.7583335253353,901.0,3224.0,0.0,0.0
2600.0,0.071901,2.426586610575517E-10,2600.0,75.03846153846155,50.0767458346006,49.76780185758515,49.01806755695208,75.03855811618254,75.03881739492675,75.03829883923008,1001.0,3224.0,0.0,0.0
2700.0,0.07317,2.4935842802127204E-10,2700.0,75.66666666666667,51.331891315298236,50.7126781695424,49.92378048780488,75.66600903497385,75.66569216182049,75.66632591078121,1101.0,3224.0,0.0,0.0
2800.0,0.074548,2.528891008761194E-10,2800.0,76.14285714285714,52.28520305574703,52.01149425287357,51.02639296187683,76.14270823573588,76.1424414703945,76.1429750029465,1.0,2656.0,1.0,0.0
2900.0,0.075765,2.567074654830827E-10,2900.0,76.55172413793103,53.103559801284646,53.00621976503109,51.9774011299435,76.55200721868329,76.55185567270186,76.55215876526475,101.0,3224.0,0.0,0.0
3000.0,0.07698,2.605195550454988E-10,3000.0,76.96666666666667,53.93169534916799,53.90260173448967,52.50859106529211,76.96657284771466,76.96518850209446,76.96795724313522,201.0,3224.0,0.0,0.0
3100.0,0.078174,2.647772762510512E-10,3100.0,77.38709677419355,54.77208510865024,54.715762273901824,53.421926910299014,77.38650427504834,77.38532440411896,77.38768418195654,301.0,3224.0,0.0,0.0
3200.0,0.079458,2.693559312158161E-10,3200.0,77.78125,55.56069465322029,55.367231638418076,54.36456996148908,77.7804829865219,77.7799132478312,77.78105273355936,401.0,3224.0,0.0,0.0
3300.0,0.080668,2.741890814569262E-10,3300.0,78.2121212121212,56.423666208258396,56.37135922330096,55.39702233250621,78.21196263992118,78.21162585344854,78.2122994292943,501.0,3224.0,0.0,0.0
3400.0,0.081884,2.790461977322897E-10,3400.0,78.70588235294119,57.410114163593896,57.18509757539918,56.30657815328908,78.70523588517393,78.7045803090449,78.70589147222441,601.0,3224.0,0.0,0.0
3500.0,0.083089,2.843756083812979E-10,3500.0,79.05714285714286,58.11332830464697,57.873563218390814,57.15955581531269,79.05670685014282,79.05646490343845,79.05694879832811,701.0,3224.0,0.0,0.0
3600.0,0.084396,2.9015613926781553E-10,3600.0,79.41666666666667,58.83315545190627,58.4873949579832,57.993197278911566,79.41669121765776,79.41648693393448,79.41689550243198,801.0,3224.0,0.0,0.0
3700.0,0.08565,2.9623948865466653E-10,3700.0,79.78378378378378,59.56756756756756,59.19258046917621,58.787878787878775,79.78378378378378,79.78378378378378,79.78378378378378,901.0,3224.0,0.0,0.0
3800.0,0.086839,3.0200751291380993E-10,3800.0,79.97368421052632,59.947301851471224,59.65005302226937,59.12996777658432,79.97365507722726,79.97363431981643,79.9736758346489,1001.0,3224.0,0.0,0.0
3900.0,0.088117,3.087547959552871E-10,3900.0,80.28205128205128,60.563521777046546,60.217278841179514,59.674882013633976,80.2817648704784,80.28170514228849,80.28182459875721,1101.0,3224.0,0.0,0.0
4000.0,0.089325,3.1513250950309967E-10,4000.0,80.45,60.898387058466156,60.505050505050505,59.897435897435905,80.44925443345264,80.44885857797199,80.44965029282898,1201.0,3224.0,0.0,0.0
4100.0,0.090637,3.226213695274459E-10,4100.0,80.5609756097561,61.121303626711224,60.68080907745438,60.249376558603494,80.560684538711,80.56049909921614,80.56086997905958,1301.0,3224.0,0.0,0.0
4200.0,0.091857,3.2958509607447516E-10,4200.0,80.71428571428572,61.426682123206035,60.9450337512054,60.42989741084514,80.71346643675606,80.71283960292581,80.71409328032264,1401.0,3224.0,0.0,0.0
4300.0,0.093088,3.3713898104098105E-10,4300.0,80.97674418604652,61.952171411016934,61.342155009451794,61.029061457837074,80.97620633637705,80.97568362755278,80.97672905194966,1501.0,3224.0,0.0,0.0
4400.0,0.094311,3.446437749597761E-10,4400.0,81.11363636363636,62.2255557070776,61.72270842929526,61.25874125874127,81.11303822801138,81.11214143989963,81.11393503595339,1601.0,3224.0,0.0,0.0
4500.0,0.09557,3.5290884474913277E-10,4500.0,81.42222222222222,62.84233058591776,62.42696629213482,61.843906891830215,81.42161223866609,81.42027150994518,81.42295301154266,1701.0,3224.0,0.0,0.0
4600.0,0.096826,3.611542201704449E-10,4600.0,81.43478260869566,62.86811223047859,62.560280578693565,61.90900981266727,81.43463851565686,81.43330739090713,81.43596968392491,1801.0,3224.0,0.0,0.0
4700.0,0.098079,3.6991669692926934E-10,4700.0,81.5531914893617,63.105167069335735,62.821612349914226,62.12319790301441,81.55361494426847,81.55182363772897,81.55540632950272,1901.0,3224.0,0.0,0.0
4800.0,0.099315,3.785679634246561E-10,4800.0,81.60416666666667,63.20706857631564,62.94586655476291,62.31327358087921,81.60399796283504,81.60289233234009,81.60510362329056,2001.0,3224.0,0.0,0.0
4900.0,0.100521,3.8752590823504657E-10,4900.0,81.55102040816327,63.09945885426386,62.78303828736105,62.09643605870021,81.55040233566328,81.54855202268996,81.55225273260464,2101.0,3224.0,0.0,0.0
5000.0,0.10172,3.9643185834089914E-10,5000.0,81.54,63.07851132557665,62.737182075090836,62.23404255319149,81.53946005764936,81.53871065189342,81.5402094771807,2201.0,3224.0,0.0,0.0
5100.0,0.103038,4.0678636067443423E-10,5100.0,81.3921568627451,62.783455212346304,62.25139220365952,62.040000000000006,81.39178795496004,81.39148622047244,81.39208969168483,2301.0,3224.0,0.0,0.0
5200.0,0.104292,4.1663806471559735E-10,5200.0,81.4423076923077,62.88412123830051,62.407479548110636,62.15686274509804,81.44224899985142,81.44180945342312,81.44268855102426,2401.0,3224.0,0.0,0.0
5300.0,0.105498,4.266293305489752E-10,5300.0,81.45283018867924,62.90505819531994,62.46659030164186,62.13405238828968,81.45290757917506,81.45217974773527,81.45363542362234,2501.0,3224.0,0.0,0.0
5400.0,0.106797,4.3739106713069806E-10,5400.0,81.51851851851852,63.03582010930402,62.63571695994011,62.26843100189037,81.51804841599707,81.51749499578594,81.51860184372256,2601.0,3224.0,0.0,0.0
5500.0,0.108053,4.483346454799175E-10,5500.0,81.36363636363636,62.72593209302866,62.39911958914159,62.00889547813194,81.36296812026535,81.36289968956305,81.36303655108274,2701.0,3224.0,0.0,0.0
5600.0,0.109422,4.519102577533986E-10,5600.0,81.26785714285715,62.53407993052759,62.17093400649117,61.79898033503278,81.26704195952946,81.26696817572562,81.26711574346727,1.0,2824.0,1.0,0.0
