learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.002857,1.2996474073992835E-11,100.0,54.0,54.0,-4.545454545454549,54.0,?,?,?,100.0,11792.0,0.0,0.0
200.0,0.008252,3.7772769315375215E-11,200.0,59.0,59.0,8.888888888888873,59.0,?,?,?,200.0,11792.0,0.0,0.0
300.0,0.014207,6.770898484521442E-11,300.0,61.66666666666667,61.66666666666667,10.85271317829459,58.333333333333336,?,?,?,300.0,13472.0,0.0,0.0
400.0,0.019716,9.564255674680074E-11,400.0,64.0,64.0,15.294117647058837,54.43037974683544,?,?,?,400.0,13472.0,0.0,0.0
500.0,0.025607,1.2551307264301513E-10,500.0,66.8,66.8,11.22994652406418,50.887573964497044,?,?,?,500.0,13472.0,0.0,0.0
600.0,0.029044,1.4294049806065032E-10,600.0,68.0,68.0,5.418719211822686,47.10743801652893,?,?,?,600.0,13472.0,0.0,0.0
700.0,0.032409,1.6014909371733669E-10,700.0,69.28571428571428,69.28571428571428,7.32758620689654,44.87179487179487,?,?,?,700.0,13472.0,0.0,0.0
800.0,0.036336,1.8023175497849785E-10,800.0,70.75,70.75,1.6806722689075646,42.78728606356969,?,?,?,800.0,13472.0,0.0,0.0
900.0,0.038762,1.9263830863767203E-10,900.0,71.22222222222221,71.22222222222221,2.9962546816479225,41.4027149321267,?,?,?,900.0,13472.0,0.0,0.0
1000.0,0.040802,2.0307085994217135E-10,1000.0,71.6,71.6,2.0689655172413812,39.83050847457626,?,?,?,1000.0,13472.0,0.0,0.0
1100.0,0.043379,2.1624962695770796E-10,1100.0,71.0,71.0,-2.243589743589738,37.08086785009861,?,?,?,1100.0,13472.0,0.0,0.0
1200.0,0.046142,2.3037959718041952E-10,1200.0,70.83333333333334,70.83333333333334,-4.166666666666644,35.54327808471456,?,?,?,1200.0,13472.0,0.0,0.0
1300.0,0.048054,2.4015755703051886E-10,1300.0,70.84615384615385,70.84615384615385,-5.865921787709509,34.08695652173913,?,?,?,1300.0,13472.0,0.0,0.0
1400.0,0.051384,2.5034361829360325E-10,1400.0,68.42857142857143,68.42857142857143,-13.333333333333334,30.283911671924287,?,?,?,1.0,5696.0,25.0,0.0
1500.0,0.058804,2.727180015709665E-10,1500.0,63.866666666666674,63.866666666666674,-29.665071770334933,26.158038147138967,?,?,?,1.0,5696.0,100.0,0.0
1600.0,0.066139,2.9483607452776696E-10,1600.0,59.875,59.875,-49.30232558139532,23.02158273381295,?,?,?,1.0,5696.0,100.0,0.0
1700.0,0.073247,3.165785740647051E-10,1700.0,56.35294117647058,56.35294117647058,-70.18348623853214,20.556745182012843,?,?,?,1.0,5696.0,100.0,0.0
1800.0,0.080393,3.3718021172616213E-10,1800.0,56.49999999999999,56.49999999999999,-73.61419068736146,19.692307692307683,?,?,?,1.0,5352.0,100.0,0.0
1900.0,0.087511,3.580104870100816E-10,1900.0,57.21052631578948,57.21052631578948,-71.88160676532772,19.104477611940304,?,?,?,1.0,5352.0,100.0,0.0
2000.0,0.094707,3.7906902324822214E-10,2000.0,58.650000000000006,58.650000000000006,-72.65135699373691,18.84200196270854,?,?,?,1.0,5352.0,100.0,0.0
2100.0,0.10206,4.0090658184554844E-10,2100.0,60.04761904761905,60.04761904761905,-67.46506986027944,18.622696411251212,?,?,?,1.0,5352.0,100.0,0.0
2200.0,0.109144,4.2194524159034093E-10,2200.0,60.77272727272728,60.77272727272728,-66.9245647969052,18.199052132701425,?,?,?,1.0,5352.0,100.0,0.0
2300.0,0.119854,4.5470581700404484E-10,2300.0,61.65217391304347,61.65217391304347,-65.16853932584274,17.877094972067017,?,?,?,1.0,5696.0,100.0,0.0
2400.0,0.129712,4.852886746327082E-10,2400.0,62.20833333333333,62.20833333333333,-63.129496402877685,17.470427661510456,?,?,?,1.0,5696.0,100.0,0.0
2500.0,0.136802,5.066532972786161E-10,2500.0,62.96000000000001,62.96000000000001,-59.93091537132984,17.173524150268353,?,?,?,1.0,5352.0,100.0,0.0
2600.0,0.14446,5.297295004129409E-10,2600.0,63.42307692307693,63.42307692307693,-57.711442786069654,16.797900262467202,?,?,?,1.0,5352.0,100.0,0.0
2700.0,0.152185,5.530075977245965E-10,2700.0,63.629629629629626,63.629629629629626,-57.120000000000005,16.35434412265756,?,?,?,1.0,5352.0,100.0,0.0
2800.0,0.159528,5.757880728277894E-10,2800.0,63.642857142857146,63.642857142857146,-55.4198473282443,15.867768595041332,?,?,?,1.0,5696.0,100.0,0.0
2900.0,0.166667,5.970048511193857E-10,2900.0,62.10344827586207,62.10344827586207,-59.50653120464439,14.872192099147957,?,?,?,1.0,5696.0,100.0,0.0
3000.0,0.173843,6.18643473005957E-10,3000.0,60.03333333333334,60.03333333333334,-69.11142454160792,13.80301941049606,?,?,?,1.0,5696.0,100.0,0.0
3100.0,0.181147,6.422855229013495E-10,3100.0,58.096774193548384,58.096774193548384,-80.91922005571035,12.877263581488926,?,?,?,1.0,6552.0,100.0,0.0
3200.0,0.188458,6.63045100453827E-10,3200.0,57.15625,57.15625,-87.29508196721312,12.284069097888665,?,?,?,1.0,5352.0,100.0,0.0
3300.0,0.195491,6.833209635482894E-10,3300.0,58.21212121212122,58.21212121212122,-84.35828877005345,12.221514958625088,?,?,?,1.0,5352.0,100.0,0.0
3400.0,0.202456,7.043233327567577E-10,3400.0,58.85294117647059,58.85294117647059,-82.39895697522817,12.067881835323682,?,?,?,1.0,5696.0,100.0,0.0
3500.0,0.209409,7.255917063189877E-10,3500.0,59.65714285714285,59.65714285714285,-79.41550190597205,11.970074812967574,?,?,?,1.0,5696.0,100.0,0.0
3600.0,0.216353,7.462145822743575E-10,3600.0,60.52777777777778,60.52777777777778,-76.74129353233826,11.903285802851832,?,?,?,1.0,5352.0,100.0,0.0
3700.0,0.223897,7.686193887558249E-10,3700.0,60.945945945945944,60.945945945945944,-75.7907542579076,11.728772144166163,?,?,?,1.0,5352.0,100.0,0.0
3800.0,0.231025,7.900985185470847E-10,3800.0,61.631578947368425,61.631578947368425,-74.40191387559808,11.636363636363651,?,?,?,1.0,5352.0,100.0,0.0
3900.0,0.238087,8.113787675069439E-10,3900.0,62.205128205128204,62.205128205128204,-70.60185185185183,11.524609843937565,?,?,?,1.0,5352.0,100.0,0.0
4000.0,0.245059,8.323878153330751E-10,4000.0,62.824999999999996,62.824999999999996,-69.74885844748862,11.435378201310288,?,?,?,1.0,5352.0,100.0,0.0
4100.0,0.252021,8.533667296999031E-10,4100.0,63.170731707317074,63.170731707317074,-68.15144766146996,11.280846063454767,?,?,?,1.0,5352.0,100.0,0.0
4200.0,0.259018,8.744511111742921E-10,4200.0,63.357142857142854,63.357142857142854,-66.1987041036717,11.091854419410744,?,?,?,1.0,5352.0,100.0,0.0
4300.0,0.266212,8.95831346925762E-10,4300.0,61.9767441860465,61.9767441860465,-73.01587301587301,10.509031198686351,?,?,?,1.0,5696.0,100.0,0.0
4400.0,0.273367,9.174066450860765E-10,4400.0,60.56818181818182,60.56818181818182,-80.16614745586706,9.963674104826167,?,?,?,1.0,5696.0,100.0,0.0
4500.0,0.280422,9.386804016927877E-10,4500.0,59.22222222222222,59.22222222222222,-89.76215098241984,9.47212629501726,?,?,?,1.0,5696.0,100.0,0.0
4600.0,0.287883,9.601901719967523E-10,4600.0,59.19565217391304,59.19565217391304,-90.7520325203252,9.279845335911045,?,?,?,1.0,5352.0,100.0,0.0
4700.0,0.295876,9.83581066959434E-10,4700.0,59.829787234042556,59.829787234042556,-87.67395626242546,9.230769230769225,?,?,?,1.0,5352.0,100.0,0.0
4800.0,0.303698,1.0071676472822824E-9,4800.0,60.60416666666667,60.60416666666667,-87.04253214638975,9.217474795967364,?,?,?,1.0,5696.0,100.0,0.0
4900.0,0.311451,1.0301931595636738E-9,4900.0,61.142857142857146,61.142857142857146,-83.78378378378379,9.160305343511457,?,?,?,1.0,5352.0,100.0,0.0
5000.0,0.319082,1.0528563459714252E-9,5000.0,61.9,61.9,-83.52601156069363,9.155937052932758,?,?,?,1.0,5352.0,100.0,0.0
5100.0,0.331229,1.0889315294722715E-9,5100.0,62.372549019607845,62.372549019607845,-80.35714285714283,9.095215537659893,?,?,?,1.0,5352.0,100.0,0.0
