learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.001516,7.313564419746399E-12,100.0,54.0,54.0,-4.545454545454549,54.0,?,?,?,100.0,11792.0,0.0,0.0
200.0,0.006114,2.9495470225811005E-11,200.0,59.0,59.0,8.888888888888873,59.0,?,?,?,200.0,11792.0,0.0,0.0
300.0,0.011527,5.796172345678011E-11,300.0,61.66666666666667,61.66666666666667,10.85271317829459,58.333333333333336,?,?,?,300.0,13472.0,0.0,0.0
400.0,0.015799,8.042760814229647E-11,400.0,64.0,64.0,15.294117647058837,54.43037974683544,?,?,?,400.0,13472.0,0.0,0.0
500.0,0.020283,1.0400837287306785E-10,500.0,66.8,66.8,11.22994652406418,50.887573964497044,?,?,?,500.0,13472.0,0.0,0.0
600.0,0.026308,1.3569305340449015E-10,600.0,68.0,68.0,5.418719211822686,47.10743801652893,?,?,?,600.0,13472.0,0.0,0.0
700.0,0.030387,1.571439765393734E-10,700.0,69.28571428571428,69.28571428571428,7.32758620689654,44.87179487179487,?,?,?,700.0,13472.0,0.0,0.0
800.0,0.036226,1.8785050759712854E-10,800.0,70.75,70.75,1.6806722689075646,42.78728606356969,?,?,?,800.0,13472.0,0.0,0.0
900.0,0.042019,2.183151307205359E-10,900.0,71.22222222222221,71.22222222222221,2.9962546816479225,41.4027149321267,?,?,?,900.0,13472.0,0.0,0.0
1000.0,0.04671,2.4298448115587233E-10,1000.0,71.6,71.6,2.0689655172413812,39.83050847457626,?,?,?,1000.0,13472.0,0.0,0.0
1100.0,0.051196,2.665757636229197E-10,1100.0,71.0,71.0,-2.243589743589738,37.08086785009861,?,?,?,1100.0,13472.0,0.0,0.0
1200.0,0.055035,2.8676455840468406E-10,1200.0,70.83333333333334,70.83333333333334,-4.166666666666644,35.54327808471456,?,?,?,1200.0,13472.0,0.0,0.0
1300.0,0.057664,3.00590122739474E-10,1300.0,70.84615384615385,70.84615384615385,-5.865921787709509,34.08695652173913,?,?,?,1300.0,13472.0,0.0,0.0
1400.0,0.060991,3.180863770345847E-10,1400.0,69.28571428571428,69.28571428571428,-10.256410256410259,32.17665615141955,?,?,?,1400.0,13472.0,0.0,0.0
1500.0,0.065225,3.403524247308572E-10,1500.0,70.19999999999999,70.19999999999999,-6.937799043062235,39.10081743869208,?,?,?,1500.0,13472.0,0.0,0.0
1600.0,0.067811,3.5395185773571334E-10,1600.0,71.0625,71.0625,-7.674418604651163,44.48441247002397,?,?,?,1600.0,13472.0,0.0,0.0
1700.0,0.069897,3.6492185667157176E-10,1700.0,72.11764705882354,72.11764705882354,-8.715596330275224,49.25053533190579,?,?,?,1700.0,13472.0,0.0,0.0
1800.0,0.071992,3.7593918542067215E-10,1800.0,70.38888888888889,70.38888888888889,-18.18181818181819,45.33333333333333,?,?,?,1800.0,13472.0,0.0,0.0
1900.0,0.073919,3.837160393595696E-10,1900.0,70.0,70.0,-20.50739957716706,43.28358208955223,?,?,?,82.0,8744.0,1.0,0.0
2000.0,0.076559,3.943703696131707E-10,2000.0,69.89999999999999,69.89999999999999,-25.678496868475985,40.92247301275759,?,?,?,182.0,8744.0,0.0,0.0
2100.0,0.078995,4.042014107108117E-10,2100.0,70.28571428571428,70.28571428571428,-24.550898203592833,39.47623666343355,?,?,?,282.0,8744.0,0.0,0.0
2200.0,0.081683,4.150494560599328E-10,2200.0,70.5909090909091,70.5909090909091,-25.145067698259187,38.67298578199052,?,?,?,382.0,8744.0,0.0,0.0
2300.0,0.084349,4.258087153236072E-10,2300.0,71.1304347826087,71.1304347826087,-24.34456928838952,38.17504655493482,?,?,?,482.0,8744.0,0.0,0.0
2400.0,0.087,4.370835237205029E-10,2400.0,71.41666666666666,71.41666666666666,-23.381294964028786,37.57961783439489,?,?,?,582.0,9584.0,0.0,0.0
2500.0,0.089883,4.493450373411179E-10,2500.0,71.88,71.88,-21.416234887737463,37.11985688729875,?,?,?,682.0,9584.0,0.0,0.0
2600.0,0.092822,4.6184472118814793E-10,2600.0,72.11538461538461,72.11538461538461,-20.23217247097846,36.57042869641295,?,?,?,782.0,9584.0,0.0,0.0
