learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.003173,1.5294214503632654E-11,100.0,54.0,54.0,-4.545454545454549,54.0,?,?,?,100.0,11792.0,0.0,0.0
200.0,0.008253,3.978038206696511E-11,200.0,59.0,59.0,8.888888888888873,59.0,?,?,?,200.0,11792.0,0.0,0.0
300.0,0.01315,6.551278962029352E-11,300.0,61.66666666666667,61.66666666666667,10.85271317829459,58.333333333333336,?,?,?,300.0,13472.0,0.0,0.0
400.0,0.018192,9.200713286797205E-11,400.0,64.0,64.0,15.294117647058837,54.43037974683544,?,?,?,400.0,13472.0,0.0,0.0
500.0,0.022356,1.1388782411813736E-10,500.0,66.8,66.8,11.22994652406418,50.887573964497044,?,?,?,500.0,13472.0,0.0,0.0
600.0,0.028237,1.5782640212112001E-10,600.0,68.0,68.0,5.418719211822686,47.10743801652893,?,?,?,600.0,13472.0,0.0,1.0
700.0,0.033164,1.9463738219605552E-10,700.0,69.28571428571428,69.28571428571428,7.32758620689654,44.87179487179487,?,?,?,700.0,13472.0,0.0,0.0
800.0,0.041197,2.546541475587421E-10,800.0,70.75,70.75,1.6806722689075646,42.78728606356969,?,?,?,800.0,13472.0,0.0,0.0
900.0,0.04676,2.9621685958570903E-10,900.0,71.22222222222221,71.22222222222221,2.9962546816479225,41.4027149321267,?,?,?,900.0,13472.0,0.0,0.0
1000.0,0.050679,3.2549679279327393E-10,1000.0,71.6,71.6,2.0689655172413812,39.83050847457626,?,?,?,1000.0,13472.0,0.0,0.0
1100.0,0.055609,3.6233018669817184E-10,1100.0,71.0,71.0,-2.243589743589738,37.08086785009861,?,?,?,1100.0,13472.0,0.0,0.0
1200.0,0.059721,3.9305207629998526E-10,1200.0,70.83333333333334,70.83333333333334,-4.166666666666644,35.54327808471456,?,?,?,1200.0,13472.0,0.0,0.0
1300.0,0.06374,4.230791371729639E-10,1300.0,70.84615384615385,70.84615384615385,-5.865921787709509,34.08695652173913,?,?,?,1300.0,13472.0,0.0,0.0
1400.0,0.068546,4.583495151665476E-10,1400.0,69.28571428571428,69.28571428571428,-10.256410256410259,32.17665615141955,?,?,?,1400.0,13472.0,0.0,1.0
1500.0,0.073004,4.887317286597358E-10,1500.0,70.19999999999999,70.19999999999999,-6.937799043062235,39.10081743869208,?,?,?,1500.0,13472.0,0.0,2.0
