learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.004058,2.541374001238081E-11,100.0,54.0,54.0,-4.545454545454549,54.0,?,?,?,100.0,11792.0,0.0,1.0
200.0,0.008241,5.2891568177276184E-11,200.0,59.0,59.0,8.888888888888873,59.0,?,?,?,200.0,11792.0,0.0,1.0
300.0,0.014454,9.640459799104267E-11,300.0,61.66666666666667,61.66666666666667,10.85271317829459,58.333333333333336,?,?,?,300.0,13472.0,0.0,0.0
400.0,0.020035,1.3549138688378864E-10,400.0,64.0,64.0,15.294117647058837,54.43037974683544,?,?,?,400.0,13472.0,0.0,0.0
500.0,0.026458,1.804751613073879E-10,500.0,66.8,66.8,11.22994652406418,50.887573964497044,?,?,?,500.0,13472.0,0.0,0.0
600.0,0.033174,2.2840054084857306E-10,600.0,68.0,68.0,5.418719211822686,47.10743801652893,?,?,?,600.0,13472.0,0.0,1.0
700.0,0.038396,2.65664735602008E-10,700.0,69.28571428571428,69.28571428571428,7.32758620689654,44.87179487179487,?,?,?,700.0,13472.0,0.0,0.0
800.0,0.043559,3.0250790632433363E-10,800.0,70.75,70.75,1.6806722689075646,42.78728606356969,?,?,?,800.0,13472.0,0.0,0.0
900.0,0.047271,3.289967402815819E-10,900.0,71.22222222222221,71.22222222222221,2.9962546816479225,41.4027149321267,?,?,?,900.0,13472.0,0.0,0.0
1000.0,0.051069,3.560992702841759E-10,1000.0,71.6,71.6,2.0689655172413812,39.83050847457626,?,?,?,1000.0,13472.0,0.0,0.0
1100.0,0.054896,3.834087443020609E-10,1100.0,71.0,71.0,-2.243589743589738,37.08086785009861,?,?,?,1100.0,13472.0,0.0,0.0
1200.0,0.060373,4.2249261918995117E-10,1200.0,70.83333333333334,70.83333333333334,-4.166666666666644,35.54327808471456,?,?,?,1200.0,13472.0,0.0,0.0
1300.0,0.06411,4.4915985316038134E-10,1300.0,70.84615384615385,70.84615384615385,-5.865921787709509,34.08695652173913,?,?,?,1300.0,13472.0,0.0,0.0
1400.0,0.066432,4.6542208641767504E-10,1400.0,69.28571428571428,69.28571428571428,-10.256410256410259,32.17665615141955,?,?,?,1400.0,13472.0,0.0,1.0
1500.0,0.069567,4.772760532796383E-10,1500.0,68.26666666666667,68.26666666666667,-13.87559808612443,35.149863760217976,?,?,?,189.0,9072.0,1.0,0.0
1600.0,0.071662,4.881893222530683E-10,1600.0,67.875,67.875,-19.534883720930228,38.36930455635491,?,?,?,289.0,9072.0,0.0,1.0
1700.0,0.07382,4.994307706753413E-10,1700.0,68.11764705882352,68.11764705882352,-24.311926605504595,41.97002141327623,?,?,?,389.0,9072.0,0.0,1.0
1800.0,0.076742,5.085623264312744E-10,1800.0,68.11111111111111,68.11111111111111,-27.272727272727288,41.128205128205124,?,?,?,50.0,6536.0,1.0,1.0
1900.0,0.079286,5.157333612442017E-10,1900.0,68.36842105263158,68.36842105263158,-27.061310782241044,40.199004975124375,?,?,?,2.0,5352.0,1.0,0.0
2000.0,0.081484,5.226023412413067E-10,2000.0,68.75,68.75,-30.48016701461375,38.66535819430814,?,?,?,102.0,6536.0,0.0,0.0
2100.0,0.083991,5.304369785719448E-10,2100.0,69.23809523809524,69.23809523809524,-28.94211576846307,37.3423860329777,?,?,?,75.0,6536.0,1.0,0.0
2200.0,0.085624,5.35540274447865E-10,2200.0,69.77272727272728,69.77272727272728,-28.626692456479685,36.96682464454976,?,?,?,27.0,6536.0,1.0,0.0
2300.0,0.087015,5.39887295001083E-10,2300.0,69.73913043478261,69.73913043478261,-30.337078651685434,35.19553072625696,?,?,?,13.0,6536.0,1.0,0.0
2400.0,0.088872,5.465053849750096E-10,2400.0,69.875,69.875,-30.03597122302158,34.21292083712465,?,?,?,113.0,8232.0,0.0,0.0
2500.0,0.090886,5.527993457184898E-10,2500.0,70.19999999999999,70.19999999999999,-28.670120898100176,33.363148479427544,?,?,?,92.0,6536.0,1.0,0.0
2600.0,0.092262,5.570994897021188E-10,2600.0,69.96153846153847,69.96153846153847,-29.51907131011609,31.67104111986003,?,?,?,80.0,6536.0,1.0,0.0
2700.0,0.094703,5.647278701265654E-10,2700.0,69.96296296296296,69.96296296296296,-29.759999999999998,30.919931856899474,?,?,?,78.0,6536.0,1.0,0.0
2800.0,0.097258,5.791583926313453E-10,2800.0,70.0,70.0,-28.244274809160352,30.578512396694208,?,?,?,178.0,8232.0,0.0,2.0
2900.0,0.100666,5.902601550850604E-10,2900.0,69.72413793103448,69.72413793103448,-27.43105950653121,31.990704879938026,?,?,?,10.0,7048.0,2.0,0.0
3000.0,0.102992,5.978372382620971E-10,3000.0,70.16666666666667,70.16666666666667,-26.234132581100173,35.65780014378145,?,?,?,110.0,7048.0,0.0,0.0
