learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.003803,1.8771644681692124E-11,100.0,54.0,54.0,-4.545454545454549,54.0,?,?,?,100.0,11792.0,0.0,0.0
200.0,0.007485,3.694603219628334E-11,200.0,59.0,59.0,8.888888888888873,59.0,?,?,?,200.0,11792.0,0.0,0.0
300.0,0.011998,6.118367115656534E-11,300.0,61.66666666666667,61.66666666666667,10.85271317829459,58.333333333333336,?,?,?,300.0,13472.0,0.0,0.0
400.0,0.017127,8.872961625456809E-11,400.0,64.0,64.0,15.294117647058837,54.43037974683544,?,?,?,400.0,13472.0,0.0,0.0
500.0,0.023191,1.212970974544684E-10,500.0,66.8,66.8,11.22994652406418,50.887573964497044,?,?,?,500.0,13472.0,0.0,0.0
600.0,0.029287,1.5403643871347108E-10,600.0,68.0,68.0,5.418719211822686,47.10743801652893,?,?,?,600.0,13472.0,0.0,0.0
700.0,0.034306,1.809916148583094E-10,700.0,69.28571428571428,69.28571428571428,7.32758620689654,44.87179487179487,?,?,?,700.0,13472.0,0.0,0.0
800.0,0.038064,2.0117443054914474E-10,800.0,70.75,70.75,1.6806722689075646,42.78728606356969,?,?,?,800.0,13472.0,0.0,0.0
900.0,0.042673,2.2592764968673387E-10,900.0,71.22222222222221,71.22222222222221,2.9962546816479225,41.4027149321267,?,?,?,900.0,13472.0,0.0,0.0
1000.0,0.046359,2.457237802445888E-10,1000.0,71.6,71.6,2.0689655172413812,39.83050847457626,?,?,?,1000.0,13472.0,0.0,0.0
1100.0,0.049544,2.628292267521222E-10,1100.0,71.0,71.0,-2.243589743589738,37.08086785009861,?,?,?,1100.0,13472.0,0.0,0.0
1200.0,0.053036,2.8158345570166904E-10,1200.0,70.83333333333334,70.83333333333334,-4.166666666666644,35.54327808471456,?,?,?,1200.0,13472.0,0.0,0.0
1300.0,0.057899,3.077008140583833E-10,1300.0,70.84615384615385,70.84615384615385,-5.865921787709509,34.08695652173913,?,?,?,1300.0,13472.0,0.0,0.0
1400.0,0.061744,3.2835087428490317E-10,1400.0,69.28571428571428,69.28571428571428,-10.256410256410259,32.17665615141955,?,?,?,1400.0,13472.0,0.0,0.0
1500.0,0.065466,3.483403474092483E-10,1500.0,70.19999999999999,70.19999999999999,-6.937799043062235,39.10081743869208,?,?,?,1500.0,13472.0,0.0,0.0
1600.0,0.069107,3.678947997589906E-10,1600.0,71.0625,71.0625,-7.674418604651163,44.48441247002397,?,?,?,1600.0,13472.0,0.0,0.0
1700.0,0.072629,3.8681014751394587E-10,1700.0,72.11764705882354,72.11764705882354,-8.715596330275224,49.25053533190579,?,?,?,1700.0,13472.0,0.0,0.0
1800.0,0.076294,4.064934949080149E-10,1800.0,70.38888888888889,70.38888888888889,-18.18181818181819,45.33333333333333,?,?,?,1800.0,13472.0,0.0,0.0
1900.0,0.080041,4.266172337035338E-10,1900.0,68.10526315789474,68.10526315789474,-28.118393234672332,39.70149253731343,?,?,?,1900.0,13472.0,0.0,0.0
2000.0,0.083851,4.470793219904105E-10,2000.0,65.5,65.5,-44.05010438413357,32.286555446516196,?,?,?,2000.0,13472.0,0.0,0.0
2100.0,0.087653,4.674984452625115E-10,2100.0,65.85714285714286,65.85714285714286,-43.11377245508983,30.45586808923375,?,?,?,2100.0,13472.0,0.0,0.0
2200.0,0.091312,4.871495688954989E-10,2200.0,66.54545454545455,66.54545454545455,-42.359767891682814,30.236966824644533,?,?,?,2200.0,13472.0,0.0,0.0
2300.0,0.095044,5.071927482883135E-10,2300.0,67.21739130434783,67.21739130434783,-41.19850187265918,29.795158286778396,?,?,?,2300.0,13472.0,0.0,0.0
2400.0,0.098743,5.270586969951789E-10,2400.0,67.66666666666666,67.66666666666666,-39.568345323741006,29.390354868061863,?,?,?,2400.0,13472.0,0.0,0.0
2500.0,0.102445,5.469407575825851E-10,2500.0,68.32000000000001,68.32000000000001,-36.787564766839346,29.159212880143127,?,?,?,2500.0,13472.0,0.0,0.0
2600.0,0.106681,5.696907329062621E-10,2600.0,68.61538461538461,68.61538461538461,-35.323383084577145,28.608923884514432,?,?,?,2600.0,13472.0,0.0,0.0
2700.0,0.110093,5.88015311708053E-10,2700.0,68.77777777777779,68.77777777777779,-34.87999999999997,28.19420783645656,?,?,?,2700.0,13472.0,0.0,0.0
2800.0,0.1133,6.052389120062192E-10,2800.0,68.35714285714286,68.35714285714286,-35.2671755725191,26.776859504132243,?,?,?,2800.0,13472.0,0.0,0.0
2900.0,0.117227,6.26329363634189E-10,2900.0,67.65517241379311,67.65517241379311,-36.13933236574743,27.34314484895431,?,?,?,2900.0,13472.0,0.0,0.0
3000.0,0.121042,6.468183050553004E-10,3000.0,68.36666666666666,68.36666666666666,-33.85049365303247,31.775700934579437,?,?,?,3000.0,13472.0,0.0,0.0
3100.0,0.124828,6.671514982978503E-10,3100.0,69.03225806451613,69.03225806451613,-33.704735376044596,35.61368209255533,?,?,?,3100.0,13472.0,0.0,0.0
3200.0,0.128232,6.854331120848655E-10,3200.0,68.78125,68.78125,-36.475409836065545,36.084452975047995,?,?,?,3200.0,13472.0,0.0,0.0
3300.0,0.131836,7.047888512412706E-10,3300.0,66.87878787878788,66.87878787878788,-46.12299465240639,30.426479949077027,?,?,?,3300.0,13472.0,0.0,0.0
3400.0,0.135263,7.170447582999864E-10,3400.0,65.88235294117646,65.88235294117646,-51.23859191655802,27.08988057825266,?,?,?,33.0,6536.0,1.0,0.0
3500.0,0.137855,7.277950520316758E-10,3500.0,65.85714285714286,65.85714285714286,-51.842439644218544,25.498753117206984,?,?,?,133.0,8744.0,0.0,0.0
3600.0,0.140849,7.402126366893449E-10,3600.0,66.52777777777777,66.52777777777777,-49.875621890547244,25.294482331060124,?,?,?,233.0,8744.0,0.0,0.0
3700.0,0.144016,7.533477370937664E-10,3700.0,66.64864864864865,66.64864864864865,-50.1216545012166,24.618204031765423,?,?,?,333.0,8744.0,0.0,0.0
3800.0,0.146743,7.646579419573147E-10,3800.0,67.26315789473685,67.26315789473685,-48.80382775119617,24.60606060606062,?,?,?,433.0,8744.0,0.0,0.0
3900.0,0.149497,7.760801290472348E-10,3900.0,67.64102564102565,67.64102564102565,-46.06481481481479,24.249699879951983,?,?,?,533.0,8744.0,0.0,0.0
4000.0,0.15229,7.87664068241914E-10,4000.0,68.125,68.125,-45.547945205479465,24.061941631923762,?,?,?,633.0,8744.0,0.0,0.0
4100.0,0.155139,7.994802668690681E-10,4100.0,68.3658536585366,68.3658536585366,-44.43207126948774,23.7955346650999,?,?,?,733.0,8744.0,0.0,0.0
4200.0,0.158227,8.122877155741056E-10,4200.0,68.16666666666666,68.16666666666666,-44.38444924406048,22.761409589832464,?,?,?,833.0,8744.0,0.0,0.0
4300.0,0.161102,8.248365111649037E-10,4300.0,67.67441860465117,67.67441860465117,-47.08994708994705,23.918992884510125,?,?,?,933.0,9584.0,0.0,0.0
4400.0,0.163923,8.37149607638518E-10,4400.0,67.93181818181819,67.93181818181819,-46.521287642782966,26.777374156720295,?,?,?,1033.0,9584.0,0.0,0.0
4500.0,0.166732,8.49410326530536E-10,4500.0,68.31111111111112,68.31111111111112,-47.46639089968975,29.649728663048837,?,?,?,1133.0,9584.0,0.0,0.0
4600.0,0.169661,8.621948212385177E-10,4600.0,67.71739130434783,67.71739130434783,-50.91463414634143,28.226196230062833,?,?,?,1233.0,9584.0,0.0,0.0
4700.0,0.172638,8.728414028882981E-10,4700.0,67.97872340425532,67.97872340425532,-49.60238568588472,27.644230769230756,?,?,?,85.0,6536.0,1.0,0.0
4800.0,0.175251,8.836787939071656E-10,4800.0,68.52083333333333,68.52083333333333,-49.45598417408511,27.46039366298607,?,?,?,185.0,8744.0,0.0,0.0
4900.0,0.177853,8.944705625375113E-10,4900.0,68.6938775510204,68.6938775510204,-48.069498069498074,26.81297709923665,?,?,?,285.0,8744.0,0.0,0.0
5000.0,0.180415,9.050964315732321E-10,5000.0,69.3,69.3,-47.88053949903663,26.80019074868859,?,?,?,385.0,8744.0,0.0,0.0
5100.0,0.182948,9.156020234028499E-10,5100.0,69.58823529411765,69.58823529411765,-45.770676691729314,26.527711984841318,?,?,?,485.0,8744.0,0.0,0.0
5200.0,0.185876,9.277458737293881E-10,5200.0,69.76923076923077,69.76923076923077,-44.48529411764705,25.988700564971758,?,?,?,585.0,8744.0,0.0,0.0
5300.0,0.188918,9.40362537900607E-10,5300.0,70.0,70.0,-43.50180505415163,25.49203373945641,?,?,?,685.0,8744.0,0.0,0.0
5400.0,0.191623,9.515814979871116E-10,5400.0,70.27777777777777,70.27777777777777,-41.53439153439159,25.314099581200544,?,?,?,785.0,8744.0,0.0,0.0
5500.0,0.194754,9.66206712441312E-10,5500.0,70.2909090909091,70.2909090909091,-38.94557823129252,25.52415679124886,?,?,?,885.0,10768.0,0.0,0.0
5600.0,0.19774,9.768854805992711E-10,5600.0,70.0,70.0,-39.534883720930274,24.494382022471907,?,?,?,73.0,6536.0,1.0,0.0
5700.0,0.200137,9.854578206108677E-10,5700.0,69.94736842105263,69.94736842105263,-40.29484029484024,23.934280639431623,?,?,?,173.0,6536.0,0.0,0.0
5800.0,0.20296,9.975401043064066E-10,5800.0,69.94827586206897,69.94827586206897,-39.10614525139665,23.55263157894737,?,?,?,273.0,9256.0,0.0,0.0
5900.0,0.205688,1.0092157932619256E-9,5900.0,70.10169491525424,70.10169491525424,-39.88897700237903,23.40425531914895,?,?,?,373.0,9256.0,0.0,0.0
6000.0,0.20839,1.020780203657018E-9,6000.0,70.19999999999999,70.19999999999999,-38.60465116279074,23.491655969191253,?,?,?,473.0,9256.0,0.0,0.0
6100.0,0.211189,1.032759768681394E-9,6100.0,70.45901639344262,70.45901639344262,-37.03422053231942,23.644067796610152,?,?,?,573.0,9256.0,0.0,0.0
6200.0,0.214064,1.0456893717249237E-9,6200.0,70.53225806451613,70.53225806451613,-37.05926481620407,23.62040133779265,?,?,?,673.0,10096.0,0.0,0.0
6300.0,0.217182,1.0597118073039587E-9,6300.0,70.47619047619048,70.47619047619048,-36.36363636363632,23.42527789213669,?,?,?,773.0,10096.0,0.0,0.0
6400.0,0.220299,1.074407096538279E-9,6400.0,70.328125,70.328125,-36.03151862464184,23.918269230769226,?,?,?,873.0,10936.0,0.0,0.0
6500.0,0.223238,1.0882631937662762E-9,6500.0,70.18461538461538,70.18461538461538,-36.76781933662667,25.346687211093993,?,?,?,973.0,10936.0,0.0,0.0
6600.0,0.226392,1.1031329217884278E-9,6600.0,69.84848484848484,69.84848484848484,-39.45339873861249,26.186943620178038,?,?,?,1073.0,10936.0,0.0,0.0
6700.0,0.229599,1.118252521587743E-9,6700.0,69.26865671641791,69.26865671641791,-42.78779472954232,24.881430134987237,?,?,?,1173.0,10936.0,0.0,0.0
6800.0,0.232574,1.1288919506801503E-9,6800.0,69.33823529411765,69.33823529411765,-42.418032786885234,24.64763281532344,?,?,?,90.0,6536.0,1.0,0.0
6900.0,0.235144,1.1380829869045156E-9,6900.0,69.5072463768116,69.5072463768116,-42.64406779661021,24.31654676258992,?,?,?,190.0,6536.0,0.0,0.0
7000.0,0.237598,1.146859174801244E-9,7000.0,69.54285714285714,69.54285714285714,-41.84963406520292,23.857142857142854,?,?,?,290.0,6536.0,0.0,0.0
