learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.003129,2.1758675575256348E-11,100.0,54.0,54.0,-4.545454545454549,54.0,?,?,?,100.0,11792.0,0.0,0.0
200.0,0.007214,5.016525586446127E-11,200.0,59.0,59.0,8.888888888888873,59.0,?,?,?,200.0,11792.0,0.0,0.0
300.0,0.011402,8.110826214154562E-11,300.0,61.66666666666667,61.66666666666667,10.85271317829459,58.333333333333336,?,?,?,300.0,13472.0,0.0,0.0
400.0,0.016462,1.2681943674882254E-10,400.0,64.0,64.0,15.294117647058837,54.43037974683544,?,?,?,400.0,13472.0,0.0,1.0
500.0,0.022664,1.863898957769076E-10,500.0,66.8,66.8,11.22994652406418,50.887573964497044,?,?,?,500.0,13472.0,0.0,1.0
600.0,0.028916,2.2685069590806961E-10,600.0,66.66666666666666,66.66666666666666,1.477832512315272,44.903581267217625,?,?,?,89.0,9928.0,1.0,1.0
700.0,0.034142,2.5608569383621214E-10,700.0,66.85714285714286,66.85714285714286,0.0,40.51282051282052,?,?,?,50.0,6536.0,1.0,1.0
800.0,0.038054,2.7968640128771464E-10,800.0,67.875,67.875,-7.983193277310942,37.16381418092909,?,?,?,150.0,8232.0,0.0,0.0
900.0,0.044035,3.1735360415445435E-10,900.0,67.44444444444444,67.44444444444444,-9.737827715355833,33.710407239819,?,?,?,85.0,9256.0,1.0,2.0
1000.0,0.047951,3.420158289372921E-10,1000.0,66.7,66.7,-14.827586206896527,29.449152542372886,?,?,?,36.0,9256.0,1.0,1.0
1100.0,0.051628,3.65971920804845E-10,1100.0,66.27272727272727,66.27272727272727,-18.910256410256395,26.824457593688365,?,?,?,136.0,10096.0,0.0,0.0
1200.0,0.054504,3.894413904183441E-10,1200.0,67.0,67.0,-17.857142857142833,27.0718232044199,?,?,?,236.0,10096.0,0.0,1.0
1300.0,0.057992,4.1791949628127947E-10,1300.0,67.3076923076923,67.3076923076923,-18.715083798882684,26.08695652173914,?,?,?,336.0,10096.0,0.0,1.0
1400.0,0.062068,4.42509599443939E-10,1400.0,67.14285714285714,67.14285714285714,-17.948717948717963,27.444794952681374,?,?,?,53.0,8232.0,1.0,1.0
1500.0,0.064774,4.594226657516426E-10,1500.0,67.53333333333333,67.53333333333333,-16.50717703349284,33.65122615803814,?,?,?,153.0,9072.0,0.0,0.0
1600.0,0.067589,4.810369035436047E-10,1600.0,68.4375,68.4375,-17.441860465116278,39.448441247002386,?,?,?,253.0,9072.0,0.0,3.0
1700.0,0.070687,5.048240824706024E-10,1700.0,69.41176470588235,69.41176470588235,-19.266055045871568,44.3254817987152,?,?,?,353.0,9072.0,0.0,1.0
1800.0,0.073969,5.231840639478629E-10,1800.0,70.05555555555556,70.05555555555556,-19.512195121951216,44.71794871794872,?,?,?,58.0,6536.0,1.0,1.0
1900.0,0.076755,5.397553224530484E-10,1900.0,70.26315789473684,70.26315789473684,-19.450317124735765,43.78109452736317,?,?,?,8.0,7904.0,1.0,1.0
2000.0,0.079268,5.552488606837059E-10,2000.0,70.55,70.55,-22.964509394571994,42.198233562316,?,?,?,108.0,8744.0,0.0,0.0
2100.0,0.081921,5.700901254183715E-10,2100.0,70.76190476190476,70.76190476190476,-22.554890219560903,40.44616876818622,?,?,?,74.0,6536.0,1.0,1.0
2200.0,0.084536,5.847188126709725E-10,2200.0,71.0909090909091,71.0909090909091,-23.017408123791096,39.71563981042654,?,?,?,26.0,6536.0,1.0,1.0
2300.0,0.086949,5.982174827820723E-10,2300.0,70.86956521739131,70.86956521739131,-25.468164794007496,37.61638733705772,?,?,?,126.0,6536.0,0.0,0.0
2400.0,0.08903,6.141958944499491E-10,2400.0,70.70833333333333,70.70833333333333,-26.438848920863318,36.03275705186532,?,?,?,226.0,8232.0,0.0,1.0
2500.0,0.092161,6.382364552054139E-10,2500.0,71.16,71.16,-24.5250431778929,35.5098389982111,?,?,?,326.0,8232.0,0.0,0.0
2600.0,0.095157,6.612404539353316E-10,2600.0,71.23076923076923,71.23076923076923,-24.0464344941957,34.55818022747157,?,?,?,426.0,8232.0,0.0,0.0
2700.0,0.098261,6.85073702285687E-10,2700.0,71.33333333333334,71.33333333333334,-23.839999999999968,34.07155025553663,?,?,?,526.0,8232.0,0.0,0.0
2800.0,0.101352,7.088071335521008E-10,2800.0,71.25,71.25,-22.900763358778644,33.4710743801653,?,?,?,626.0,8232.0,0.0,0.0
2900.0,0.104553,7.278335818813905E-10,2900.0,71.03448275862068,71.03448275862068,-21.91582002902758,34.93415956622773,?,?,?,88.0,7888.0,1.0,3.0
3000.0,0.107365,7.485634647309779E-10,3000.0,71.39999999999999,71.39999999999999,-21.015514809591014,38.31775700934579,?,?,?,188.0,7888.0,0.0,1.0
3100.0,0.110803,7.749612443149089E-10,3100.0,72.09677419354838,72.09677419354838,-20.473537604456855,41.985244802146205,?,?,?,288.0,9072.0,0.0,0.0
3200.0,0.114135,7.955042086541652E-10,3200.0,72.46875,72.46875,-20.35519125683058,43.634037108125405,?,?,?,25.0,8744.0,1.0,1.0
3300.0,0.116807,8.119780384004116E-10,3300.0,73.0,73.0,-19.11764705882353,43.28453214513049,?,?,?,125.0,8744.0,0.0,0.0
3400.0,0.119542,8.28840285539627E-10,3400.0,73.26470588235294,73.26470588235294,-18.51368970013037,42.86612193588938,?,?,?,73.0,8744.0,1.0,1.0
3500.0,0.122238,8.498979111512502E-10,3500.0,72.88571428571429,72.88571428571429,-20.584498094027946,40.8354114713217,?,?,?,173.0,8744.0,0.0,2.0
3600.0,0.125466,8.751108249028523E-10,3600.0,73.25,73.25,-19.776119402985028,40.2975821450713,?,?,?,273.0,8744.0,0.0,1.0
3700.0,0.128712,8.994700759649276E-10,3700.0,73.16216216216216,73.16216216216216,-20.80291970802924,39.34025656689065,?,?,?,373.0,8744.0,0.0,3.0
3800.0,0.131918,9.235291514131758E-10,3800.0,73.57894736842105,73.57894736842105,-20.095693779904312,39.151515151515156,?,?,?,473.0,8744.0,0.0,0.0
3900.0,0.134945,9.462449409895474E-10,3900.0,73.7948717948718,73.7948717948718,-18.28703703703701,38.655462184873954,?,?,?,573.0,8744.0,0.0,0.0
4000.0,0.137911,9.685029627548325E-10,4000.0,74.125,74.125,-18.15068493150688,38.356164383561634,?,?,?,673.0,8744.0,0.0,0.0
4100.0,0.140937,9.912112479408583E-10,4100.0,74.2439024390244,74.2439024390244,-17.594654788418726,37.95534665099883,?,?,?,773.0,8744.0,0.0,0.0
4200.0,0.144269,1.0098509366313618E-9,4200.0,74.07142857142858,74.07142857142858,-17.602591792656554,37.0883882149047,?,?,?,35.0,6536.0,1.0,1.0
4300.0,0.146843,1.025150554875533E-9,4300.0,74.30232558139535,74.30232558139535,-16.931216931216927,39.518336070060194,?,?,?,135.0,7888.0,0.0,0.0
4400.0,0.14945,1.0406463220715523E-9,4400.0,74.68181818181819,74.68181818181819,-15.680166147455859,42.18993253762326,?,?,?,235.0,7888.0,0.0,0.0
4500.0,0.151918,1.055315886106756E-9,4500.0,75.2,75.2,-15.408479834539804,44.94326591021213,?,?,?,335.0,7888.0,0.0,0.0
4600.0,0.154529,1.0714136291709212E-9,4600.0,75.32608695652175,75.32608695652175,-15.34552845528452,45.142580956984055,?,?,?,63.0,8744.0,1.0,1.0
4700.0,0.157169,1.087690167542961E-9,4700.0,75.59574468085106,75.59574468085106,-14.015904572564624,44.855769230769226,?,?,?,163.0,8744.0,0.0,0.0
