learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.003055,1.5926743961042828E-11,100.0,54.0,54.0,-4.545454545454549,54.0,?,?,?,100.0,11792.0,0.0,0.0
200.0,0.007279,3.799158872829544E-11,200.0,59.0,59.0,8.888888888888873,59.0,?,?,?,200.0,11792.0,0.0,0.0
300.0,0.010346,5.6659529606501266E-11,300.0,61.66666666666667,61.66666666666667,10.85271317829459,58.333333333333336,?,?,?,300.0,13472.0,0.0,0.0
400.0,0.014408,8.138374735911688E-11,400.0,64.0,64.0,15.294117647058837,54.43037974683544,?,?,?,400.0,13472.0,0.0,0.0
500.0,0.01918,1.1247389432456759E-10,500.0,66.8,66.8,11.22994652406418,50.887573964497044,?,?,?,500.0,13472.0,0.0,0.0
600.0,0.024651,1.4811810933881337E-10,600.0,68.0,68.0,5.418719211822686,47.10743801652893,?,?,?,600.0,13472.0,0.0,0.0
700.0,0.028189,1.726843085553911E-10,700.0,69.28571428571428,69.28571428571428,7.32758620689654,44.87179487179487,?,?,?,700.0,13472.0,0.0,0.0
800.0,0.032046,1.9946549294723406E-10,800.0,70.75,70.75,1.6806722689075646,42.78728606356969,?,?,?,800.0,13472.0,0.0,0.0
900.0,0.038031,2.435865273906125E-10,900.0,71.22222222222221,71.22222222222221,2.9962546816479225,41.4027149321267,?,?,?,900.0,13472.0,0.0,0.0
1000.0,0.041827,2.715703948504395E-10,1000.0,71.6,71.6,2.0689655172413812,39.83050847457626,?,?,?,1000.0,13472.0,0.0,0.0
1100.0,0.046257,3.0612591861022845E-10,1100.0,71.0,71.0,-2.243589743589738,37.08086785009861,?,?,?,1100.0,13472.0,0.0,0.0
1200.0,0.049109,3.283724995950858E-10,1200.0,70.83333333333334,70.83333333333334,-4.166666666666644,35.54327808471456,?,?,?,1200.0,13472.0,0.0,0.0
