learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.00319,1.542897274096807E-11,100.0,54.0,54.0,-4.545454545454549,54.0,?,?,?,100.0,11792.0,0.0,0.0
200.0,0.007798,3.771634151538213E-11,200.0,59.0,59.0,8.888888888888873,59.0,?,?,?,200.0,11792.0,0.0,0.0
300.0,0.011177,6.005261507299212E-11,300.0,61.66666666666667,61.66666666666667,10.85271317829459,58.333333333333336,?,?,?,300.0,13472.0,0.0,1.0
400.0,0.017028,8.70562717318535E-11,400.0,64.0,64.0,15.294117647058837,54.43037974683544,?,?,?,65.0,10936.0,1.0,1.0
500.0,0.023274,1.2070462107658388E-10,500.0,64.4,64.4,4.812834224598935,47.337278106508876,?,?,?,90.0,8744.0,1.0,4.0
600.0,0.027962,1.4030329055256316E-10,600.0,65.5,65.5,-1.9704433497536742,42.97520661157025,?,?,?,58.0,9256.0,1.0,2.0
700.0,0.034423,1.6276778446303475E-10,700.0,64.42857142857143,64.42857142857143,-7.327586206896573,36.153846153846146,?,?,?,30.0,6536.0,2.0,0.0
800.0,0.039105,1.790468063619402E-10,800.0,66.75,66.75,-11.764705882352953,34.963325183374074,?,?,?,57.0,6536.0,1.0,1.0
900.0,0.043952,1.9931019180350835E-10,900.0,66.22222222222223,66.22222222222223,-13.85767790262172,31.22171945701359,?,?,?,82.0,9256.0,1.0,1.0
1000.0,0.047453,2.1970680811338956E-10,1000.0,65.60000000000001,65.60000000000001,-18.62068965517239,27.11864406779661,?,?,?,182.0,10096.0,0.0,2.0
1100.0,0.051241,2.4177546923359235E-10,1100.0,65.81818181818181,65.81818181818181,-20.512820512820483,25.83826429980277,?,?,?,282.0,10096.0,0.0,0.0
1200.0,0.054158,2.6145621927248106E-10,1200.0,66.75,66.75,-18.749999999999993,26.519337016574585,?,?,?,382.0,10096.0,0.0,1.0
1300.0,0.058691,2.898540885912047E-10,1300.0,67.15384615384615,67.15384615384615,-19.273743016759802,25.739130434782602,?,?,?,482.0,10096.0,0.0,2.0
1400.0,0.062082,3.0313220702939563E-10,1400.0,67.0,67.0,-18.461538461538442,27.129337539432186,?,?,?,49.0,8232.0,1.0,1.0
1500.0,0.06473,3.140763979819086E-10,1500.0,67.60000000000001,67.60000000000001,-16.26794258373206,33.7874659400545,?,?,?,149.0,9072.0,0.0,0.0
1600.0,0.067434,3.3029982199271523E-10,1600.0,68.5625,68.5625,-16.976744186046478,39.68824940047963,?,?,?,249.0,9072.0,0.0,2.0
1700.0,0.070628,3.4917889783779784E-10,1700.0,69.82352941176471,69.82352941176471,-17.660550458715594,45.07494646680942,?,?,?,349.0,9072.0,0.0,1.0
1800.0,0.072918,3.571410849690438E-10,1800.0,70.5,70.5,-17.73835920177386,45.538461538461526,?,?,?,54.0,6536.0,1.0,2.0
1900.0,0.074475,3.6310570314526564E-10,1900.0,70.52631578947368,70.52631578947368,-18.393234672304473,44.27860696517412,?,?,?,6.0,7904.0,1.0,3.0
2000.0,0.07623,3.686701692640782E-10,2000.0,71.5,71.5,-18.997912317327756,44.06280667320902,?,?,?,32.0,5352.0,1.0,2.0
2100.0,0.07825,3.7569358324011174E-10,2100.0,72.14285714285714,72.14285714285714,-16.76646706586828,43.25897187196895,?,?,?,23.0,6536.0,1.0,1.0
2200.0,0.080019,3.8184428587555895E-10,2200.0,72.31818181818181,72.31818181818181,-17.79497098646037,42.27488151658766,?,?,?,29.0,6536.0,1.0,1.0
2300.0,0.081855,3.8822794333100327E-10,2300.0,72.34782608695653,72.34782608695653,-19.101123595505626,40.782122905027926,?,?,?,3.0,6536.0,2.0,1.0
2400.0,0.083303,3.9583679081665155E-10,2400.0,72.29166666666667,72.29166666666667,-19.604316546762586,39.4904458598726,?,?,?,103.0,8232.0,0.0,2.0
2500.0,0.086371,4.1195829916331515E-10,2500.0,72.2,72.2,-20.034542314335056,37.83542039355993,?,?,?,203.0,8232.0,0.0,3.0
2600.0,0.088357,4.2239419081144875E-10,2600.0,72.26923076923077,72.26923076923077,-19.56882255389717,36.92038495188103,?,?,?,303.0,8232.0,0.0,1.0
2700.0,0.091063,4.366134872867003E-10,2700.0,72.29629629629629,72.29629629629629,-19.680000000000003,36.28620102214649,?,?,?,403.0,8232.0,0.0,0.0
2800.0,0.09281,4.457934987213878E-10,2800.0,72.32142857142857,72.32142857142857,-18.320610687022935,35.950413223140494,?,?,?,503.0,8232.0,0.0,2.0
2900.0,0.094539,4.524098647137484E-10,2900.0,72.20689655172414,72.20689655172414,-16.98113207547167,37.56777691711852,?,?,?,96.0,7888.0,1.0,1.0
3000.0,0.096005,4.580198083486823E-10,3000.0,72.53333333333333,72.53333333333333,-16.220028208744715,40.76204169662115,?,?,?,196.0,7888.0,0.0,0.0
3100.0,0.097424,4.659109107322164E-10,3100.0,73.19354838709677,73.19354838709677,-15.7381615598886,44.265593561368206,?,?,?,296.0,9072.0,0.0,2.0
3200.0,0.099947,4.761243901318975E-10,3200.0,73.5,73.5,-15.846994535519126,45.74536148432501,?,?,?,22.0,8744.0,1.0,2.0
3300.0,0.101903,4.866617214348582E-10,3300.0,73.96969696969697,73.96969696969697,-14.839572192513343,45.32145130490135,?,?,?,122.0,8744.0,0.0,2.0
3400.0,0.10367,4.928054701950815E-10,3400.0,74.1470588235294,74.1470588235294,-14.602346805736644,44.7517284726587,?,?,?,69.0,6536.0,1.0,1.0
3500.0,0.105204,4.981390924917327E-10,3500.0,74.2,74.2,-14.73951715374841,43.70324189526185,?,?,?,30.0,6536.0,2.0,1.0
3600.0,0.106511,5.044335685670376E-10,3600.0,74.55555555555556,74.55555555555556,-13.930348258706454,43.211407315561054,?,?,?,130.0,6536.0,0.0,1.0
3700.0,0.108175,5.124473468297057E-10,3700.0,74.51351351351352,74.51351351351352,-14.720194647201948,42.39462431276727,?,?,?,73.0,6536.0,1.0,3.0
3800.0,0.109796,5.18083462698592E-10,3800.0,74.92105263157895,74.92105263157895,-13.995215311004817,42.242424242424235,?,?,?,104.0,6536.0,1.0,0.0
3900.0,0.111242,5.231111144853962E-10,3900.0,75.0,75.0,-12.847222222222204,41.4765906362545,?,?,?,64.0,6536.0,1.0,3.0
4000.0,0.11291,5.289106464220417E-10,4000.0,75.2,75.2,-13.242009132420105,40.917212626563426,?,?,?,60.0,6536.0,1.0,1.0
4100.0,0.114423,5.341712530288431E-10,4100.0,75.29268292682927,75.29268292682927,-12.806236080178188,40.48178613396005,?,?,?,58.0,6536.0,1.0,1.0
4200.0,0.116006,5.396752452684773E-10,4200.0,75.16666666666667,75.16666666666667,-12.634989200863906,39.74581166955518,?,?,?,22.0,6536.0,1.0,2.0
4300.0,0.11801,5.502057220372888E-10,4300.0,75.20930232558139,75.20930232558139,-12.804232804232788,41.65298303229337,?,?,?,122.0,7888.0,0.0,3.0
4400.0,0.119694,5.590546855496035E-10,4400.0,75.47727272727272,75.47727272727272,-12.045690550363448,44.00622729631552,?,?,?,222.0,7888.0,0.0,1.0
4500.0,0.121349,5.677512619230482E-10,4500.0,75.91111111111111,75.91111111111111,-12.099276111685635,46.52195362604834,?,?,?,322.0,7888.0,0.0,1.0
4600.0,0.12307,5.747181259923511E-10,4600.0,76.06521739130436,76.06521739130436,-11.890243902438991,46.78588690188497,?,?,?,54.0,8744.0,1.0,1.0
