learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected
100.0,0.013262,8.217665056387583E-11,100.0,54.0,7.852564102564105,-12.195121951219495,-14.999999999999986,53.92628205128205,53.92628205128205,53.92628205128205,17.0,3320.0,4.0
200.0,0.030064,1.8628855546315513E-10,200.0,52.0,4.028791362591224,-10.344827586206879,-10.344827586206879,52.01600831437197,52.01520152015202,52.01681513362026,40.0,3320.0,3.0
300.0,0.044719,2.770967905720075E-10,300.0,52.33333333333333,4.742872368771637,-6.716417910447767,-4.379562043795624,52.375709860473115,52.37713675213676,52.37428304655196,22.0,3320.0,4.0
400.0,0.052281,3.239539638161659E-10,400.0,55.75,11.522119470132473,1.6666666666666559,6.349206349206354,55.76979229454487,55.77694235588972,55.76264406610165,13.0,3320.0,2.0
500.0,0.058357,3.616032873590787E-10,500.0,56.99999999999999,13.848373136720621,10.416666666666654,4.444444444444424,56.94034358954107,56.96594427244581,56.914765906362554,95.0,3320.0,1.0
600.0,0.064255,3.9814965178569156E-10,600.0,55.666666666666664,11.207050026704643,7.317073170731712,2.2058823529411784,55.60552668143758,55.61151720449278,55.59953744885252,16.0,3320.0,6.0
700.0,0.069389,4.2996196697155635E-10,700.0,55.42857142857143,10.790873220106361,7.6923076923076925,3.4055727554179493,55.39623128549304,55.39887681781397,55.39358600583091,30.0,3320.0,3.0
800.0,0.074055,4.588743671774864E-10,800.0,55.625,11.152267494243663,9.438775510204085,3.794037940379419,55.57657079143793,55.57892628205128,55.574215500472235,19.0,3320.0,4.0
900.0,0.078703,4.876752321918805E-10,900.0,55.333333333333336,10.645486337502225,10.267857142857142,5.188679245283028,55.32279577504274,55.32316386413484,55.32242769084874,25.0,3320.0,4.0
1000.0,0.084241,5.219908927877743E-10,1000.0,55.2,10.398207964159301,7.818930041152271,6.47181628392485,55.199270372910746,55.1995199519952,55.19902079608319,24.0,3320.0,5.0
1100.0,0.088917,5.509652569890022E-10,1100.0,55.63636363636364,11.250136398355947,8.097928436911504,6.6921606118546935,55.6252170747781,55.62588671832369,55.62454744735511,32.0,3320.0,2.0
1200.0,0.093046,5.765501906474431E-10,1200.0,55.41666666666667,10.767896457402108,8.858603066439525,5.975395430579963,55.38521513080492,55.388621794871796,55.381808885764386,52.0,3320.0,3.0
1300.0,0.097261,6.026680146654446E-10,1300.0,55.07692307692308,10.116616349967437,8.463949843260185,6.2600321027287364,55.06025137881746,55.0637037037037,55.05679948680439,60.0,3320.0,3.0
1400.0,0.101635,6.297710662086804E-10,1400.0,54.42857142857142,8.808569462509624,6.99708454810495,4.918032786885247,54.4060865312377,54.40950692923978,54.40266656324822,32.0,3320.0,4.0
1500.0,0.105755,6.553002322713534E-10,1500.0,53.93333333333333,7.816190909867084,5.729877216916785,3.8942976356049956,53.90910147076555,53.91140718797399,53.906795950773414,24.0,3320.0,3.0
1600.0,0.110666,6.857307503620784E-10,1600.0,53.87499999999999,7.699378878103451,5.7471264367816,3.78096479791394,53.850280021832894,53.851965754742515,53.84859439445728,21.0,3320.0,6.0
1700.0,0.11463,7.102932780981064E-10,1700.0,53.88235294117647,7.660288520028874,5.542168674698803,3.329223181257704,53.831677140574044,53.835629174177235,53.827725687159955,53.0,3320.0,3.0
1800.0,0.119109,7.380469515919686E-10,1800.0,54.44444444444444,8.845674986660333,6.923950056753682,5.5299539170506815,54.423931540919504,54.426336504420405,54.42152678994784,53.0,3320.0,2.0
1900.0,0.129408,8.018636703491211E-10,1900.0,54.368421052631575,8.705685707698578,6.270270270270259,5.658324265505988,54.35354068149469,54.35514064295188,54.35194081422551,43.0,3320.0,5.0
2000.0,0.135415,8.390854423244794E-10,2000.0,54.2,8.387632330364628,6.339468302658492,6.051282051282068,54.19483193134482,54.19630910934071,54.19335483387084,20.0,3320.0,5.0
2100.0,0.140158,8.684749652942021E-10,2100.0,54.42857142857142,8.776054905948135,7.087378640776701,5.247524752475234,54.38970653293978,54.393695476498024,54.385718174394334,40.0,3320.0,4.0
2200.0,0.145965,9.044574573636055E-10,2200.0,54.31818181818182,8.601466014296367,6.1624649859944025,5.986903648269426,54.3024440204297,54.30536749442989,54.29952086117702,17.0,3320.0,6.0
2300.0,0.14973,9.277869015932083E-10,2300.0,54.391304347826086,8.76894990705602,7.00354609929078,6.672597864768689,54.38568453159872,54.38743131395152,54.383937861446505,35.0,3320.0,2.0
2400.0,0.153173,9.491211051742235E-10,2400.0,54.50000000000001,8.99854650456224,6.984667802385011,7.063829787234058,54.500029658134665,54.50085482791942,54.49920451333647,43.0,3320.0,2.0
2500.0,0.156701,9.709820027152697E-10,2500.0,54.52,9.027773332735915,6.879606879606873,6.573541495480696,54.51586652659224,54.518381071494474,54.513352213635415,31.0,3320.0,3.0
2600.0,0.160252,9.929854174455006E-10,2600.0,54.65384615384615,9.274623176258332,7.529411764705888,6.502775574940518,54.64009592391819,54.64423925105994,54.63595322505339,38.0,3320.0,2.0
2700.0,0.164098,1.0168167700370152E-9,2700.0,54.851851851851855,9.666331091162004,8.345864661654133,6.875477463712756,54.835856637100164,54.84009991556431,54.83161401523653,19.0,3320.0,4.0
2800.0,0.168497,1.0440747315684954E-9,2800.0,54.92857142857142,9.841687146367953,8.55072463768116,7.613469985358712,54.92398721567593,54.92788461538463,54.92009036900678,22.0,3320.0,5.0
2900.0,0.172388,1.06818492213885E-9,2900.0,54.96551724137932,9.921094741488714,9.30555555555556,7.898448519040901,54.96399294723177,54.96794871794872,54.960037745828274,71.0,3320.0,2.0
3000.0,0.176166,1.0915949195623397E-9,3000.0,54.86666666666666,9.715075715311313,9.188464118041576,7.576791808873705,54.86117641193184,54.865692244325444,54.85666132284659,28.0,3320.0,4.0
3100.0,0.179959,1.1150978629787762E-9,3100.0,54.774193548387096,9.526093422395853,8.961038961038966,7.397622192866579,54.76737519666401,54.77275154524944,54.76199990343136,15.0,3320.0,4.0
3200.0,0.183547,1.1373305444916089E-9,3200.0,54.87499999999999,9.73434455038295,8.723135271807832,7.790549169859508,54.87157769956457,54.876759819050434,54.8663965587016,71.0,3320.0,3.0
3300.0,0.187449,1.1615088954567908E-9,3300.0,54.78787878787878,9.561406989097994,8.128078817733977,7.673267326732677,54.784535638191834,54.789063914539206,54.78000811030008,17.0,3320.0,5.0
3400.0,0.190735,1.1818702643116315E-9,3400.0,55.00000000000001,9.995141606259718,8.765652951699481,8.383233532934147,55.00257522370572,55.007843501683126,54.9973079547515,31.0,3320.0,2.0
3500.0,0.194535,1.2054165825247763E-9,3500.0,55.08571428571428,10.160134416898117,9.080393290919599,8.177570093457929,55.08437529148414,55.089281420258196,55.07947003649009,33.0,3320.0,3.0
3600.0,0.198552,1.2303075194358824E-9,3600.0,54.80555555555555,9.595876342124333,8.130999435347247,7.556818181818182,54.801677984235454,54.80615451978345,54.79720217990951,18.0,3320.0,5.0
3700.0,0.202076,1.2521436313788094E-9,3700.0,54.972972972972975,9.911305559712682,8.209366391184581,7.598447032723252,54.96029959156784,54.96656964481566,54.954030968610624,19.0,3320.0,3.0
3800.0,0.205699,1.2745931868751842E-9,3800.0,55.07894736842105,10.124782814721208,8.471849865951741,7.879114948731779,55.06700451310289,55.07320933913732,55.06080108504505,39.0,3320.0,3.0
3900.0,0.209484,1.2980465590953825E-9,3900.0,55.00000000000001,9.960550763332485,8.259278619968647,7.631578947368439,54.98458438878075,54.990698400377966,54.97847173657643,25.0,3320.0,4.0
4000.0,0.213674,1.3240094731251396E-9,4000.0,55.025,9.999149519478516,8.073582013285638,7.601438109912692,55.004999748943575,55.01275195743614,54.9972497249725,20.0,3320.0,5.0
4100.0,0.217582,1.3482250024875003E-9,4100.0,55.00000000000001,9.922579502001483,7.980049875311727,7.239819004524893,54.96733983957971,54.9767323744063,54.95795051355208,15.0,3320.0,4.0
4200.0,0.22127,1.3710773239533104E-9,4200.0,55.19047619047619,10.302502665029252,8.817829457364342,7.654563297350343,55.157598762877726,55.16747334148242,55.147727718596684,32.0,3320.0,3.0
4300.0,0.225031,1.394381982584794E-9,4300.0,55.11627906976744,10.17379460354378,8.70387890255439,7.787864309603425,55.092644827578305,55.101089214140345,55.084203028868494,16.0,3320.0,4.0
4400.0,0.228184,1.4139192303021746E-9,4400.0,55.29545454545455,10.496412534721578,9.103512014787436,7.739212007504687,55.25492251630184,55.265856818998714,55.24399253943405,33.0,3320.0,2.0
4500.0,0.231566,1.4348754535118736E-9,4500.0,55.177777777777784,10.263736524483326,8.774310266847579,7.477064220183495,55.137271772432136,55.146542663943364,55.128003997525454,33.0,3320.0,3.0
4600.0,0.235451,1.4589484656850494E-9,4600.0,54.891304347826086,9.678115324345004,8.023049645390072,6.825325550067345,54.844930615050146,54.85494316912022,54.83492171545269,14.0,3320.0,4.0
4700.0,0.239704,1.4853017528851824E-9,4700.0,54.87234042553192,9.666951082216874,7.822685788787495,7.136602451838879,54.83889210636247,54.847517996046356,54.83026892944576,14.0,3320.0,4.0
4800.0,0.243466,1.5086126079161958E-9,4800.0,54.95833333333333,9.853579822962907,8.0391322841344,7.527801539777579,54.93198541709299,54.939912160216586,54.92406096098406,51.0,3320.0,3.0
4900.0,0.246797,1.5292528147498764E-9,4900.0,54.93877551020409,9.810944092488477,7.884856070087613,7.4601844090528076,54.91061874689029,54.91860567554506,54.902634141009486,45.0,3320.0,3.0
5000.0,0.25057,1.5526318301757175E-9,5000.0,54.92,9.773477789704792,7.811860940695299,7.4332648870636575,54.89166250596894,54.89939100349576,54.88393618410441,36.0,3320.0,4.0
5100.0,0.25411,1.574567084511121E-9,5100.0,54.98039215686275,9.899969391104586,7.939053728949477,7.568438003220612,54.953803780735974,54.96013684901534,54.947472171810084,39.0,3320.0,3.0
