learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.00293,1.585721555683348E-11,100.0,55.00000000000001,10.21548284118117,-9.75609756097559,-12.499999999999984,55.133351381122644,55.1384985949418,55.12820512820513,100.0,3224.0,0.0,0.0
200.0,0.007546,4.083909508254793E-11,200.0,53.5,6.776263031275071,-6.89655172413791,-6.89655172413791,53.392406396391024,53.40177133655395,53.383044740266236,26.0,3224.0,1.0,4.0
300.0,0.010658,5.768129809035196E-11,300.0,52.666666666666664,5.194284951261856,-5.970149253731357,-3.649635036496362,52.60086229448727,52.60735510970106,52.594371081766035,126.0,3224.0,0.0,0.0
400.0,0.013537,7.553264912631776E-11,400.0,54.0,7.970090279340801,-2.2222222222222245,2.64550264550266,53.992249869724894,54.00065275790213,53.9838495962399,226.0,3224.0,0.0,3.0
500.0,0.016961,9.406340205007129E-11,500.0,52.0,4.13038267955581,0.0,-6.666666666666673,52.07321682251372,52.077606854093325,52.06882753101241,51.0,3224.0,1.0,1.0
600.0,0.019705,1.0891398208008873E-10,600.0,50.83333333333333,1.7627208951247575,-2.7874564459930258,-8.455882352941176,50.88312997069182,50.883409917778344,50.882850026685645,151.0,3224.0,0.0,0.0
700.0,0.02457,1.3524345432718595E-10,700.0,50.57142857142857,1.12590729839401,-2.3668639053254488,-7.1207430340557405,50.562990437069175,50.56289849866521,50.56308237580747,251.0,3224.0,0.0,0.0
800.0,0.028855,1.5843395557668474E-10,800.0,50.375,0.6680511421923074,-1.2755102040816282,-7.588075880758789,50.33402661750819,50.334050645581016,50.33400258945828,351.0,3224.0,0.0,0.0
900.0,0.033306,1.8252285197377204E-10,900.0,51.22222222222222,2.3894933444013056,2.0089285714285734,-3.5377358490565913,51.19524646318542,51.196206570726076,51.19428639165482,451.0,3224.0,0.0,0.0
1000.0,0.039777,2.1754402667284013E-10,1000.0,50.7,1.3905334912151486,-1.440329218106997,-2.9227557411273515,50.69600409760587,50.69680543973314,50.69520278081112,551.0,3224.0,0.0,0.0
1100.0,0.043945,2.4010132170385787E-10,1100.0,51.45454545454545,2.956249359815232,-0.5649717514124215,-2.103250478011474,51.48004229111925,51.481002055889746,51.479082562134025,651.0,3224.0,0.0,0.0
1200.0,0.049661,2.710364220870866E-10,1200.0,51.583333333333336,3.2139842743547753,1.0221465076660998,-2.108963093145872,51.60862012396728,51.60892190001779,51.6083183514459,751.0,3224.0,0.0,0.0
1300.0,0.054073,2.9491424974468024E-10,1300.0,51.61538461538462,3.230769230769237,1.410658307210031,-0.9630818619582584,51.61547829927042,51.61538461538462,51.61557198349631,851.0,3224.0,0.0,0.0
