learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.004581,1.509353518486023E-11,100.0,55.00000000000001,10.21548284118117,-9.75609756097559,-12.499999999999984,55.133351381122644,55.1384985949418,55.12820512820513,100.0,3224.0,0.0,0.0
200.0,0.008622,3.100048750638962E-11,200.0,53.5,6.832298136645967,-6.89655172413791,-6.89655172413791,53.41769565861133,53.42232035327178,53.413071764588125,200.0,3224.0,0.0,5.0
300.0,0.015333,5.840372915069262E-11,300.0,51.66666666666667,3.1784188034188094,-8.208955223880587,-5.839416058394149,51.59209371935801,51.59688674181429,51.58730158730158,300.0,3224.0,0.0,2.0
400.0,0.019209,7.423072432478269E-11,400.0,53.5,6.946494234184664,-3.3333333333333366,1.5873015873016003,53.494544585544034,53.51777254186618,53.47133678341959,400.0,3224.0,0.0,1.0
500.0,0.026627,9.867164202862315E-11,500.0,52.0,4.2222044855934255,0.0,-6.666666666666673,52.13085023218955,52.14486125302065,52.11684673869548,45.0,3224.0,1.0,2.0
600.0,0.032659,1.226781080994341E-10,600.0,51.33333333333333,2.873869079297492,-1.7421602787456383,-7.352941176470586,51.445149714703845,51.44927536231884,51.441024728695965,145.0,3224.0,0.0,1.0
700.0,0.037302,1.4095476725035242E-10,700.0,50.71428571428571,1.4848657909765892,-2.071005917159765,-6.811145510835923,50.743309227980895,50.74346405228758,50.743154404618984,245.0,3224.0,0.0,1.0
800.0,0.041511,1.5752303310566478E-10,800.0,50.5,0.9931932820381348,-1.020408163265307,-7.317073170731694,50.4967519558781,50.49656560353502,50.49693830959663,345.0,3224.0,0.0,0.0
900.0,0.043734,1.6627362825804286E-10,900.0,51.11111111111111,2.199039772390485,1.785714285714275,-3.773584905660378,51.099530753477865,51.09960678930625,51.09945471787577,445.0,3224.0,0.0,4.0
1000.0,0.046353,1.7658303388290933E-10,1000.0,50.5,0.995247771893047,-1.8518518518518534,-3.340292275574116,50.49774438619588,50.497886782786885,50.49760199040796,545.0,3224.0,0.0,0.0
1100.0,0.048438,1.847904072039657E-10,1100.0,51.272727272727266,2.565746637890279,-0.9416195856873767,-2.485659655831744,51.28341627476707,51.28348417262143,51.28334837709249,645.0,3224.0,0.0,0.0
1200.0,0.05034,1.922774211400085E-10,1200.0,51.583333333333336,3.1785004055060138,1.0221465076660998,-2.108963093145872,51.58974697073937,51.589515089559534,51.58997885400372,745.0,3224.0,0.0,0.0
1300.0,0.051851,1.9822530655397308E-10,1300.0,51.46153846153846,2.906990507302984,1.097178683385567,-1.2841091492776933,51.453510742543294,51.453598484848484,51.45342300053735,845.0,3224.0,0.0,0.0
1400.0,0.053989,2.0664130854937764E-10,1400.0,51.28571428571429,2.537416118686322,0.5830903790087534,-1.6393442622950667,51.268837678871,51.26920037006857,51.26847499280493,945.0,3224.0,0.0,0.0
1500.0,0.055557,2.128135681980186E-10,1500.0,51.33333333333333,2.5923771196165535,0.40927694406548465,-1.529902642559127,51.29709514322758,51.29871171648137,51.29547867185653,1045.0,3224.0,0.0,0.0
1600.0,0.057177,2.191905201309257E-10,1600.0,51.24999999999999,2.3949220332514143,0.38314176245209913,-1.6949152542372983,51.19896633758847,51.20144509260174,51.196487822565636,1145.0,3224.0,0.0,0.0
1700.0,0.058834,2.2595660140117007E-10,1700.0,52.0,3.8406883099058224,1.6867469879518193,-0.6165228113440175,51.92293636423576,51.92775259522553,51.91812102656137,1245.0,3224.0,0.0,1.0
1800.0,0.060693,2.332743505636851E-10,1800.0,52.61111111111111,5.128053030415364,3.1782065834279205,1.728110599078335,52.56884568979623,52.57575625907034,52.56193693693694,1345.0,3224.0,0.0,1.0
1900.0,0.062218,2.3927734543879826E-10,1900.0,52.63157894736842,5.188043713301934,2.7027027027026884,2.067464635473342,52.5982354759183,52.604157969441424,52.59231431582517,1445.0,3224.0,0.0,0.0
2000.0,0.063709,2.45146503051122E-10,2000.0,52.65,5.264000320121635,3.169734151329235,2.871794871794874,52.63867425917332,52.64628494182397,52.63106577664443,1545.0,3224.0,0.0,0.0
2100.0,0.065433,2.519328395525614E-10,2100.0,52.8095238095238,5.459550806803303,3.7864077669902914,1.8811881188118655,52.736436466125944,52.746717788803046,52.72615915071227,1645.0,3224.0,0.0,0.0
2200.0,0.06735,2.5976058716575304E-10,2200.0,52.63636363636364,5.180493753014289,2.7077497665732966,2.525724976613668,52.600213289782616,52.612446195447674,52.587986071334406,1745.0,3224.0,0.0,1.0
2300.0,0.069165,2.6717183490594225E-10,2300.0,52.43478260869565,4.817745767071675,3.0141843971631213,2.6690391459074805,52.42084249115961,52.434064673954595,52.40762697510102,1845.0,3224.0,0.0,0.0
2400.0,0.071679,2.774373317758242E-10,2400.0,52.25,4.491046035565827,2.385008517887551,2.4680851063829787,52.25970006837992,52.27409400221554,52.24531405924587,1945.0,3224.0,0.0,0.0
2500.0,0.074561,2.892054948541853E-10,2500.0,52.16,4.274970946333148,2.047502047502027,1.7255546425636734,52.151473480737565,52.166441364119855,52.13651418422695,2045.0,3224.0,0.0,0.0
2600.0,0.077019,2.9924232512712475E-10,2600.0,52.42307692307693,4.750679083057218,2.9803921568627616,1.9032513877874773,52.38992514942499,52.406732585801706,52.37312849026468,2145.0,3224.0,0.0,3.0
2700.0,0.07881,3.065555728971958E-10,2700.0,52.51851851851852,4.923780261699952,3.609022556390978,2.062643239113829,52.478171232184145,52.49717069604499,52.4591855156939,2245.0,3224.0,0.0,0.0
2800.0,0.080538,3.1361157074570656E-10,2800.0,52.28571428571429,4.518231586169462,3.188405797101465,2.1961932650073357,52.27727755858852,52.29667088074168,52.25789861446435,2345.0,3224.0,0.0,1.0
2900.0,0.082472,3.2150873500439854E-10,2900.0,52.06896551724138,4.101076656332119,3.4722222222222294,1.9746121297602253,52.070033989650724,52.09031787421618,52.049765895959254,2445.0,3224.0,0.0,0.0
3000.0,0.084248,3.287607327931457E-10,3000.0,52.166666666666664,4.266617802984483,3.7558685446009275,2.0477815699658493,52.15614659474559,52.18044716304577,52.13186864958392,2545.0,3224.0,0.0,0.0
3100.0,0.085777,3.35004147556093E-10,3100.0,52.35483870967742,4.635052611408722,4.090909090909102,2.4438573315719996,52.342970712395044,52.370195226379536,52.31577448889377,2645.0,3224.0,0.0,0.0
3200.0,0.087411,3.416763121883074E-10,3200.0,52.1875,4.319385642904936,3.286978508217443,2.29885057471264,52.18500565803509,52.21157048080125,52.15846785345419,2745.0,3224.0,0.0,0.0
3300.0,0.089127,3.4868331005175906E-10,3300.0,52.42424242424243,4.79435138877864,3.325123152709359,2.8465346534653646,52.42583368685681,52.45585737005711,52.395844352762786,2845.0,3224.0,0.0,1.0
3400.0,0.090811,3.5555964128838644E-10,3400.0,52.52941176470588,5.040685971853432,3.756708407871203,3.353293413173654,52.5539501168795,52.588079425010235,52.51986507939803,2945.0,3224.0,0.0,0.0
3500.0,0.092658,3.6310155565539993E-10,3500.0,52.77142857142857,5.498422115214984,4.39560439560439,3.446261682242978,52.78614975599207,52.82441410733681,52.74794079951673,3045.0,3224.0,0.0,1.0
3600.0,0.094661,3.712804698281818E-10,3600.0,52.666666666666664,5.270092348688333,3.7831733483907217,3.1818181818181794,52.673255545121755,52.713244855572505,52.633326862042054,3145.0,3224.0,0.0,0.0
3700.0,0.096322,3.780628844267792E-10,3700.0,52.78378378378379,5.441858423909092,3.746556473829208,3.105934553521922,52.76062040261644,52.80384397964952,52.717467530646026,3245.0,3224.0,0.0,0.0
3800.0,0.097847,3.842899658613735E-10,3800.0,52.68421052631579,5.244950761324464,3.5924932975871355,2.968159740960602,52.66137060126964,52.70360847146668,52.61920037763823,3345.0,3224.0,0.0,0.0
3900.0,0.099553,3.9125613040394257E-10,3900.0,52.64102564102564,5.13700632604329,3.450078410872975,2.7894736842105345,52.6053367031238,52.64596520017712,52.56477086621443,3445.0,3224.0,0.0,0.0
4000.0,0.101087,3.9751996182733117E-10,4000.0,52.65,5.130183027619436,3.2192130812467927,2.722136620441702,52.602972437181926,52.645256668929164,52.560756075607564,3545.0,3224.0,0.0,0.0
4100.0,0.102755,4.043309597505464E-10,4100.0,52.926829268292686,5.62729879162871,3.740648379052373,2.966314731020616,52.851783132054834,52.896216455105694,52.80742439517569,3645.0,3224.0,0.0,2.0
4200.0,0.104308,4.106723744836119E-10,4200.0,52.95238095238095,5.673394355270054,4.263565891472867,3.0421982335623143,52.87606055161975,52.921921547150454,52.83027897156805,3745.0,3224.0,0.0,0.0
4300.0,0.105889,4.171281225151486E-10,4300.0,52.97674418604651,5.764630294222972,4.351939451277195,3.3922599139990335,52.92457834970804,52.97234561542808,52.87689715365289,3845.0,3224.0,0.0,1.0
4400.0,0.107495,4.236859538488918E-10,4400.0,53.27272727272727,6.27366754628348,4.990757855822549,3.564727954971846,53.18182246613159,53.23522252419699,53.12852943151933,3945.0,3224.0,0.0,4.0
4500.0,0.109117,4.3030911849604714E-10,4500.0,53.37777777777778,6.480103669296364,5.110809588421524,3.7614678899082628,53.28442875799729,53.33758087349807,53.23138247162542,4045.0,3224.0,0.0,2.0
4600.0,0.110729,4.3689144982231987E-10,4600.0,53.41304347826087,6.524278767741593,5.00886524822695,3.771890435563526,53.3100730282349,53.367679711555425,53.25259057559942,4145.0,3224.0,0.0,0.0
4700.0,0.112477,4.440291143125958E-10,4700.0,53.404255319148945,6.562281735826442,4.823989569752296,4.115586690017517,53.33247647053964,53.39194548668089,53.273139782566446,4245.0,3224.0,0.0,0.0
4800.0,0.113974,4.501418624487188E-10,4800.0,53.43750000000001,6.657882345079767,4.934070608251809,4.405474764756208,53.3852680941302,53.44900511236161,53.32168290543811,4345.0,3224.0,0.0,0.0
4900.0,0.115531,4.564996105101374E-10,4900.0,53.346938775510196,6.461515645111919,4.630788485606996,4.191114836546504,53.287511090241956,53.35192931585948,53.223248236827246,4445.0,3224.0,0.0,0.0
5000.0,0.117019,4.6257560865746607E-10,5000.0,53.42,6.60617174006216,4.744376278118609,4.35318275154004,53.360542274252964,53.42588829354242,53.29535591111247,4545.0,3224.0,0.0,0.0
5100.0,0.118555,4.686886610256301E-10,5100.0,53.254901960784316,6.276262095306471,4.41058540497194,4.025764895330121,53.19076849019109,53.25083659151384,53.130835752423586,4645.0,3224.0,0.0,4.0
5200.0,0.120459,4.764633253216744E-10,5200.0,53.42307692307692,6.568554647944359,4.833005893909623,4.193037974683534,53.341665048305686,53.40823970037454,53.27525616340599,87.0,3224.0,1.0,3.0
