learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.001533,2.316075066725413E-12,100.0,77.0,41.146366427840334,47.72727272727273,20.689655172413808,70.75940895861288,72.03947368421053,69.52404079650316,100.0,1112.0,0.0,0.0
200.0,0.002967,4.482579727967581E-12,200.0,79.0,50.000000000000014,49.3975903614458,38.235294117647065,75.62784783299777,78.0,73.39572192513369,200.0,1112.0,0.0,0.0
300.0,0.005114,7.726293471124438E-12,300.0,78.33333333333333,49.13928012519561,48.818897637795274,38.09523809523809,75.26308216226883,77.66682330827068,73.00366300366301,300.0,1112.0,0.0,0.0
400.0,0.007032,1.0624031225840252E-11,400.0,79.5,51.88216999677259,52.325581395348856,41.007194244604335,76.56958491290486,78.90229152365075,74.37084814906696,400.0,1112.0,0.0,0.0
500.0,0.008114,1.2258730000919767E-11,500.0,81.2,56.13625758282782,57.27272727272727,46.2857142857143,78.70481133607383,81.10842177124061,76.43956043956044,500.0,1112.0,0.0,0.0
600.0,0.009084,1.3724217812220256E-11,600.0,82.33333333333334,58.94178254638417,60.2996254681648,49.76303317535546,80.11069938039728,82.55251786249092,77.8091838350857,600.0,1112.0,0.0,0.0
700.0,0.010144,1.5325678719414605E-11,700.0,82.0,58.11926039183657,59.744408945686885,48.98785425101214,79.76690042711,82.3424337550602,77.34759721514688,700.0,1112.0,0.0,0.0
800.0,0.012115,1.8303489519490135E-11,800.0,83.0,60.57542486502155,61.79775280898875,51.601423487544466,80.87774898017966,83.22798648380044,78.65660077208429,800.0,1112.0,0.0,0.0
900.0,0.01438,2.1725479099485607E-11,900.0,83.77777777777777,62.33122151191124,63.771712158808924,53.354632587859406,81.67289417211407,83.8728773952329,79.58537209289668,900.0,1112.0,0.0,0.0
1000.0,0.01652,2.4958617157406273E-11,1000.0,84.5,64.09942837025301,65.78366445916114,55.58739255014326,82.55969472058752,84.78061973416983,80.45215868027589,1000.0,1112.0,0.0,0.0
