learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.003759,1.079037164648374E-11,100.0,85.0,69.75806451612902,72.72727272727272,67.39130434782608,84.8861334226273,84.94949494949495,84.82286634460547,100.0,1408.0,0.0,5.0
200.0,0.009459,2.7388402571280797E-11,200.0,85.5,70.38398692810458,71.0,65.47619047619048,85.20858179624004,85.0523853117689,85.36535303776682,200.0,1408.0,0.0,1.0
300.0,0.013377,3.87973648806413E-11,300.0,86.0,71.59090909090908,72.54901960784314,68.18181818181817,85.79545454545455,85.79545454545455,85.79545454545455,300.0,1408.0,0.0,0.0
400.0,0.018437,5.353175724546114E-11,400.0,86.75,72.8775395322655,73.09644670050763,69.364161849711,86.46225714118285,86.6620327463701,86.26340047363195,400.0,1408.0,0.0,0.0
500.0,0.020646,5.996422221263249E-11,500.0,87.6,74.58308053063969,74.05857740585773,70.89201877934272,87.29657279035438,87.3920978641543,87.2012563183982,500.0,1408.0,0.0,0.0
600.0,0.025613,7.442780459920565E-11,600.0,88.66666666666667,76.73888255416192,76.55172413793105,73.22834645669293,88.37304573757217,88.45714285714286,88.28910837012425,600.0,1408.0,0.0,0.0
700.0,0.029618,8.609010527531306E-11,700.0,89.14285714285714,77.7972538708735,77.38095238095238,74.75083056478407,88.90462054001983,89.00606821510777,88.80340385848342,700.0,1408.0,0.0,0.0
800.0,0.031526,9.164607773224512E-11,800.0,88.875,77.21220811142975,76.39257294429709,73.90029325513197,88.60927772557756,88.6853448275862,88.53334100013417,800.0,1408.0,0.0,0.0
900.0,0.033469,9.730396792292595E-11,900.0,89.0,77.43092495212622,77.03016241299304,74.01574803149606,88.71798587600227,88.7881679389313,88.64791467540545,900.0,1408.0,0.0,0.0
1000.0,0.035376,1.0285702844460805E-10,1000.0,89.5,78.36853425188092,77.65957446808511,74.88038277511963,89.18835667857118,89.28510940643343,89.09181341357142,1000.0,1408.0,0.0,0.0
1100.0,0.038395,1.1164816096425056E-10,1100.0,90.27272727272727,80.02972635465305,79.3036750483559,77.03862660944205,90.02052574991077,90.12884080707569,89.91247072203193,1100.0,1408.0,0.0,0.0
1200.0,0.040384,1.1744000017642975E-10,1200.0,90.66666666666666,80.87518783297664,80.2120141342756,78.12499999999999,90.44350558299541,90.55069121793628,90.3365734011628,1200.0,1408.0,0.0,0.0
1300.0,0.042369,1.232201916476091E-10,1300.0,90.46153846153845,80.42263784308963,80.16,77.45454545454545,90.21453568897824,90.2958844891879,90.13333333333333,1300.0,1408.0,0.0,0.0
1400.0,0.044239,1.2866551056504251E-10,1400.0,90.71428571428571,81.03471272800027,80.62593144560358,78.47682119205298,90.52167810161083,90.60706318770835,90.4364537921395,1400.0,1408.0,0.0,0.0
1500.0,0.047239,1.374013163149357E-10,1500.0,90.53333333333333,80.66799782174623,80.44077134986226,78.15384615384615,90.34359235718134,90.4703448175374,90.21719457013575,1500.0,1408.0,0.0,0.0
1600.0,0.050034,1.455401753385862E-10,1600.0,90.6875,80.99641291351135,80.57366362451108,78.65329512893983,90.51567899832716,90.68468468468468,90.34730207942872,1600.0,1408.0,0.0,0.0
1700.0,0.052775,1.535217898587386E-10,1700.0,91.05882352941177,81.70645371392973,81.25770653514182,79.29155313351501,90.87031867637806,91.04851330203442,90.69282019169474,1700.0,1408.0,0.0,0.0
1800.0,0.057133,1.6621200367808344E-10,1800.0,91.27777777777779,82.17853250998911,81.89158016147637,79.89756722151088,91.10585574976491,91.27668308702792,90.93566663609096,1800.0,1408.0,0.0,0.0
1900.0,0.06119,1.78025724987189E-10,1900.0,91.52631578947368,82.70375530365399,82.5,80.53204353083436,91.36682852818963,91.52562582614502,91.20858130364864,1900.0,1408.0,0.0,0.0
2000.0,0.062983,1.8324682489037516E-10,2000.0,91.64999999999999,82.97127754166428,82.71221532091097,80.87056128293241,91.49914940062912,91.64701257861635,91.35176257863074,2000.0,1408.0,0.0,0.0
2100.0,0.066042,1.9215443482001624E-10,2100.0,91.66666666666666,83.00112678245327,82.82630029440628,80.91603053435114,91.51706920191656,91.68171884756043,91.35300987914023,2100.0,1408.0,0.0,0.0
2200.0,0.06961,2.025442197918892E-10,2200.0,91.81818181818183,83.30847870271474,83.05084745762713,81.26951092611863,91.67262360648918,91.8472778949811,91.49863229300257,2200.0,1408.0,0.0,0.0
2300.0,0.071779,2.0886020734906199E-10,2300.0,91.91304347826087,83.53049514769427,83.25832583258325,81.62055335968378,91.78421810736205,91.95415634116988,91.61490683229813,2300.0,1408.0,0.0,0.0
2400.0,0.073617,2.1421234433849654E-10,2400.0,92.0,83.71456380264935,83.37662337662339,81.86968838526913,91.87907532740914,92.05949889165807,91.69935758904711,2400.0,1408.0,0.0,0.0
2500.0,0.075543,2.1982073162992796E-10,2500.0,91.88,83.4883960025976,83.15352697095435,81.67870036101083,91.76524839684564,91.93682713194866,91.59430889248516,2500.0,1408.0,0.0,0.0
2600.0,0.077687,2.260639208058516E-10,2600.0,91.88461538461539,83.51617974395094,83.28050713153725,81.7946505608283,91.78170410413229,91.95758339854505,91.60649630355681,2600.0,1408.0,0.0,0.0
2700.0,0.080947,2.3555682972073556E-10,2700.0,91.7037037037037,83.14699730652903,82.80890253261703,81.3488759367194,91.5923648756822,91.74939933813863,91.43586704208579,2700.0,1408.0,0.0,0.0
