learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,6.39E-4,1.4428235590457916E-12,100.0,85.0,69.75806451612902,72.72727272727272,67.39130434782608,84.8861334226273,84.94949494949495,84.82286634460547,100.0,1408.0,0.0,0.0
200.0,0.00516,1.1650969584782918E-11,200.0,85.5,70.38398692810458,71.0,65.47619047619048,85.20858179624004,85.0523853117689,85.36535303776682,200.0,1408.0,0.0,0.0
300.0,0.011024,2.489152881834242E-11,300.0,86.33333333333333,72.33468286099864,73.20261437908496,68.93939393939392,86.17476834967033,86.0942760942761,86.25541125541125,92.0,1408.0,1.0,0.0
400.0,0.013837,3.124311359392272E-11,400.0,87.75,74.9591169255928,75.12690355329948,71.67630057803467,87.49183776522955,87.63341543513957,87.35071681393394,192.0,1408.0,0.0,0.0
500.0,0.015855,3.579963619510332E-11,500.0,89.60000000000001,78.7084200009827,78.24267782426779,75.5868544600939,89.3555332624932,89.40454910706966,89.30657113412181,292.0,1408.0,0.0,0.0
600.0,0.019429,4.38695131904549E-11,600.0,90.5,80.51193216784812,80.3448275862069,77.55905511811024,90.25808951675387,90.32351967488212,90.19275408493013,392.0,1408.0,0.0,0.0
700.0,0.024232,5.471439825163947E-11,700.0,91.0,81.61764705882354,81.25000000000001,79.06976744186048,90.81039037672979,90.86196534107984,90.75887392900856,492.0,1408.0,0.0,0.0
800.0,0.027253,6.24984854625331E-11,800.0,91.0,81.55796753433869,80.90185676392574,78.88563049853373,90.78381209268562,90.88107847857488,90.68675368485614,592.0,1408.0,0.0,1.0
900.0,0.030441,6.969679767886798E-11,900.0,91.0,81.49558330795004,81.20649651972158,78.74015748031496,90.76069958370431,90.93064762876084,90.59138561437045,148.0,1408.0,1.0,0.0
1000.0,0.037352,8.530141992701425E-11,1000.0,91.4,82.22876130333438,81.70212765957447,79.42583732057417,91.13694204064983,91.38255212233149,90.89264867886679,248.0,1408.0,0.0,0.0
1100.0,0.040692,9.284293899933497E-11,1100.0,91.81818181818183,83.14973924646995,82.59187620889749,80.68669527896996,91.60412518702952,91.87134021749564,91.33846008042133,348.0,1408.0,0.0,0.0
1200.0,0.046998,1.0708150764306386E-10,1200.0,92.0,83.55788992920759,83.03886925795054,81.25000000000001,91.8087070238928,92.06956021845359,91.54932776162791,448.0,1408.0,0.0,0.0
1300.0,0.050996,1.1610875113142862E-10,1300.0,92.0,83.51621555718118,83.36000000000001,81.09090909090911,91.78843309581737,92.0633517061141,91.51515151515152,548.0,1408.0,0.0,0.0
1400.0,0.053418,1.2157748142878215E-10,1400.0,91.57142857142857,82.7577569219465,82.41430700447093,80.4635761589404,91.3932288066896,91.55688421900025,91.23015740956437,65.0,1408.0,1.0,0.0
1500.0,0.057601,1.3102244378791916E-10,1500.0,91.73333333333333,83.11853330913051,82.92011019283747,80.92307692307692,91.569148500026,91.69975448233657,91.43891402714932,165.0,1408.0,0.0,0.0
1600.0,0.059586,1.3550445437431336E-10,1600.0,92.0,83.68803364343063,83.3116036505867,81.66189111747852,91.85504880353602,91.98849104859335,91.7219931511636,265.0,1408.0,0.0,0.0
1700.0,0.063624,1.446220154563586E-10,1700.0,92.3529411764706,84.36447608967576,83.9704069050555,82.28882833787468,92.19446994293176,92.34521394764803,92.04421728411776,365.0,1408.0,0.0,0.0
1800.0,0.067119,1.525135152041912E-10,1800.0,92.66666666666666,85.02308940383575,84.77508650519032,83.09859154929576,92.52481723019716,92.6784446393518,92.37169829576082,465.0,1408.0,0.0,0.0
1900.0,0.068829,1.5637459233403206E-10,1900.0,92.84210526315789,85.39560172494673,85.21739130434783,83.55501813784764,92.70973995851337,92.8523213931195,92.56759574067668,565.0,1408.0,0.0,0.0
2000.0,0.070417,1.6046632702151936E-10,2000.0,92.9,85.52611059070797,85.30020703933748,83.73424971363117,92.77382703136871,92.90641532666734,92.6416166347011,665.0,1408.0,0.0,1.0
2100.0,0.073818,1.6814558042420282E-10,2100.0,92.85714285714286,85.4349134833861,85.27968596663396,83.64231188658671,92.73109727600172,92.88139180612298,92.58128835345512,184.0,1408.0,1.0,0.0
2200.0,0.075519,1.7198633609546556E-10,2200.0,92.95454545454545,85.63179645522514,85.40489642184558,83.87096774193549,92.83140070105722,92.99241142145381,92.67094657754105,284.0,1408.0,0.0,0.0
2300.0,0.07699,1.753077656030655E-10,2300.0,93.04347826086956,85.83870282517879,85.59855985598558,84.1897233201581,92.93450955000114,93.08648232679893,92.7830321852061,384.0,1408.0,0.0,0.0
2400.0,0.078555,1.7884144145581457E-10,2400.0,93.04166666666667,85.83929722212801,85.54112554112554,84.23040604343721,92.93858780977912,93.10728561046511,92.77050021864365,484.0,1408.0,0.0,0.0
2500.0,0.081122,1.8463757303025988E-10,2500.0,92.88,85.52585699937029,85.22821576763484,83.93501805054152,92.78128631525226,92.94193423638113,92.6211927880825,9.0,1408.0,1.0,0.0
2600.0,0.082996,1.8886895229419072E-10,2600.0,92.65384615384616,85.09882903081775,84.86529318541997,83.52027610008628,92.55886823610628,92.66555781284602,92.45242404882525,109.0,1408.0,0.0,0.0
2700.0,0.084372,1.919758775167995E-10,2700.0,92.48148148148148,84.74849627575031,84.4205679201842,83.09741881765197,92.38058339618766,92.46774528198756,92.2935856766015,209.0,1408.0,0.0,0.0
2800.0,0.085855,1.953244023025036E-10,2800.0,92.64285714285714,85.10404442754904,84.87518355359765,83.59872611464966,92.55741295192333,92.63243850792054,92.48250882809148,309.0,1408.0,0.0,0.0
2900.0,0.087352,1.9870453824599585E-10,2900.0,92.55172413793103,84.9207109605536,84.71337579617835,83.39738662567257,92.4653692088494,92.5374012605275,92.39344921090671,409.0,1408.0,0.0,0.0
3000.0,0.088946,2.023036943541633E-10,3000.0,92.66666666666666,85.16733271335781,85.00340831629175,83.71576609918579,92.5875417516144,92.6484589493567,92.52670460844988,509.0,1408.0,0.0,0.0
3100.0,0.09029,2.0533836550182767E-10,3100.0,92.61290322580645,85.06837962787685,84.88448844884489,83.65453247680229,92.53818117912193,92.59816312773846,92.47827688874382,609.0,1408.0,0.0,0.0
3200.0,0.09161,2.0831884609328377E-10,3200.0,92.6875,85.22042061009188,84.9903784477229,83.82861091914306,92.61432794284732,92.67506795156906,92.55366750098852,709.0,1408.0,0.0,0.0
3300.0,0.09314,2.1177349405156243E-10,3300.0,92.6969696969697,85.24622278815781,85.04962779156328,83.89037433155082,92.62734056708375,92.68758841411415,92.56717099256554,809.0,1408.0,0.0,0.0
3400.0,0.094591,2.1504976476232212E-10,3400.0,92.64705882352942,85.1532948506736,84.99399759903963,83.82923673997414,92.58097597132495,92.64028190025175,92.5217459260841,909.0,1408.0,0.0,0.0
3500.0,0.096301,2.1945585186282796E-10,3500.0,92.60000000000001,85.06186185394408,84.88032691185057,83.71069182389938,92.53297700539062,92.57315077242426,92.49283809147487,1009.0,1408.0,0.0,1.0
3600.0,0.098275,2.2454217697183294E-10,3600.0,92.47222222222223,84.80203387295772,84.56719817767654,83.42507645259938,92.40342605560815,92.44725127754711,92.359642365245,1109.0,1408.0,0.0,1.0
